"provincia"	"canton"	"total"	"created_at"
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-13
"Azuay"	"Chordeleg"	0	2020-03-13
"Azuay"	"Cuenca"	0	2020-03-13
"Azuay"	"El Pan"	0	2020-03-13
"Azuay"	"Girón"	0	2020-03-13
"Azuay"	"Guachapala"	0	2020-03-13
"Azuay"	"Gualaceo"	0	2020-03-13
"Azuay"	"Nabón"	0	2020-03-13
"Azuay"	"Oña"	0	2020-03-13
"Azuay"	"Paute"	0	2020-03-13
"Azuay"	"Pucará"	0	2020-03-13
"Azuay"	"San Fernando"	0	2020-03-13
"Azuay"	"Santa Isabel"	0	2020-03-13
"Azuay"	"Sevilla de Oro"	0	2020-03-13
"Azuay"	"Sígsig"	0	2020-03-13
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-14
"Azuay"	"Chordeleg"	0	2020-03-14
"Azuay"	"Cuenca"	1	2020-03-14
"Azuay"	"El Pan"	0	2020-03-14
"Azuay"	"Girón"	0	2020-03-14
"Azuay"	"Guachapala"	0	2020-03-14
"Azuay"	"Gualaceo"	0	2020-03-14
"Azuay"	"Nabón"	0	2020-03-14
"Azuay"	"Oña"	0	2020-03-14
"Azuay"	"Paute"	0	2020-03-14
"Azuay"	"Pucará"	0	2020-03-14
"Azuay"	"San Fernando"	0	2020-03-14
"Azuay"	"Santa Isabel"	0	2020-03-14
"Azuay"	"Sevilla de Oro"	0	2020-03-14
"Azuay"	"Sígsig"	0	2020-03-14
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-15
"Azuay"	"Chordeleg"	0	2020-03-15
"Azuay"	"Cuenca"	1	2020-03-15
"Azuay"	"El Pan"	0	2020-03-15
"Azuay"	"Girón"	0	2020-03-15
"Azuay"	"Guachapala"	0	2020-03-15
"Azuay"	"Gualaceo"	0	2020-03-15
"Azuay"	"Nabón"	0	2020-03-15
"Azuay"	"Oña"	0	2020-03-15
"Azuay"	"Paute"	0	2020-03-15
"Azuay"	"Pucará"	0	2020-03-15
"Azuay"	"San Fernando"	0	2020-03-15
"Azuay"	"Santa Isabel"	0	2020-03-15
"Azuay"	"Sevilla de Oro"	0	2020-03-15
"Azuay"	"Sígsig"	0	2020-03-15
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-16
"Azuay"	"Chordeleg"	0	2020-03-16
"Azuay"	"Cuenca"	1	2020-03-16
"Azuay"	"El Pan"	0	2020-03-16
"Azuay"	"Girón"	0	2020-03-16
"Azuay"	"Guachapala"	0	2020-03-16
"Azuay"	"Gualaceo"	0	2020-03-16
"Azuay"	"Nabón"	0	2020-03-16
"Azuay"	"Oña"	0	2020-03-16
"Azuay"	"Paute"	0	2020-03-16
"Azuay"	"Pucará"	0	2020-03-16
"Azuay"	"San Fernando"	0	2020-03-16
"Azuay"	"Santa Isabel"	0	2020-03-16
"Azuay"	"Sevilla de Oro"	0	2020-03-16
"Azuay"	"Sígsig"	0	2020-03-16
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-17
"Azuay"	"Chordeleg"	0	2020-03-17
"Azuay"	"Cuenca"	5	2020-03-17
"Azuay"	"El Pan"	0	2020-03-17
"Azuay"	"Girón"	0	2020-03-17
"Azuay"	"Guachapala"	0	2020-03-17
"Azuay"	"Gualaceo"	0	2020-03-17
"Azuay"	"Nabón"	0	2020-03-17
"Azuay"	"Oña"	0	2020-03-17
"Azuay"	"Paute"	0	2020-03-17
"Azuay"	"Pucará"	0	2020-03-17
"Azuay"	"San Fernando"	0	2020-03-17
"Azuay"	"Santa Isabel"	0	2020-03-17
"Azuay"	"Sevilla de Oro"	0	2020-03-17
"Azuay"	"Sígsig"	0	2020-03-17
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-18
"Azuay"	"Chordeleg"	0	2020-03-18
"Azuay"	"Cuenca"	5	2020-03-18
"Azuay"	"El Pan"	0	2020-03-18
"Azuay"	"Girón"	0	2020-03-18
"Azuay"	"Guachapala"	0	2020-03-18
"Azuay"	"Gualaceo"	0	2020-03-18
"Azuay"	"Nabón"	0	2020-03-18
"Azuay"	"Oña"	0	2020-03-18
"Azuay"	"Paute"	0	2020-03-18
"Azuay"	"Pucará"	0	2020-03-18
"Azuay"	"San Fernando"	0	2020-03-18
"Azuay"	"Santa Isabel"	0	2020-03-18
"Azuay"	"Sevilla de Oro"	0	2020-03-18
"Azuay"	"Sígsig"	0	2020-03-18
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-19
"Azuay"	"Chordeleg"	0	2020-03-19
"Azuay"	"Cuenca"	14	2020-03-19
"Azuay"	"El Pan"	0	2020-03-19
"Azuay"	"Girón"	0	2020-03-19
"Azuay"	"Guachapala"	0	2020-03-19
"Azuay"	"Gualaceo"	0	2020-03-19
"Azuay"	"Nabón"	0	2020-03-19
"Azuay"	"Oña"	0	2020-03-19
"Azuay"	"Paute"	0	2020-03-19
"Azuay"	"Pucará"	0	2020-03-19
"Azuay"	"San Fernando"	0	2020-03-19
"Azuay"	"Santa Isabel"	0	2020-03-19
"Azuay"	"Sevilla de Oro"	0	2020-03-19
"Azuay"	"Sígsig"	0	2020-03-19
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-20
"Azuay"	"Chordeleg"	0	2020-03-20
"Azuay"	"Cuenca"	18	2020-03-20
"Azuay"	"El Pan"	0	2020-03-20
"Azuay"	"Girón"	0	2020-03-20
"Azuay"	"Guachapala"	0	2020-03-20
"Azuay"	"Gualaceo"	0	2020-03-20
"Azuay"	"Nabón"	0	2020-03-20
"Azuay"	"Oña"	0	2020-03-20
"Azuay"	"Paute"	0	2020-03-20
"Azuay"	"Pucará"	0	2020-03-20
"Azuay"	"San Fernando"	0	2020-03-20
"Azuay"	"Santa Isabel"	0	2020-03-20
"Azuay"	"Sevilla de Oro"	0	2020-03-20
"Azuay"	"Sígsig"	0	2020-03-20
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-21
"Azuay"	"Chordeleg"	0	2020-03-21
"Azuay"	"Cuenca"	18	2020-03-21
"Azuay"	"El Pan"	0	2020-03-21
"Azuay"	"Girón"	0	2020-03-21
"Azuay"	"Guachapala"	0	2020-03-21
"Azuay"	"Gualaceo"	0	2020-03-21
"Azuay"	"Nabón"	0	2020-03-21
"Azuay"	"Oña"	0	2020-03-21
"Azuay"	"Paute"	0	2020-03-21
"Azuay"	"Pucará"	0	2020-03-21
"Azuay"	"San Fernando"	0	2020-03-21
"Azuay"	"Santa Isabel"	1	2020-03-21
"Azuay"	"Sevilla de Oro"	0	2020-03-21
"Azuay"	"Sígsig"	0	2020-03-21
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-22
"Azuay"	"Chordeleg"	0	2020-03-22
"Azuay"	"Cuenca"	18	2020-03-22
"Azuay"	"El Pan"	0	2020-03-22
"Azuay"	"Girón"	0	2020-03-22
"Azuay"	"Guachapala"	0	2020-03-22
"Azuay"	"Gualaceo"	0	2020-03-22
"Azuay"	"Nabón"	0	2020-03-22
"Azuay"	"Oña"	0	2020-03-22
"Azuay"	"Paute"	0	2020-03-22
"Azuay"	"Pucará"	0	2020-03-22
"Azuay"	"San Fernando"	0	2020-03-22
"Azuay"	"Santa Isabel"	1	2020-03-22
"Azuay"	"Sevilla de Oro"	0	2020-03-22
"Azuay"	"Sígsig"	0	2020-03-22
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-23
"Azuay"	"Chordeleg"	0	2020-03-23
"Azuay"	"Cuenca"	22	2020-03-23
"Azuay"	"El Pan"	0	2020-03-23
"Azuay"	"Girón"	0	2020-03-23
"Azuay"	"Guachapala"	0	2020-03-23
"Azuay"	"Gualaceo"	0	2020-03-23
"Azuay"	"Nabón"	0	2020-03-23
"Azuay"	"Oña"	0	2020-03-23
"Azuay"	"Paute"	0	2020-03-23
"Azuay"	"Pucará"	0	2020-03-23
"Azuay"	"San Fernando"	0	2020-03-23
"Azuay"	"Santa Isabel"	1	2020-03-23
"Azuay"	"Sevilla de Oro"	0	2020-03-23
"Azuay"	"Sígsig"	0	2020-03-23
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-24
"Azuay"	"Chordeleg"	0	2020-03-24
"Azuay"	"Cuenca"	26	2020-03-24
"Azuay"	"El Pan"	0	2020-03-24
"Azuay"	"Girón"	0	2020-03-24
"Azuay"	"Guachapala"	0	2020-03-24
"Azuay"	"Gualaceo"	0	2020-03-24
"Azuay"	"Nabón"	0	2020-03-24
"Azuay"	"Oña"	0	2020-03-24
"Azuay"	"Paute"	0	2020-03-24
"Azuay"	"Pucará"	0	2020-03-24
"Azuay"	"San Fernando"	0	2020-03-24
"Azuay"	"Santa Isabel"	2	2020-03-24
"Azuay"	"Sevilla de Oro"	0	2020-03-24
"Azuay"	"Sígsig"	0	2020-03-24
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-25
"Azuay"	"Chordeleg"	0	2020-03-25
"Azuay"	"Cuenca"	29	2020-03-25
"Azuay"	"El Pan"	0	2020-03-25
"Azuay"	"Girón"	0	2020-03-25
"Azuay"	"Guachapala"	0	2020-03-25
"Azuay"	"Gualaceo"	0	2020-03-25
"Azuay"	"Nabón"	0	2020-03-25
"Azuay"	"Oña"	0	2020-03-25
"Azuay"	"Paute"	0	2020-03-25
"Azuay"	"Pucará"	0	2020-03-25
"Azuay"	"San Fernando"	0	2020-03-25
"Azuay"	"Santa Isabel"	2	2020-03-25
"Azuay"	"Sevilla de Oro"	0	2020-03-25
"Azuay"	"Sígsig"	0	2020-03-25
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-26
"Azuay"	"Chordeleg"	0	2020-03-26
"Azuay"	"Cuenca"	32	2020-03-26
"Azuay"	"El Pan"	0	2020-03-26
"Azuay"	"Girón"	0	2020-03-26
"Azuay"	"Guachapala"	0	2020-03-26
"Azuay"	"Gualaceo"	2	2020-03-26
"Azuay"	"Nabón"	0	2020-03-26
"Azuay"	"Oña"	0	2020-03-26
"Azuay"	"Paute"	0	2020-03-26
"Azuay"	"Pucará"	0	2020-03-26
"Azuay"	"San Fernando"	0	2020-03-26
"Azuay"	"Santa Isabel"	3	2020-03-26
"Azuay"	"Sevilla de Oro"	0	2020-03-26
"Azuay"	"Sígsig"	0	2020-03-26
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-27
"Azuay"	"Chordeleg"	0	2020-03-27
"Azuay"	"Cuenca"	37	2020-03-27
"Azuay"	"El Pan"	0	2020-03-27
"Azuay"	"Girón"	0	2020-03-27
"Azuay"	"Guachapala"	0	2020-03-27
"Azuay"	"Gualaceo"	2	2020-03-27
"Azuay"	"Nabón"	0	2020-03-27
"Azuay"	"Oña"	0	2020-03-27
"Azuay"	"Paute"	0	2020-03-27
"Azuay"	"Pucará"	0	2020-03-27
"Azuay"	"San Fernando"	0	2020-03-27
"Azuay"	"Santa Isabel"	3	2020-03-27
"Azuay"	"Sevilla de Oro"	0	2020-03-27
"Azuay"	"Sígsig"	0	2020-03-27
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-28
"Azuay"	"Chordeleg"	0	2020-03-28
"Azuay"	"Cuenca"	37	2020-03-28
"Azuay"	"El Pan"	0	2020-03-28
"Azuay"	"Girón"	0	2020-03-28
"Azuay"	"Guachapala"	0	2020-03-28
"Azuay"	"Gualaceo"	2	2020-03-28
"Azuay"	"Nabón"	0	2020-03-28
"Azuay"	"Oña"	0	2020-03-28
"Azuay"	"Paute"	0	2020-03-28
"Azuay"	"Pucará"	0	2020-03-28
"Azuay"	"San Fernando"	0	2020-03-28
"Azuay"	"Santa Isabel"	3	2020-03-28
"Azuay"	"Sevilla de Oro"	0	2020-03-28
"Azuay"	"Sígsig"	0	2020-03-28
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-29
"Azuay"	"Chordeleg"	0	2020-03-29
"Azuay"	"Cuenca"	46	2020-03-29
"Azuay"	"El Pan"	0	2020-03-29
"Azuay"	"Girón"	0	2020-03-29
"Azuay"	"Guachapala"	0	2020-03-29
"Azuay"	"Gualaceo"	2	2020-03-29
"Azuay"	"Nabón"	0	2020-03-29
"Azuay"	"Oña"	0	2020-03-29
"Azuay"	"Paute"	2	2020-03-29
"Azuay"	"Pucará"	0	2020-03-29
"Azuay"	"San Fernando"	0	2020-03-29
"Azuay"	"Santa Isabel"	3	2020-03-29
"Azuay"	"Sevilla de Oro"	0	2020-03-29
"Azuay"	"Sígsig"	0	2020-03-29
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-30
"Azuay"	"Chordeleg"	0	2020-03-30
"Azuay"	"Cuenca"	47	2020-03-30
"Azuay"	"El Pan"	0	2020-03-30
"Azuay"	"Girón"	0	2020-03-30
"Azuay"	"Guachapala"	0	2020-03-30
"Azuay"	"Gualaceo"	3	2020-03-30
"Azuay"	"Nabón"	0	2020-03-30
"Azuay"	"Oña"	0	2020-03-30
"Azuay"	"Paute"	3	2020-03-30
"Azuay"	"Pucará"	0	2020-03-30
"Azuay"	"San Fernando"	0	2020-03-30
"Azuay"	"Santa Isabel"	3	2020-03-30
"Azuay"	"Sevilla de Oro"	0	2020-03-30
"Azuay"	"Sígsig"	1	2020-03-30
"Azuay"	"Camilo Ponce Enríquez"	0	2020-03-31
"Azuay"	"Chordeleg"	0	2020-03-31
"Azuay"	"Cuenca"	68	2020-03-31
"Azuay"	"El Pan"	0	2020-03-31
"Azuay"	"Girón"	0	2020-03-31
"Azuay"	"Guachapala"	0	2020-03-31
"Azuay"	"Gualaceo"	3	2020-03-31
"Azuay"	"Nabón"	0	2020-03-31
"Azuay"	"Oña"	0	2020-03-31
