"provincia"	"canton"	"total"	"created_at"
"Bolívar"	"Caluma"	0	2020-03-13
"Bolívar"	"Chillanes"	0	2020-03-13
"Bolívar"	"Chimbo"	0	2020-03-13
"Bolívar"	"Echeandía"	0	2020-03-13
"Bolívar"	"Guaranda"	0	2020-03-13
"Bolívar"	"Las Naves"	0	2020-03-13
"Bolívar"	"San Miguel"	0	2020-03-13
"Bolívar"	"Caluma"	0	2020-03-14
"Bolívar"	"Chillanes"	0	2020-03-14
"Bolívar"	"Chimbo"	0	2020-03-14
"Bolívar"	"Echeandía"	0	2020-03-14
"Bolívar"	"Guaranda"	0	2020-03-14
"Bolívar"	"Las Naves"	0	2020-03-14
"Bolívar"	"San Miguel"	0	2020-03-14
"Bolívar"	"Caluma"	0	2020-03-15
"Bolívar"	"Chillanes"	0	2020-03-15
"Bolívar"	"Chimbo"	0	2020-03-15
"Bolívar"	"Echeandía"	0	2020-03-15
"Bolívar"	"Guaranda"	0	2020-03-15
"Bolívar"	"Las Naves"	0	2020-03-15
"Bolívar"	"San Miguel"	0	2020-03-15
"Bolívar"	"Caluma"	0	2020-03-16
"Bolívar"	"Chillanes"	0	2020-03-16
"Bolívar"	"Chimbo"	0	2020-03-16
"Bolívar"	"Echeandía"	0	2020-03-16
"Bolívar"	"Guaranda"	0	2020-03-16
"Bolívar"	"Las Naves"	0	2020-03-16
"Bolívar"	"San Miguel"	0	2020-03-16
"Bolívar"	"Caluma"	0	2020-03-17
"Bolívar"	"Chillanes"	0	2020-03-17
"Bolívar"	"Chimbo"	0	2020-03-17
"Bolívar"	"Echeandía"	0	2020-03-17
"Bolívar"	"Guaranda"	0	2020-03-17
"Bolívar"	"Las Naves"	0	2020-03-17
"Bolívar"	"San Miguel"	0	2020-03-17
"Bolívar"	"Caluma"	0	2020-03-18
"Bolívar"	"Chillanes"	0	2020-03-18
"Bolívar"	"Chimbo"	0	2020-03-18
"Bolívar"	"Echeandía"	0	2020-03-18
"Bolívar"	"Guaranda"	2	2020-03-18
"Bolívar"	"Las Naves"	0	2020-03-18
"Bolívar"	"San Miguel"	0	2020-03-18
"Bolívar"	"Caluma"	0	2020-03-19
"Bolívar"	"Chillanes"	0	2020-03-19
"Bolívar"	"Chimbo"	0	2020-03-19
"Bolívar"	"Echeandía"	0	2020-03-19
"Bolívar"	"Guaranda"	2	2020-03-19
"Bolívar"	"Las Naves"	0	2020-03-19
"Bolívar"	"San Miguel"	0	2020-03-19
"Bolívar"	"Caluma"	0	2020-03-20
"Bolívar"	"Chillanes"	0	2020-03-20
"Bolívar"	"Chimbo"	0	2020-03-20
"Bolívar"	"Echeandía"	0	2020-03-20
"Bolívar"	"Guaranda"	4	2020-03-20
"Bolívar"	"Las Naves"	0	2020-03-20
"Bolívar"	"San Miguel"	0	2020-03-20
"Bolívar"	"Caluma"	0	2020-03-21
"Bolívar"	"Chillanes"	1	2020-03-21
"Bolívar"	"Chimbo"	0	2020-03-21
"Bolívar"	"Echeandía"	0	2020-03-21
"Bolívar"	"Guaranda"	4	2020-03-21
"Bolívar"	"Las Naves"	0	2020-03-21
"Bolívar"	"San Miguel"	0	2020-03-21
"Bolívar"	"Caluma"	0	2020-03-22
"Bolívar"	"Chillanes"	1	2020-03-22
"Bolívar"	"Chimbo"	1	2020-03-22
"Bolívar"	"Echeandía"	0	2020-03-22
"Bolívar"	"Guaranda"	6	2020-03-22
"Bolívar"	"Las Naves"	0	2020-03-22
"Bolívar"	"San Miguel"	0	2020-03-22
"Bolívar"	"Caluma"	0	2020-03-23
"Bolívar"	"Chillanes"	1	2020-03-23
"Bolívar"	"Chimbo"	1	2020-03-23
"Bolívar"	"Echeandía"	0	2020-03-23
"Bolívar"	"Guaranda"	7	2020-03-23
"Bolívar"	"Las Naves"	0	2020-03-23
"Bolívar"	"San Miguel"	0	2020-03-23
"Bolívar"	"Caluma"	0	2020-03-24
"Bolívar"	"Chillanes"	1	2020-03-24
"Bolívar"	"Chimbo"	1	2020-03-24
"Bolívar"	"Echeandía"	0	2020-03-24
"Bolívar"	"Guaranda"	7	2020-03-24
"Bolívar"	"Las Naves"	0	2020-03-24
"Bolívar"	"San Miguel"	0	2020-03-24
"Bolívar"	"Caluma"	0	2020-03-25
"Bolívar"	"Chillanes"	2	2020-03-25
"Bolívar"	"Chimbo"	1	2020-03-25
"Bolívar"	"Echeandía"	0	2020-03-25
"Bolívar"	"Guaranda"	8	2020-03-25
"Bolívar"	"Las Naves"	0	2020-03-25
"Bolívar"	"San Miguel"	0	2020-03-25
"Bolívar"	"Caluma"	0	2020-03-26
"Bolívar"	"Chillanes"	2	2020-03-26
"Bolívar"	"Chimbo"	1	2020-03-26
"Bolívar"	"Echeandía"	0	2020-03-26
"Bolívar"	"Guaranda"	8	2020-03-26
"Bolívar"	"Las Naves"	0	2020-03-26
"Bolívar"	"San Miguel"	0	2020-03-26
"Bolívar"	"Caluma"	0	2020-03-27
"Bolívar"	"Chillanes"	2	2020-03-27
"Bolívar"	"Chimbo"	1	2020-03-27
"Bolívar"	"Echeandía"	0	2020-03-27
"Bolívar"	"Guaranda"	9	2020-03-27
"Bolívar"	"Las Naves"	0	2020-03-27
"Bolívar"	"San Miguel"	0	2020-03-27
"Bolívar"	"Caluma"	0	2020-03-28
"Bolívar"	"Chillanes"	2	2020-03-28
"Bolívar"	"Chimbo"	1	2020-03-28
"Bolívar"	"Echeandía"	2	2020-03-28
"Bolívar"	"Guaranda"	9	2020-03-28
"Bolívar"	"Las Naves"	0	2020-03-28
"Bolívar"	"San Miguel"	0	2020-03-28
"Bolívar"	"Caluma"	0	2020-03-29
"Bolívar"	"Chillanes"	2	2020-03-29
"Bolívar"	"Chimbo"	1	2020-03-29
"Bolívar"	"Echeandía"	2	2020-03-29
"Bolívar"	"Guaranda"	9	2020-03-29
"Bolívar"	"Las Naves"	0	2020-03-29
"Bolívar"	"San Miguel"	0	2020-03-29
"Bolívar"	"Caluma"	0	2020-03-30
"Bolívar"	"Chillanes"	2	2020-03-30
"Bolívar"	"Chimbo"	1	2020-03-30
"Bolívar"	"Echeandía"	2	2020-03-30
"Bolívar"	"Guaranda"	9	2020-03-30
"Bolívar"	"Las Naves"	0	2020-03-30
"Bolívar"	"San Miguel"	0	2020-03-30
"Bolívar"	"Caluma"	0	2020-03-31
"Bolívar"	"Chillanes"	2	2020-03-31
"Bolívar"	"Chimbo"	1	2020-03-31
"Bolívar"	"Echeandía"	2	2020-03-31
"Bolívar"	"Guaranda"	10	2020-03-31
"Bolívar"	"Las Naves"	0	2020-03-31
"Bolívar"	"San Miguel"	0	2020-03-31
"Bolívar"	"Caluma"	1	2020-04-01
"Bolívar"	"Chillanes"	4	2020-04-01
"Bolívar"	"Chimbo"	2	2020-04-01
"Bolívar"	"Echeandía"	2	2020-04-01
"Bolívar"	"Guaranda"	11	2020-04-01
"Bolívar"	"Las Naves"	0	2020-04-01
"Bolívar"	"San Miguel"	0	2020-04-01
"Bolívar"	"Caluma"	2	2020-04-02
"Bolívar"	"Chillanes"	7	2020-04-02
"Bolívar"	"Chimbo"	2	2020-04-02
"Bolívar"	"Echeandía"	2	2020-04-02
"Bolívar"	"Guaranda"	12	2020-04-02
"Bolívar"	"Las Naves"	0	2020-04-02
"Bolívar"	"San Miguel"	1	2020-04-02
"Bolívar"	"Caluma"	2	2020-04-03
"Bolívar"	"Chillanes"	7	2020-04-03
"Bolívar"	"Chimbo"	2	2020-04-03
"Bolívar"	"Echeandía"	2	2020-04-03
"Bolívar"	"Guaranda"	12	2020-04-03
"Bolívar"	"Las Naves"	0	2020-04-03
"Bolívar"	"San Miguel"	1	2020-04-03
"Bolívar"	"Caluma"	2	2020-04-04
"Bolívar"	"Chillanes"	7	2020-04-04
"Bolívar"	"Chimbo"	2	2020-04-04
"Bolívar"	"Echeandía"	2	2020-04-04
"Bolívar"	"Guaranda"	12	2020-04-04
"Bolívar"	"Las Naves"	0	2020-04-04
"Bolívar"	"San Miguel"	1	2020-04-04
"Bolívar"	"Caluma"	2	2020-04-05
"Bolívar"	"Chillanes"	7	2020-04-05
"Bolívar"	"Chimbo"	2	2020-04-05
"Bolívar"	"Echeandía"	2	2020-04-05
"Bolívar"	"Guaranda"	13	2020-04-05
"Bolívar"	"Las Naves"	0	2020-04-05
"Bolívar"	"San Miguel"	1	2020-04-05
"Bolívar"	"Caluma"	2	2020-04-06
"Bolívar"	"Chillanes"	7	2020-04-06
"Bolívar"	"Chimbo"	2	2020-04-06
"Bolívar"	"Echeandía"	2	2020-04-06
"Bolívar"	"Guaranda"	13	2020-04-06
"Bolívar"	"Las Naves"	0	2020-04-06
"Bolívar"	"San Miguel"	1	2020-04-06
"Bolívar"	"Caluma"	2	2020-04-07
"Bolívar"	"Chillanes"	7	2020-04-07
"Bolívar"	"Chimbo"	2	2020-04-07
"Bolívar"	"Echeandía"	2	2020-04-07
"Bolívar"	"Guaranda"	13	2020-04-07
"Bolívar"	"Las Naves"	0	2020-04-07
"Bolívar"	"San Miguel"	1	2020-04-07
"Bolívar"	"Caluma"	2	2020-04-08
"Bolívar"	"Chillanes"	7	2020-04-08
"Bolívar"	"Chimbo"	2	2020-04-08
"Bolívar"	"Echeandía"	2	2020-04-08
"Bolívar"	"Guaranda"	13	2020-04-08
"Bolívar"	"Las Naves"	0	2020-04-08
"Bolívar"	"San Miguel"	1	2020-04-08
"Bolívar"	"Caluma"	2	2020-04-09
"Bolívar"	"Chillanes"	7	2020-04-09
"Bolívar"	"Chimbo"	2	2020-04-09
"Bolívar"	"Echeandía"	3	2020-04-09
"Bolívar"	"Guaranda"	15	2020-04-09
"Bolívar"	"Las Naves"	0	2020-04-09
"Bolívar"	"San Miguel"	1	2020-04-09
"Bolívar"	"Caluma"	2	2020-04-10
"Bolívar"	"Chillanes"	7	2020-04-10
"Bolívar"	"Chimbo"	3	2020-04-10
"Bolívar"	"Echeandía"	3	2020-04-10
"Bolívar"	"Guaranda"	16	2020-04-10
"Bolívar"	"Las Naves"	0	2020-04-10
"Bolívar"	"San Miguel"	1	2020-04-10
"Bolívar"	"Caluma"	2	2020-04-11
"Bolívar"	"Chillanes"	7	2020-04-11
"Bolívar"	"Chimbo"	3	2020-04-11
"Bolívar"	"Echeandía"	3	2020-04-11
"Bolívar"	"Guaranda"	16	2020-04-11
"Bolívar"	"Las Naves"	1	2020-04-11
"Bolívar"	"San Miguel"	1	2020-04-11
"Bolívar"	"Caluma"	2	2020-04-12
"Bolívar"	"Chillanes"	7	2020-04-12
"Bolívar"	"Chimbo"	3	2020-04-12
"Bolívar"	"Echeandía"	3	2020-04-12
"Bolívar"	"Guaranda"	16	2020-04-12
"Bolívar"	"Las Naves"	1	2020-04-12
"Bolívar"	"San Miguel"	1	2020-04-12
"Bolívar"	"Caluma"	2	2020-04-13
"Bolívar"	"Chillanes"	7	2020-04-13
"Bolívar"	"Chimbo"	3	2020-04-13
"Bolívar"	"Echeandía"	3	2020-04-13
"Bolívar"	"Guaranda"	16	2020-04-13
"Bolívar"	"Las Naves"	1	2020-04-13
"Bolívar"	"San Miguel"	1	2020-04-13
"Bolívar"	"Caluma"	2	2020-04-14
"Bolívar"	"Chillanes"	7	2020-04-14
"Bolívar"	"Chimbo"	3	2020-04-14
"Bolívar"	"Echeandía"	3	2020-04-14
"Bolívar"	"Guaranda"	16	2020-04-14
"Bolívar"	"Las Naves"	1	2020-04-14
"Bolívar"	"San Miguel"	1	2020-04-14
"Bolívar"	"Caluma"	2	2020-04-15
"Bolívar"	"Chillanes"	7	2020-04-15
"Bolívar"	"Chimbo"	3	2020-04-15
"Bolívar"	"Echeandía"	3	2020-04-15
"Bolívar"	"Guaranda"	16	2020-04-15
"Bolívar"	"Las Naves"	1	2020-04-15
"Bolívar"	"San Miguel"	1	2020-04-15
"Bolívar"	"Caluma"	2	2020-04-16
"Bolívar"	"Chillanes"	7	2020-04-16
"Bolívar"	"Chimbo"	4	2020-04-16
"Bolívar"	"Echeandía"	4	2020-04-16
"Bolívar"	"Guaranda"	19	2020-04-16
"Bolívar"	"Las Naves"	1	2020-04-16
"Bolívar"	"San Miguel"	2	2020-04-16
"Bolívar"	"Caluma"	2	2020-04-17
"Bolívar"	"Chillanes"	7	2020-04-17
"Bolívar"	"Chimbo"	4	2020-04-17
"Bolívar"	"Echeandía"	4	2020-04-17
"Bolívar"	"Guaranda"	19	2020-04-17
"Bolívar"	"Las Naves"	1	2020-04-17
"Bolívar"	"San Miguel"	2	2020-04-17
"Bolívar"	"Caluma"	2	2020-04-18
"Bolívar"	"Chillanes"	7	2020-04-18
"Bolívar"	"Chimbo"	4	2020-04-18
"Bolívar"	"Echeandía"	6	2020-04-18
"Bolívar"	"Guaranda"	22	2020-04-18
"Bolívar"	"Las Naves"	1	2020-04-18
"Bolívar"	"San Miguel"	3	2020-04-18
"Bolívar"	"Caluma"	2	2020-04-19
"Bolívar"	"Chillanes"	7	2020-04-19
"Bolívar"	"Chimbo"	4	2020-04-19
"Bolívar"	"Echeandía"	8	2020-04-19
"Bolívar"	"Guaranda"	24	2020-04-19
"Bolívar"	"Las Naves"	1	2020-04-19
"Bolívar"	"San Miguel"	3	2020-04-19
"Bolívar"	"Caluma"	2	2020-04-20
"Bolívar"	"Chillanes"	7	2020-04-20
"Bolívar"	"Chimbo"	4	2020-04-20
"Bolívar"	"Echeandía"	8	2020-04-20
"Bolívar"	"Guaranda"	25	2020-04-20
"Bolívar"	"Las Naves"	2	2020-04-20
"Bolívar"	"San Miguel"	6	2020-04-20
"Bolívar"	"Caluma"	2	2020-04-21
