"provincia"	"canton"	"total"	"created_at"
"Cañar"	"Azogues"	0	2020-03-13
"Cañar"	"Biblían"	0	2020-03-13
"Cañar"	"Cañar"	0	2020-03-13
"Cañar"	"Déleg"	0	2020-03-13
"Cañar"	"El Tambo"	0	2020-03-13
"Cañar"	"La Troncal"	0	2020-03-13
"Cañar"	"Suscal"	0	2020-03-13
"Cañar"	"Azogues"	0	2020-03-14
"Cañar"	"Biblían"	0	2020-03-14
"Cañar"	"Cañar"	0	2020-03-14
"Cañar"	"Déleg"	0	2020-03-14
"Cañar"	"El Tambo"	0	2020-03-14
"Cañar"	"La Troncal"	0	2020-03-14
"Cañar"	"Suscal"	0	2020-03-14
"Cañar"	"Azogues"	0	2020-03-15
"Cañar"	"Biblían"	0	2020-03-15
"Cañar"	"Cañar"	0	2020-03-15
"Cañar"	"Déleg"	0	2020-03-15
"Cañar"	"El Tambo"	0	2020-03-15
"Cañar"	"La Troncal"	0	2020-03-15
"Cañar"	"Suscal"	0	2020-03-15
"Cañar"	"Azogues"	0	2020-03-16
"Cañar"	"Biblían"	0	2020-03-16
"Cañar"	"Cañar"	0	2020-03-16
"Cañar"	"Déleg"	0	2020-03-16
"Cañar"	"El Tambo"	0	2020-03-16
"Cañar"	"La Troncal"	0	2020-03-16
"Cañar"	"Suscal"	0	2020-03-16
"Cañar"	"Azogues"	0	2020-03-17
"Cañar"	"Biblían"	0	2020-03-17
"Cañar"	"Cañar"	0	2020-03-17
"Cañar"	"Déleg"	0	2020-03-17
"Cañar"	"El Tambo"	0	2020-03-17
"Cañar"	"La Troncal"	0	2020-03-17
"Cañar"	"Suscal"	0	2020-03-17
"Cañar"	"Azogues"	0	2020-03-18
"Cañar"	"Biblían"	0	2020-03-18
"Cañar"	"Cañar"	0	2020-03-18
"Cañar"	"Déleg"	0	2020-03-18
"Cañar"	"El Tambo"	0	2020-03-18
"Cañar"	"La Troncal"	0	2020-03-18
"Cañar"	"Suscal"	0	2020-03-18
"Cañar"	"Azogues"	3	2020-03-19
"Cañar"	"Biblían"	0	2020-03-19
"Cañar"	"Cañar"	0	2020-03-19
"Cañar"	"Déleg"	0	2020-03-19
"Cañar"	"El Tambo"	0	2020-03-19
"Cañar"	"La Troncal"	0	2020-03-19
"Cañar"	"Suscal"	0	2020-03-19
"Cañar"	"Azogues"	3	2020-03-20
"Cañar"	"Biblían"	0	2020-03-20
"Cañar"	"Cañar"	0	2020-03-20
"Cañar"	"Déleg"	0	2020-03-20
"Cañar"	"El Tambo"	0	2020-03-20
"Cañar"	"La Troncal"	0	2020-03-20
"Cañar"	"Suscal"	0	2020-03-20
"Cañar"	"Azogues"	3	2020-03-21
"Cañar"	"Biblían"	0	2020-03-21
"Cañar"	"Cañar"	0	2020-03-21
"Cañar"	"Déleg"	0	2020-03-21
"Cañar"	"El Tambo"	0	2020-03-21
"Cañar"	"La Troncal"	0	2020-03-21
"Cañar"	"Suscal"	0	2020-03-21
"Cañar"	"Azogues"	4	2020-03-22
"Cañar"	"Biblían"	0	2020-03-22
"Cañar"	"Cañar"	0	2020-03-22
"Cañar"	"Déleg"	0	2020-03-22
"Cañar"	"El Tambo"	0	2020-03-22
"Cañar"	"La Troncal"	0	2020-03-22
"Cañar"	"Suscal"	0	2020-03-22
"Cañar"	"Azogues"	4	2020-03-23
"Cañar"	"Biblían"	0	2020-03-23
"Cañar"	"Cañar"	1	2020-03-23
"Cañar"	"Déleg"	0	2020-03-23
"Cañar"	"El Tambo"	0	2020-03-23
"Cañar"	"La Troncal"	0	2020-03-23
"Cañar"	"Suscal"	0	2020-03-23
"Cañar"	"Azogues"	4	2020-03-24
"Cañar"	"Biblían"	0	2020-03-24
"Cañar"	"Cañar"	1	2020-03-24
"Cañar"	"Déleg"	0	2020-03-24
"Cañar"	"El Tambo"	2	2020-03-24
"Cañar"	"La Troncal"	0	2020-03-24
"Cañar"	"Suscal"	0	2020-03-24
"Cañar"	"Azogues"	7	2020-03-25
"Cañar"	"Biblían"	0	2020-03-25
"Cañar"	"Cañar"	1	2020-03-25
"Cañar"	"Déleg"	0	2020-03-25
"Cañar"	"El Tambo"	2	2020-03-25
"Cañar"	"La Troncal"	2	2020-03-25
"Cañar"	"Suscal"	0	2020-03-25
"Cañar"	"Azogues"	9	2020-03-26
"Cañar"	"Biblían"	0	2020-03-26
"Cañar"	"Cañar"	1	2020-03-26
"Cañar"	"Déleg"	0	2020-03-26
"Cañar"	"El Tambo"	3	2020-03-26
"Cañar"	"La Troncal"	2	2020-03-26
"Cañar"	"Suscal"	0	2020-03-26
"Cañar"	"Azogues"	9	2020-03-27
"Cañar"	"Biblían"	0	2020-03-27
"Cañar"	"Cañar"	1	2020-03-27
"Cañar"	"Déleg"	0	2020-03-27
"Cañar"	"El Tambo"	2	2020-03-27
"Cañar"	"La Troncal"	4	2020-03-27
"Cañar"	"Suscal"	0	2020-03-27
"Cañar"	"Azogues"	9	2020-03-28
"Cañar"	"Biblían"	0	2020-03-28
"Cañar"	"Cañar"	1	2020-03-28
"Cañar"	"Déleg"	0	2020-03-28
"Cañar"	"El Tambo"	2	2020-03-28
"Cañar"	"La Troncal"	7	2020-03-28
"Cañar"	"Suscal"	0	2020-03-28
"Cañar"	"Azogues"	11	2020-03-29
"Cañar"	"Biblían"	3	2020-03-29
"Cañar"	"Cañar"	1	2020-03-29
"Cañar"	"Déleg"	0	2020-03-29
"Cañar"	"El Tambo"	2	2020-03-29
"Cañar"	"La Troncal"	9	2020-03-29
"Cañar"	"Suscal"	0	2020-03-29
"Cañar"	"Azogues"	11	2020-03-30
"Cañar"	"Biblían"	3	2020-03-30
"Cañar"	"Cañar"	1	2020-03-30
"Cañar"	"Déleg"	0	2020-03-30
"Cañar"	"El Tambo"	4	2020-03-30
"Cañar"	"La Troncal"	9	2020-03-30
"Cañar"	"Suscal"	0	2020-03-30
"Cañar"	"Azogues"	14	2020-03-31
"Cañar"	"Biblían"	3	2020-03-31
"Cañar"	"Cañar"	2	2020-03-31
"Cañar"	"Déleg"	0	2020-03-31
"Cañar"	"El Tambo"	4	2020-03-31
"Cañar"	"La Troncal"	15	2020-03-31
"Cañar"	"Suscal"	1	2020-03-31
"Cañar"	"Azogues"	15	2020-04-01
"Cañar"	"Biblían"	3	2020-04-01
"Cañar"	"Cañar"	4	2020-04-01
"Cañar"	"Déleg"	1	2020-04-01
"Cañar"	"El Tambo"	4	2020-04-01
"Cañar"	"La Troncal"	21	2020-04-01
"Cañar"	"Suscal"	1	2020-04-01
"Cañar"	"Azogues"	15	2020-04-02
"Cañar"	"Biblían"	3	2020-04-02
"Cañar"	"Cañar"	5	2020-04-02
"Cañar"	"Déleg"	1	2020-04-02
"Cañar"	"El Tambo"	5	2020-04-02
"Cañar"	"La Troncal"	22	2020-04-02
"Cañar"	"Suscal"	2	2020-04-02
"Cañar"	"Azogues"	15	2020-04-03
"Cañar"	"Biblían"	3	2020-04-03
"Cañar"	"Cañar"	5	2020-04-03
"Cañar"	"Déleg"	1	2020-04-03
"Cañar"	"El Tambo"	5	2020-04-03
"Cañar"	"La Troncal"	25	2020-04-03
"Cañar"	"Suscal"	2	2020-04-03
"Cañar"	"Azogues"	15	2020-04-04
"Cañar"	"Biblían"	3	2020-04-04
"Cañar"	"Cañar"	5	2020-04-04
"Cañar"	"Déleg"	1	2020-04-04
"Cañar"	"El Tambo"	5	2020-04-04
"Cañar"	"La Troncal"	25	2020-04-04
"Cañar"	"Suscal"	2	2020-04-04
"Cañar"	"Azogues"	15	2020-04-05
"Cañar"	"Biblían"	3	2020-04-05
"Cañar"	"Cañar"	5	2020-04-05
"Cañar"	"Déleg"	1	2020-04-05
"Cañar"	"El Tambo"	5	2020-04-05
"Cañar"	"La Troncal"	28	2020-04-05
"Cañar"	"Suscal"	2	2020-04-05
"Cañar"	"Azogues"	15	2020-04-06
"Cañar"	"Biblían"	3	2020-04-06
"Cañar"	"Cañar"	5	2020-04-06
"Cañar"	"Déleg"	1	2020-04-06
"Cañar"	"El Tambo"	5	2020-04-06
"Cañar"	"La Troncal"	28	2020-04-06
"Cañar"	"Suscal"	2	2020-04-06
"Cañar"	"Azogues"	15	2020-04-07
"Cañar"	"Biblían"	3	2020-04-07
"Cañar"	"Cañar"	5	2020-04-07
"Cañar"	"Déleg"	1	2020-04-07
"Cañar"	"El Tambo"	5	2020-04-07
"Cañar"	"La Troncal"	28	2020-04-07
"Cañar"	"Suscal"	2	2020-04-07
"Cañar"	"Azogues"	15	2020-04-08
"Cañar"	"Biblían"	3	2020-04-08
"Cañar"	"Cañar"	8	2020-04-08
"Cañar"	"Déleg"	1	2020-04-08
"Cañar"	"El Tambo"	7	2020-04-08
"Cañar"	"La Troncal"	28	2020-04-08
"Cañar"	"Suscal"	2	2020-04-08
"Cañar"	"Azogues"	16	2020-04-09
"Cañar"	"Biblían"	3	2020-04-09
"Cañar"	"Cañar"	8	2020-04-09
"Cañar"	"Déleg"	1	2020-04-09
"Cañar"	"El Tambo"	7	2020-04-09
"Cañar"	"La Troncal"	38	2020-04-09
"Cañar"	"Suscal"	2	2020-04-09
"Cañar"	"Azogues"	19	2020-04-10
"Cañar"	"Biblían"	5	2020-04-10
"Cañar"	"Cañar"	8	2020-04-10
"Cañar"	"Déleg"	1	2020-04-10
"Cañar"	"El Tambo"	8	2020-04-10
"Cañar"	"La Troncal"	47	2020-04-10
"Cañar"	"Suscal"	2	2020-04-10
"Cañar"	"Azogues"	19	2020-04-11
"Cañar"	"Biblían"	5	2020-04-11
"Cañar"	"Cañar"	9	2020-04-11
"Cañar"	"Déleg"	1	2020-04-11
"Cañar"	"El Tambo"	8	2020-04-11
"Cañar"	"La Troncal"	50	2020-04-11
"Cañar"	"Suscal"	2	2020-04-11
"Cañar"	"Azogues"	20	2020-04-12
"Cañar"	"Biblían"	5	2020-04-12
"Cañar"	"Cañar"	10	2020-04-12
"Cañar"	"Déleg"	1	2020-04-12
"Cañar"	"El Tambo"	8	2020-04-12
"Cañar"	"La Troncal"	51	2020-04-12
"Cañar"	"Suscal"	2	2020-04-12
"Cañar"	"Azogues"	20	2020-04-13
"Cañar"	"Biblían"	6	2020-04-13
"Cañar"	"Cañar"	11	2020-04-13
"Cañar"	"Déleg"	1	2020-04-13
"Cañar"	"El Tambo"	8	2020-04-13
"Cañar"	"La Troncal"	52	2020-04-13
"Cañar"	"Suscal"	2	2020-04-13
"Cañar"	"Azogues"	21	2020-04-14
"Cañar"	"Biblían"	6	2020-04-14
"Cañar"	"Cañar"	12	2020-04-14
"Cañar"	"Déleg"	1	2020-04-14
"Cañar"	"El Tambo"	9	2020-04-14
"Cañar"	"La Troncal"	53	2020-04-14
"Cañar"	"Suscal"	2	2020-04-14
"Cañar"	"Azogues"	21	2020-04-15
"Cañar"	"Biblían"	6	2020-04-15
"Cañar"	"Cañar"	12	2020-04-15
"Cañar"	"Déleg"	1	2020-04-15
"Cañar"	"El Tambo"	9	2020-04-15
"Cañar"	"La Troncal"	54	2020-04-15
"Cañar"	"Suscal"	2	2020-04-15
"Cañar"	"Azogues"	23	2020-04-16
"Cañar"	"Biblían"	7	2020-04-16
"Cañar"	"Cañar"	12	2020-04-16
"Cañar"	"Déleg"	1	2020-04-16
"Cañar"	"El Tambo"	10	2020-04-16
"Cañar"	"La Troncal"	62	2020-04-16
"Cañar"	"Suscal"	2	2020-04-16
"Cañar"	"Azogues"	23	2020-04-17
"Cañar"	"Biblían"	7	2020-04-17
"Cañar"	"Cañar"	12	2020-04-17
"Cañar"	"Déleg"	1	2020-04-17
"Cañar"	"El Tambo"	11	2020-04-17
"Cañar"	"La Troncal"	62	2020-04-17
"Cañar"	"Suscal"	2	2020-04-17
"Cañar"	"Azogues"	27	2020-04-18
"Cañar"	"Biblían"	7	2020-04-18
"Cañar"	"Cañar"	12	2020-04-18
"Cañar"	"Déleg"	1	2020-04-18
"Cañar"	"El Tambo"	11	2020-04-18
"Cañar"	"La Troncal"	65	2020-04-18
"Cañar"	"Suscal"	2	2020-04-18
"Cañar"	"Azogues"	29	2020-04-19
"Cañar"	"Biblían"	7	2020-04-19
