"provincia"	"canton"	"total"	"created_at"
"Carchi"	"Bolivar"	0	2020-03-13
"Carchi"	"Espejo"	0	2020-03-13
"Carchi"	"Mira"	0	2020-03-13
"Carchi"	"Montúfar"	0	2020-03-13
"Carchi"	"San Pedro de Huaca"	0	2020-03-13
"Carchi"	"Tulcán"	0	2020-03-13
"Carchi"	"Bolivar"	0	2020-03-14
"Carchi"	"Espejo"	0	2020-03-14
"Carchi"	"Mira"	0	2020-03-14
"Carchi"	"Montúfar"	0	2020-03-14
"Carchi"	"San Pedro de Huaca"	0	2020-03-14
"Carchi"	"Tulcán"	0	2020-03-14
"Carchi"	"Bolivar"	0	2020-03-15
"Carchi"	"Espejo"	0	2020-03-15
"Carchi"	"Mira"	0	2020-03-15
"Carchi"	"Montúfar"	0	2020-03-15
"Carchi"	"San Pedro de Huaca"	0	2020-03-15
"Carchi"	"Tulcán"	0	2020-03-15
"Carchi"	"Bolivar"	0	2020-03-16
"Carchi"	"Espejo"	0	2020-03-16
"Carchi"	"Mira"	0	2020-03-16
"Carchi"	"Montúfar"	0	2020-03-16
"Carchi"	"San Pedro de Huaca"	0	2020-03-16
"Carchi"	"Tulcán"	0	2020-03-16
"Carchi"	"Bolivar"	0	2020-03-17
"Carchi"	"Espejo"	0	2020-03-17
"Carchi"	"Mira"	0	2020-03-17
"Carchi"	"Montúfar"	0	2020-03-17
"Carchi"	"San Pedro de Huaca"	0	2020-03-17
"Carchi"	"Tulcán"	0	2020-03-17
"Carchi"	"Bolivar"	0	2020-03-18
"Carchi"	"Espejo"	0	2020-03-18
"Carchi"	"Mira"	0	2020-03-18
"Carchi"	"Montúfar"	0	2020-03-18
"Carchi"	"San Pedro de Huaca"	0	2020-03-18
"Carchi"	"Tulcán"	0	2020-03-18
"Carchi"	"Bolivar"	0	2020-03-19
"Carchi"	"Espejo"	0	2020-03-19
"Carchi"	"Mira"	0	2020-03-19
"Carchi"	"Montúfar"	0	2020-03-19
"Carchi"	"San Pedro de Huaca"	0	2020-03-19
"Carchi"	"Tulcán"	0	2020-03-19
"Carchi"	"Bolivar"	0	2020-03-20
"Carchi"	"Espejo"	0	2020-03-20
"Carchi"	"Mira"	0	2020-03-20
"Carchi"	"Montúfar"	0	2020-03-20
"Carchi"	"San Pedro de Huaca"	0	2020-03-20
"Carchi"	"Tulcán"	0	2020-03-20
"Carchi"	"Bolivar"	0	2020-03-21
"Carchi"	"Espejo"	0	2020-03-21
"Carchi"	"Mira"	0	2020-03-21
"Carchi"	"Montúfar"	0	2020-03-21
"Carchi"	"San Pedro de Huaca"	0	2020-03-21
"Carchi"	"Tulcán"	0	2020-03-21
"Carchi"	"Bolivar"	0	2020-03-22
"Carchi"	"Espejo"	0	2020-03-22
"Carchi"	"Mira"	0	2020-03-22
"Carchi"	"Montúfar"	0	2020-03-22
"Carchi"	"San Pedro de Huaca"	0	2020-03-22
"Carchi"	"Tulcán"	0	2020-03-22
"Carchi"	"Bolivar"	0	2020-03-23
"Carchi"	"Espejo"	0	2020-03-23
"Carchi"	"Mira"	0	2020-03-23
"Carchi"	"Montúfar"	0	2020-03-23
"Carchi"	"San Pedro de Huaca"	0	2020-03-23
"Carchi"	"Tulcán"	0	2020-03-23
"Carchi"	"Bolivar"	0	2020-03-24
"Carchi"	"Espejo"	0	2020-03-24
"Carchi"	"Mira"	0	2020-03-24
"Carchi"	"Montúfar"	0	2020-03-24
"Carchi"	"San Pedro de Huaca"	0	2020-03-24
"Carchi"	"Tulcán"	0	2020-03-24
"Carchi"	"Bolivar"	0	2020-03-25
"Carchi"	"Espejo"	0	2020-03-25
"Carchi"	"Mira"	1	2020-03-25
"Carchi"	"Montúfar"	0	2020-03-25
"Carchi"	"San Pedro de Huaca"	0	2020-03-25
"Carchi"	"Tulcán"	1	2020-03-25
"Carchi"	"Bolivar"	0	2020-03-26
"Carchi"	"Espejo"	0	2020-03-26
"Carchi"	"Mira"	1	2020-03-26
"Carchi"	"Montúfar"	1	2020-03-26
"Carchi"	"San Pedro de Huaca"	0	2020-03-26
"Carchi"	"Tulcán"	1	2020-03-26
"Carchi"	"Bolivar"	0	2020-03-27
"Carchi"	"Espejo"	0	2020-03-27
"Carchi"	"Mira"	1	2020-03-27
"Carchi"	"Montúfar"	1	2020-03-27
"Carchi"	"San Pedro de Huaca"	0	2020-03-27
"Carchi"	"Tulcán"	1	2020-03-27
"Carchi"	"Bolivar"	0	2020-03-28
"Carchi"	"Espejo"	0	2020-03-28
"Carchi"	"Mira"	1	2020-03-28
"Carchi"	"Montúfar"	1	2020-03-28
"Carchi"	"San Pedro de Huaca"	0	2020-03-28
"Carchi"	"Tulcán"	3	2020-03-28
"Carchi"	"Bolivar"	0	2020-03-29
"Carchi"	"Espejo"	0	2020-03-29
"Carchi"	"Mira"	1	2020-03-29
"Carchi"	"Montúfar"	1	2020-03-29
"Carchi"	"San Pedro de Huaca"	1	2020-03-29
"Carchi"	"Tulcán"	3	2020-03-29
"Carchi"	"Bolivar"	0	2020-03-30
"Carchi"	"Espejo"	0	2020-03-30
"Carchi"	"Mira"	1	2020-03-30
"Carchi"	"Montúfar"	1	2020-03-30
"Carchi"	"San Pedro de Huaca"	1	2020-03-30
"Carchi"	"Tulcán"	3	2020-03-30
"Carchi"	"Bolivar"	0	2020-03-31
"Carchi"	"Espejo"	0	2020-03-31
"Carchi"	"Mira"	1	2020-03-31
"Carchi"	"Montúfar"	1	2020-03-31
"Carchi"	"San Pedro de Huaca"	1	2020-03-31
"Carchi"	"Tulcán"	3	2020-03-31
"Carchi"	"Bolivar"	0	2020-04-01
"Carchi"	"Espejo"	0	2020-04-01
"Carchi"	"Mira"	1	2020-04-01
"Carchi"	"Montúfar"	1	2020-04-01
"Carchi"	"San Pedro de Huaca"	1	2020-04-01
"Carchi"	"Tulcán"	3	2020-04-01
"Carchi"	"Bolivar"	0	2020-04-02
"Carchi"	"Espejo"	0	2020-04-02
"Carchi"	"Mira"	1	2020-04-02
"Carchi"	"Montúfar"	1	2020-04-02
"Carchi"	"San Pedro de Huaca"	1	2020-04-02
"Carchi"	"Tulcán"	4	2020-04-02
"Carchi"	"Bolivar"	0	2020-04-03
"Carchi"	"Espejo"	0	2020-04-03
"Carchi"	"Mira"	1	2020-04-03
"Carchi"	"Montúfar"	1	2020-04-03
"Carchi"	"San Pedro de Huaca"	1	2020-04-03
"Carchi"	"Tulcán"	6	2020-04-03
"Carchi"	"Bolivar"	0	2020-04-04
"Carchi"	"Espejo"	0	2020-04-04
"Carchi"	"Mira"	1	2020-04-04
"Carchi"	"Montúfar"	1	2020-04-04
"Carchi"	"San Pedro de Huaca"	1	2020-04-04
"Carchi"	"Tulcán"	6	2020-04-04
"Carchi"	"Bolivar"	0	2020-04-05
"Carchi"	"Espejo"	0	2020-04-05
"Carchi"	"Mira"	1	2020-04-05
"Carchi"	"Montúfar"	2	2020-04-05
"Carchi"	"San Pedro de Huaca"	1	2020-04-05
"Carchi"	"Tulcán"	8	2020-04-05
"Carchi"	"Bolivar"	0	2020-04-06
"Carchi"	"Espejo"	0	2020-04-06
"Carchi"	"Mira"	1	2020-04-06
"Carchi"	"Montúfar"	2	2020-04-06
"Carchi"	"San Pedro de Huaca"	1	2020-04-06
"Carchi"	"Tulcán"	8	2020-04-06
"Carchi"	"Bolivar"	0	2020-04-07
"Carchi"	"Espejo"	0	2020-04-07
"Carchi"	"Mira"	1	2020-04-07
"Carchi"	"Montúfar"	3	2020-04-07
"Carchi"	"San Pedro de Huaca"	1	2020-04-07
"Carchi"	"Tulcán"	9	2020-04-07
"Carchi"	"Bolivar"	0	2020-04-08
"Carchi"	"Espejo"	0	2020-04-08
"Carchi"	"Mira"	1	2020-04-08
"Carchi"	"Montúfar"	3	2020-04-08
"Carchi"	"San Pedro de Huaca"	1	2020-04-08
"Carchi"	"Tulcán"	9	2020-04-08
"Carchi"	"Bolivar"	0	2020-04-09
"Carchi"	"Espejo"	0	2020-04-09
"Carchi"	"Mira"	1	2020-04-09
"Carchi"	"Montúfar"	3	2020-04-09
"Carchi"	"San Pedro de Huaca"	1	2020-04-09
"Carchi"	"Tulcán"	10	2020-04-09
"Carchi"	"Bolivar"	1	2020-04-10
"Carchi"	"Espejo"	0	2020-04-10
"Carchi"	"Mira"	1	2020-04-10
"Carchi"	"Montúfar"	3	2020-04-10
"Carchi"	"San Pedro de Huaca"	1	2020-04-10
"Carchi"	"Tulcán"	11	2020-04-10
"Carchi"	"Bolivar"	1	2020-04-11
"Carchi"	"Espejo"	0	2020-04-11
"Carchi"	"Mira"	1	2020-04-11
"Carchi"	"Montúfar"	3	2020-04-11
"Carchi"	"San Pedro de Huaca"	5	2020-04-11
"Carchi"	"Tulcán"	13	2020-04-11
"Carchi"	"Bolivar"	2	2020-04-12
"Carchi"	"Espejo"	0	2020-04-12
"Carchi"	"Mira"	1	2020-04-12
"Carchi"	"Montúfar"	3	2020-04-12
"Carchi"	"San Pedro de Huaca"	5	2020-04-12
"Carchi"	"Tulcán"	13	2020-04-12
"Carchi"	"Bolivar"	2	2020-04-13
"Carchi"	"Espejo"	0	2020-04-13
"Carchi"	"Mira"	1	2020-04-13
"Carchi"	"Montúfar"	3	2020-04-13
"Carchi"	"San Pedro de Huaca"	5	2020-04-13
"Carchi"	"Tulcán"	14	2020-04-13
"Carchi"	"Bolivar"	3	2020-04-14
"Carchi"	"Espejo"	0	2020-04-14
"Carchi"	"Mira"	1	2020-04-14
"Carchi"	"Montúfar"	3	2020-04-14
"Carchi"	"San Pedro de Huaca"	5	2020-04-14
"Carchi"	"Tulcán"	14	2020-04-14
"Carchi"	"Bolivar"	3	2020-04-15
"Carchi"	"Espejo"	0	2020-04-15
"Carchi"	"Mira"	1	2020-04-15
"Carchi"	"Montúfar"	3	2020-04-15
"Carchi"	"San Pedro de Huaca"	5	2020-04-15
"Carchi"	"Tulcán"	14	2020-04-15
"Carchi"	"Bolivar"	3	2020-04-16
"Carchi"	"Espejo"	0	2020-04-16
"Carchi"	"Mira"	1	2020-04-16
"Carchi"	"Montúfar"	3	2020-04-16
"Carchi"	"San Pedro de Huaca"	5	2020-04-16
"Carchi"	"Tulcán"	14	2020-04-16
"Carchi"	"Bolivar"	3	2020-04-17
"Carchi"	"Espejo"	0	2020-04-17
"Carchi"	"Mira"	1	2020-04-17
"Carchi"	"Montúfar"	3	2020-04-17
"Carchi"	"San Pedro de Huaca"	5	2020-04-17
"Carchi"	"Tulcán"	14	2020-04-17
"Carchi"	"Bolivar"	3	2020-04-18
"Carchi"	"Espejo"	0	2020-04-18
"Carchi"	"Mira"	1	2020-04-18
