"provincia"	"canton"	"total"	"created_at"
"Chimborazo"	"Alausí"	0	2020-03-13
"Chimborazo"	"Chambo"	0	2020-03-13
"Chimborazo"	"Chunchi"	0	2020-03-13
"Chimborazo"	"Colta"	0	2020-03-13
"Chimborazo"	"Cumandá"	0	2020-03-13
"Chimborazo"	"Guamote"	0	2020-03-13
"Chimborazo"	"Guano"	0	2020-03-13
"Chimborazo"	"Pallatanga"	0	2020-03-13
"Chimborazo"	"Penipe"	0	2020-03-13
"Chimborazo"	"Riobamba"	0	2020-03-13
"Chimborazo"	"Alausí"	0	2020-03-14
"Chimborazo"	"Chambo"	0	2020-03-14
"Chimborazo"	"Chunchi"	0	2020-03-14
"Chimborazo"	"Colta"	0	2020-03-14
"Chimborazo"	"Cumandá"	0	2020-03-14
"Chimborazo"	"Guamote"	0	2020-03-14
"Chimborazo"	"Guano"	0	2020-03-14
"Chimborazo"	"Pallatanga"	0	2020-03-14
"Chimborazo"	"Penipe"	0	2020-03-14
"Chimborazo"	"Riobamba"	0	2020-03-14
"Chimborazo"	"Alausí"	0	2020-03-15
"Chimborazo"	"Chambo"	0	2020-03-15
"Chimborazo"	"Chunchi"	0	2020-03-15
"Chimborazo"	"Colta"	0	2020-03-15
"Chimborazo"	"Cumandá"	0	2020-03-15
"Chimborazo"	"Guamote"	0	2020-03-15
"Chimborazo"	"Guano"	0	2020-03-15
"Chimborazo"	"Pallatanga"	0	2020-03-15
"Chimborazo"	"Penipe"	0	2020-03-15
"Chimborazo"	"Riobamba"	0	2020-03-15
"Chimborazo"	"Alausí"	0	2020-03-16
"Chimborazo"	"Chambo"	0	2020-03-16
"Chimborazo"	"Chunchi"	0	2020-03-16
"Chimborazo"	"Colta"	0	2020-03-16
"Chimborazo"	"Cumandá"	0	2020-03-16
"Chimborazo"	"Guamote"	0	2020-03-16
"Chimborazo"	"Guano"	0	2020-03-16
"Chimborazo"	"Pallatanga"	0	2020-03-16
"Chimborazo"	"Penipe"	0	2020-03-16
"Chimborazo"	"Riobamba"	0	2020-03-16
"Chimborazo"	"Alausí"	0	2020-03-17
"Chimborazo"	"Chambo"	0	2020-03-17
"Chimborazo"	"Chunchi"	0	2020-03-17
"Chimborazo"	"Colta"	0	2020-03-17
"Chimborazo"	"Cumandá"	0	2020-03-17
"Chimborazo"	"Guamote"	0	2020-03-17
"Chimborazo"	"Guano"	0	2020-03-17
"Chimborazo"	"Pallatanga"	0	2020-03-17
"Chimborazo"	"Penipe"	0	2020-03-17
"Chimborazo"	"Riobamba"	0	2020-03-17
"Chimborazo"	"Alausí"	0	2020-03-18
"Chimborazo"	"Chambo"	0	2020-03-18
"Chimborazo"	"Chunchi"	0	2020-03-18
"Chimborazo"	"Colta"	0	2020-03-18
"Chimborazo"	"Cumandá"	0	2020-03-18
"Chimborazo"	"Guamote"	0	2020-03-18
"Chimborazo"	"Guano"	0	2020-03-18
"Chimborazo"	"Pallatanga"	0	2020-03-18
"Chimborazo"	"Penipe"	0	2020-03-18
"Chimborazo"	"Riobamba"	0	2020-03-18
"Chimborazo"	"Alausí"	0	2020-03-19
"Chimborazo"	"Chambo"	0	2020-03-19
"Chimborazo"	"Chunchi"	0	2020-03-19
"Chimborazo"	"Colta"	2	2020-03-19
"Chimborazo"	"Cumandá"	0	2020-03-19
"Chimborazo"	"Guamote"	0	2020-03-19
"Chimborazo"	"Guano"	0	2020-03-19
"Chimborazo"	"Pallatanga"	0	2020-03-19
"Chimborazo"	"Penipe"	0	2020-03-19
"Chimborazo"	"Riobamba"	0	2020-03-19
"Chimborazo"	"Alausí"	0	2020-03-20
"Chimborazo"	"Chambo"	0	2020-03-20
"Chimborazo"	"Chunchi"	0	2020-03-20
"Chimborazo"	"Colta"	2	2020-03-20
"Chimborazo"	"Cumandá"	0	2020-03-20
"Chimborazo"	"Guamote"	0	2020-03-20
"Chimborazo"	"Guano"	0	2020-03-20
"Chimborazo"	"Pallatanga"	0	2020-03-20
"Chimborazo"	"Penipe"	0	2020-03-20
"Chimborazo"	"Riobamba"	1	2020-03-20
"Chimborazo"	"Alausí"	0	2020-03-21
"Chimborazo"	"Chambo"	0	2020-03-21
"Chimborazo"	"Chunchi"	0	2020-03-21
"Chimborazo"	"Colta"	2	2020-03-21
"Chimborazo"	"Cumandá"	0	2020-03-21
"Chimborazo"	"Guamote"	0	2020-03-21
"Chimborazo"	"Guano"	0	2020-03-21
"Chimborazo"	"Pallatanga"	0	2020-03-21
"Chimborazo"	"Penipe"	0	2020-03-21
"Chimborazo"	"Riobamba"	2	2020-03-21
"Chimborazo"	"Alausí"	0	2020-03-22
"Chimborazo"	"Chambo"	0	2020-03-22
"Chimborazo"	"Chunchi"	0	2020-03-22
"Chimborazo"	"Colta"	6	2020-03-22
"Chimborazo"	"Cumandá"	1	2020-03-22
"Chimborazo"	"Guamote"	0	2020-03-22
"Chimborazo"	"Guano"	0	2020-03-22
"Chimborazo"	"Pallatanga"	0	2020-03-22
"Chimborazo"	"Penipe"	0	2020-03-22
"Chimborazo"	"Riobamba"	2	2020-03-22
"Chimborazo"	"Alausí"	0	2020-03-23
"Chimborazo"	"Chambo"	0	2020-03-23
"Chimborazo"	"Chunchi"	0	2020-03-23
"Chimborazo"	"Colta"	6	2020-03-23
"Chimborazo"	"Cumandá"	1	2020-03-23
"Chimborazo"	"Guamote"	0	2020-03-23
"Chimborazo"	"Guano"	0	2020-03-23
"Chimborazo"	"Pallatanga"	0	2020-03-23
"Chimborazo"	"Penipe"	0	2020-03-23
"Chimborazo"	"Riobamba"	2	2020-03-23
"Chimborazo"	"Alausí"	0	2020-03-24
"Chimborazo"	"Chambo"	0	2020-03-24
"Chimborazo"	"Chunchi"	0	2020-03-24
"Chimborazo"	"Colta"	6	2020-03-24
"Chimborazo"	"Cumandá"	1	2020-03-24
"Chimborazo"	"Guamote"	0	2020-03-24
"Chimborazo"	"Guano"	0	2020-03-24
"Chimborazo"	"Pallatanga"	0	2020-03-24
"Chimborazo"	"Penipe"	0	2020-03-24
"Chimborazo"	"Riobamba"	4	2020-03-24
"Chimborazo"	"Alausí"	0	2020-03-25
"Chimborazo"	"Chambo"	0	2020-03-25
"Chimborazo"	"Chunchi"	0	2020-03-25
"Chimborazo"	"Colta"	6	2020-03-25
"Chimborazo"	"Cumandá"	1	2020-03-25
"Chimborazo"	"Guamote"	0	2020-03-25
"Chimborazo"	"Guano"	0	2020-03-25
"Chimborazo"	"Pallatanga"	0	2020-03-25
"Chimborazo"	"Penipe"	0	2020-03-25
"Chimborazo"	"Riobamba"	4	2020-03-25
"Chimborazo"	"Alausí"	0	2020-03-26
"Chimborazo"	"Chambo"	0	2020-03-26
"Chimborazo"	"Chunchi"	0	2020-03-26
"Chimborazo"	"Colta"	6	2020-03-26
"Chimborazo"	"Cumandá"	1	2020-03-26
"Chimborazo"	"Guamote"	0	2020-03-26
"Chimborazo"	"Guano"	0	2020-03-26
"Chimborazo"	"Pallatanga"	0	2020-03-26
"Chimborazo"	"Penipe"	0	2020-03-26
"Chimborazo"	"Riobamba"	4	2020-03-26
"Chimborazo"	"Alausí"	0	2020-03-27
"Chimborazo"	"Chambo"	0	2020-03-27
"Chimborazo"	"Chunchi"	0	2020-03-27
"Chimborazo"	"Colta"	6	2020-03-27
"Chimborazo"	"Cumandá"	1	2020-03-27
"Chimborazo"	"Guamote"	0	2020-03-27
"Chimborazo"	"Guano"	0	2020-03-27
"Chimborazo"	"Pallatanga"	0	2020-03-27
"Chimborazo"	"Penipe"	0	2020-03-27
"Chimborazo"	"Riobamba"	4	2020-03-27
"Chimborazo"	"Alausí"	0	2020-03-28
"Chimborazo"	"Chambo"	1	2020-03-28
"Chimborazo"	"Chunchi"	0	2020-03-28
"Chimborazo"	"Colta"	6	2020-03-28
"Chimborazo"	"Cumandá"	1	2020-03-28
"Chimborazo"	"Guamote"	0	2020-03-28
"Chimborazo"	"Guano"	1	2020-03-28
"Chimborazo"	"Pallatanga"	0	2020-03-28
"Chimborazo"	"Penipe"	0	2020-03-28
"Chimborazo"	"Riobamba"	6	2020-03-28
"Chimborazo"	"Alausí"	0	2020-03-29
"Chimborazo"	"Chambo"	1	2020-03-29
"Chimborazo"	"Chunchi"	0	2020-03-29
"Chimborazo"	"Colta"	6	2020-03-29
"Chimborazo"	"Cumandá"	1	2020-03-29
"Chimborazo"	"Guamote"	0	2020-03-29
"Chimborazo"	"Guano"	1	2020-03-29
"Chimborazo"	"Pallatanga"	0	2020-03-29
"Chimborazo"	"Penipe"	0	2020-03-29
"Chimborazo"	"Riobamba"	6	2020-03-29
"Chimborazo"	"Alausí"	0	2020-03-30
"Chimborazo"	"Chambo"	1	2020-03-30
"Chimborazo"	"Chunchi"	0	2020-03-30
"Chimborazo"	"Colta"	6	2020-03-30
"Chimborazo"	"Cumandá"	1	2020-03-30
"Chimborazo"	"Guamote"	0	2020-03-30
"Chimborazo"	"Guano"	1	2020-03-30
"Chimborazo"	"Pallatanga"	0	2020-03-30
"Chimborazo"	"Penipe"	0	2020-03-30
"Chimborazo"	"Riobamba"	6	2020-03-30
"Chimborazo"	"Alausí"	0	2020-03-31
"Chimborazo"	"Chambo"	1	2020-03-31
"Chimborazo"	"Chunchi"	0	2020-03-31
"Chimborazo"	"Colta"	6	2020-03-31
"Chimborazo"	"Cumandá"	1	2020-03-31
"Chimborazo"	"Guamote"	0	2020-03-31
"Chimborazo"	"Guano"	1	2020-03-31
"Chimborazo"	"Pallatanga"	0	2020-03-31
"Chimborazo"	"Penipe"	0	2020-03-31
"Chimborazo"	"Riobamba"	8	2020-03-31
"Chimborazo"	"Alausí"	0	2020-04-01
"Chimborazo"	"Chambo"	1	2020-04-01
"Chimborazo"	"Chunchi"	0	2020-04-01
"Chimborazo"	"Colta"	7	2020-04-01
"Chimborazo"	"Cumandá"	1	2020-04-01
"Chimborazo"	"Guamote"	0	2020-04-01
"Chimborazo"	"Guano"	1	2020-04-01
"Chimborazo"	"Pallatanga"	0	2020-04-01
"Chimborazo"	"Penipe"	0	2020-04-01
"Chimborazo"	"Riobamba"	8	2020-04-01
"Chimborazo"	"Alausí"	0	2020-04-02
"Chimborazo"	"Chambo"	1	2020-04-02
"Chimborazo"	"Chunchi"	0	2020-04-02
"Chimborazo"	"Colta"	8	2020-04-02
"Chimborazo"	"Cumandá"	1	2020-04-02
"Chimborazo"	"Guamote"	1	2020-04-02
"Chimborazo"	"Guano"	1	2020-04-02
"Chimborazo"	"Pallatanga"	0	2020-04-02
"Chimborazo"	"Penipe"	0	2020-04-02
"Chimborazo"	"Riobamba"	12	2020-04-02
"Chimborazo"	"Alausí"	0	2020-04-03
"Chimborazo"	"Chambo"	1	2020-04-03
"Chimborazo"	"Chunchi"	0	2020-04-03
"Chimborazo"	"Colta"	9	2020-04-03
"Chimborazo"	"Cumandá"	1	2020-04-03
"Chimborazo"	"Guamote"	1	2020-04-03
"Chimborazo"	"Guano"	1	2020-04-03
"Chimborazo"	"Pallatanga"	0	2020-04-03
"Chimborazo"	"Penipe"	0	2020-04-03
"Chimborazo"	"Riobamba"	12	2020-04-03
"Chimborazo"	"Alausí"	0	2020-04-04
"Chimborazo"	"Chambo"	1	2020-04-04
"Chimborazo"	"Chunchi"	0	2020-04-04
"Chimborazo"	"Colta"	9	2020-04-04
"Chimborazo"	"Cumandá"	1	2020-04-04
"Chimborazo"	"Guamote"	2	2020-04-04
"Chimborazo"	"Guano"	1	2020-04-04
"Chimborazo"	"Pallatanga"	0	2020-04-04
"Chimborazo"	"Penipe"	0	2020-04-04
"Chimborazo"	"Riobamba"	17	2020-04-04
"Chimborazo"	"Alausí"	0	2020-04-05
"Chimborazo"	"Chambo"	1	2020-04-05
"Chimborazo"	"Chunchi"	0	2020-04-05
"Chimborazo"	"Colta"	9	2020-04-05
"Chimborazo"	"Cumandá"	1	2020-04-05
"Chimborazo"	"Guamote"	2	2020-04-05
"Chimborazo"	"Guano"	1	2020-04-05
"Chimborazo"	"Pallatanga"	0	2020-04-05
"Chimborazo"	"Penipe"	0	2020-04-05
"Chimborazo"	"Riobamba"	18	2020-04-05
"Chimborazo"	"Alausí"	0	2020-04-06
"Chimborazo"	"Chambo"	1	2020-04-06
"Chimborazo"	"Chunchi"	0	2020-04-06
"Chimborazo"	"Colta"	10	2020-04-06
"Chimborazo"	"Cumandá"	1	2020-04-06
"Chimborazo"	"Guamote"	3	2020-04-06
"Chimborazo"	"Guano"	3	2020-04-06
"Chimborazo"	"Pallatanga"	0	2020-04-06
"Chimborazo"	"Penipe"	0	2020-04-06
"Chimborazo"	"Riobamba"	28	2020-04-06
"Chimborazo"	"Alausí"	0	2020-04-07
"Chimborazo"	"Chambo"	2	2020-04-07
"Chimborazo"	"Chunchi"	0	2020-04-07
"Chimborazo"	"Colta"	10	2020-04-07
"Chimborazo"	"Cumandá"	1	2020-04-07
"Chimborazo"	"Guamote"	3	2020-04-07
"Chimborazo"	"Guano"	3	2020-04-07
"Chimborazo"	"Pallatanga"	1	2020-04-07
"Chimborazo"	"Penipe"	0	2020-04-07
"Chimborazo"	"Riobamba"	30	2020-04-07
"Chimborazo"	"Alausí"	0	2020-04-08
"Chimborazo"	"Chambo"	2	2020-04-08
"Chimborazo"	"Chunchi"	0	2020-04-08
"Chimborazo"	"Colta"	11	2020-04-08
"Chimborazo"	"Cumandá"	1	2020-04-08
"Chimborazo"	"Guamote"	3	2020-04-08
"Chimborazo"	"Guano"	3	2020-04-08
"Chimborazo"	"Pallatanga"	1	2020-04-08
"Chimborazo"	"Penipe"	0	2020-04-08
"Chimborazo"	"Riobamba"	30	2020-04-08
"Chimborazo"	"Alausí"	1	2020-04-09
"Chimborazo"	"Chambo"	2	2020-04-09
"Chimborazo"	"Chunchi"	0	2020-04-09
"Chimborazo"	"Colta"	11	2020-04-09
"Chimborazo"	"Cumandá"	1	2020-04-09
"Chimborazo"	"Guamote"	3	2020-04-09
"Chimborazo"	"Guano"	3	2020-04-09
"Chimborazo"	"Pallatanga"	1	2020-04-09
"Chimborazo"	"Penipe"	0	2020-04-09
"Chimborazo"	"Riobamba"	32	2020-04-09
"Chimborazo"	"Alausí"	1	2020-04-10
"Chimborazo"	"Chambo"	2	2020-04-10
"Chimborazo"	"Chunchi"	0	2020-04-10
"Chimborazo"	"Colta"	15	2020-04-10
"Chimborazo"	"Cumandá"	2	2020-04-10
"Chimborazo"	"Guamote"	3	2020-04-10
"Chimborazo"	"Guano"	3	2020-04-10
"Chimborazo"	"Pallatanga"	1	2020-04-10
"Chimborazo"	"Penipe"	0	2020-04-10
"Chimborazo"	"Riobamba"	38	2020-04-10
"Chimborazo"	"Alausí"	1	2020-04-11
"Chimborazo"	"Chambo"	2	2020-04-11
"Chimborazo"	"Chunchi"	0	2020-04-11
"Chimborazo"	"Colta"	15	2020-04-11
"Chimborazo"	"Cumandá"	2	2020-04-11
"Chimborazo"	"Guamote"	3	2020-04-11
"Chimborazo"	"Guano"	3	2020-04-11
"Chimborazo"	"Pallatanga"	1	2020-04-11
"Chimborazo"	"Penipe"	0	2020-04-11
"Chimborazo"	"Riobamba"	38	2020-04-11
"Chimborazo"	"Alausí"	1	2020-04-12
"Chimborazo"	"Chambo"	2	2020-04-12
"Chimborazo"	"Chunchi"	0	2020-04-12
"Chimborazo"	"Colta"	18	2020-04-12
"Chimborazo"	"Cumandá"	2	2020-04-12
"Chimborazo"	"Guamote"	4	2020-04-12
"Chimborazo"	"Guano"	5	2020-04-12
"Chimborazo"	"Pallatanga"	1	2020-04-12
"Chimborazo"	"Penipe"	0	2020-04-12
"Chimborazo"	"Riobamba"	41	2020-04-12
"Chimborazo"	"Alausí"	1	2020-04-13
"Chimborazo"	"Chambo"	2	2020-04-13
"Chimborazo"	"Chunchi"	0	2020-04-13
"Chimborazo"	"Colta"	20	2020-04-13
"Chimborazo"	"Cumandá"	2	2020-04-13
"Chimborazo"	"Guamote"	4	2020-04-13
"Chimborazo"	"Guano"	6	2020-04-13
"Chimborazo"	"Pallatanga"	3	2020-04-13
"Chimborazo"	"Penipe"	1	2020-04-13
"Chimborazo"	"Riobamba"	46	2020-04-13
"Chimborazo"	"Alausí"	2	2020-04-14
"Chimborazo"	"Chambo"	2	2020-04-14
"Chimborazo"	"Chunchi"	0	2020-04-14
"Chimborazo"	"Colta"	20	2020-04-14
"Chimborazo"	"Cumandá"	2	2020-04-14
"Chimborazo"	"Guamote"	4	2020-04-14
"Chimborazo"	"Guano"	6	2020-04-14
"Chimborazo"	"Pallatanga"	3	2020-04-14
"Chimborazo"	"Penipe"	1	2020-04-14
"Chimborazo"	"Riobamba"	46	2020-04-14
"Chimborazo"	"Alausí"	3	2020-04-15
"Chimborazo"	"Chambo"	2	2020-04-15
"Chimborazo"	"Chunchi"	0	2020-04-15
"Chimborazo"	"Colta"	21	2020-04-15
"Chimborazo"	"Cumandá"	2	2020-04-15
"Chimborazo"	"Guamote"	4	2020-04-15
"Chimborazo"	"Guano"	6	2020-04-15
"Chimborazo"	"Pallatanga"	3	2020-04-15
"Chimborazo"	"Penipe"	1	2020-04-15
"Chimborazo"	"Riobamba"	48	2020-04-15
"Chimborazo"	"Alausí"	3	2020-04-16
"Chimborazo"	"Chambo"	2	2020-04-16
"Chimborazo"	"Chunchi"	0	2020-04-16
"Chimborazo"	"Colta"	23	2020-04-16
"Chimborazo"	"Cumandá"	2	2020-04-16
"Chimborazo"	"Guamote"	4	2020-04-16
"Chimborazo"	"Guano"	6	2020-04-16
"Chimborazo"	"Pallatanga"	3	2020-04-16
"Chimborazo"	"Penipe"	1	2020-04-16
"Chimborazo"	"Riobamba"	55	2020-04-16
"Chimborazo"	"Alausí"	3	2020-04-17
"Chimborazo"	"Chambo"	2	2020-04-17
"Chimborazo"	"Chunchi"	0	2020-04-17
"Chimborazo"	"Colta"	23	2020-04-17
"Chimborazo"	"Cumandá"	2	2020-04-17
"Chimborazo"	"Guamote"	4	2020-04-17
"Chimborazo"	"Guano"	6	2020-04-17
"Chimborazo"	"Pallatanga"	4	2020-04-17
"Chimborazo"	"Penipe"	2	2020-04-17
"Chimborazo"	"Riobamba"	59	2020-04-17
"Chimborazo"	"Alausí"	3	2020-04-18
"Chimborazo"	"Chambo"	2	2020-04-18
"Chimborazo"	"Chunchi"	0	2020-04-18
"Chimborazo"	"Colta"	24	2020-04-18
"Chimborazo"	"Cumandá"	2	2020-04-18
"Chimborazo"	"Guamote"	4	2020-04-18
"Chimborazo"	"Guano"	6	2020-04-18
"Chimborazo"	"Pallatanga"	4	2020-04-18
"Chimborazo"	"Penipe"	2	2020-04-18
"Chimborazo"	"Riobamba"	61	2020-04-18
"Chimborazo"	"Alausí"	3	2020-04-19
"Chimborazo"	"Chambo"	2	2020-04-19
"Chimborazo"	"Chunchi"	0	2020-04-19
"Chimborazo"	"Colta"	24	2020-04-19
"Chimborazo"	"Cumandá"	2	2020-04-19
"Chimborazo"	"Guamote"	4	2020-04-19
"Chimborazo"	"Guano"	6	2020-04-19
"Chimborazo"	"Pallatanga"	4	2020-04-19
