"provincia"	"canton"	"total"	"created_at"
"Cotopaxi"	"La Maná"	0	2020-03-13
"Cotopaxi"	"Latacunga"	0	2020-03-13
"Cotopaxi"	"Pangua"	0	2020-03-13
"Cotopaxi"	"Pujilí"	0	2020-03-13
"Cotopaxi"	"Salcedo"	0	2020-03-13
"Cotopaxi"	"Saquisilí"	0	2020-03-13
"Cotopaxi"	"Sigchos"	0	2020-03-13
"Cotopaxi"	"La Maná"	0	2020-03-14
"Cotopaxi"	"Latacunga"	0	2020-03-14
"Cotopaxi"	"Pangua"	0	2020-03-14
"Cotopaxi"	"Pujilí"	0	2020-03-14
"Cotopaxi"	"Salcedo"	0	2020-03-14
"Cotopaxi"	"Saquisilí"	0	2020-03-14
"Cotopaxi"	"Sigchos"	0	2020-03-14
"Cotopaxi"	"La Maná"	0	2020-03-15
"Cotopaxi"	"Latacunga"	0	2020-03-15
"Cotopaxi"	"Pangua"	0	2020-03-15
"Cotopaxi"	"Pujilí"	0	2020-03-15
"Cotopaxi"	"Salcedo"	0	2020-03-15
"Cotopaxi"	"Saquisilí"	0	2020-03-15
"Cotopaxi"	"Sigchos"	0	2020-03-15
"Cotopaxi"	"La Maná"	0	2020-03-16
"Cotopaxi"	"Latacunga"	0	2020-03-16
"Cotopaxi"	"Pangua"	0	2020-03-16
"Cotopaxi"	"Pujilí"	0	2020-03-16
"Cotopaxi"	"Salcedo"	0	2020-03-16
"Cotopaxi"	"Saquisilí"	0	2020-03-16
"Cotopaxi"	"Sigchos"	0	2020-03-16
"Cotopaxi"	"La Maná"	0	2020-03-17
"Cotopaxi"	"Latacunga"	0	2020-03-17
"Cotopaxi"	"Pangua"	0	2020-03-17
"Cotopaxi"	"Pujilí"	0	2020-03-17
"Cotopaxi"	"Salcedo"	0	2020-03-17
"Cotopaxi"	"Saquisilí"	0	2020-03-17
"Cotopaxi"	"Sigchos"	0	2020-03-17
"Cotopaxi"	"La Maná"	0	2020-03-18
"Cotopaxi"	"Latacunga"	0	2020-03-18
"Cotopaxi"	"Pangua"	0	2020-03-18
"Cotopaxi"	"Pujilí"	0	2020-03-18
"Cotopaxi"	"Salcedo"	0	2020-03-18
"Cotopaxi"	"Saquisilí"	0	2020-03-18
"Cotopaxi"	"Sigchos"	0	2020-03-18
"Cotopaxi"	"La Maná"	0	2020-03-19
"Cotopaxi"	"Latacunga"	0	2020-03-19
"Cotopaxi"	"Pangua"	0	2020-03-19
"Cotopaxi"	"Pujilí"	0	2020-03-19
"Cotopaxi"	"Salcedo"	0	2020-03-19
"Cotopaxi"	"Saquisilí"	0	2020-03-19
"Cotopaxi"	"Sigchos"	0	2020-03-19
"Cotopaxi"	"La Maná"	0	2020-03-20
"Cotopaxi"	"Latacunga"	0	2020-03-20
"Cotopaxi"	"Pangua"	0	2020-03-20
"Cotopaxi"	"Pujilí"	0	2020-03-20
"Cotopaxi"	"Salcedo"	0	2020-03-20
"Cotopaxi"	"Saquisilí"	0	2020-03-20
"Cotopaxi"	"Sigchos"	0	2020-03-20
"Cotopaxi"	"La Maná"	0	2020-03-21
"Cotopaxi"	"Latacunga"	0	2020-03-21
"Cotopaxi"	"Pangua"	0	2020-03-21
"Cotopaxi"	"Pujilí"	0	2020-03-21
"Cotopaxi"	"Salcedo"	0	2020-03-21
"Cotopaxi"	"Saquisilí"	0	2020-03-21
"Cotopaxi"	"Sigchos"	0	2020-03-21
"Cotopaxi"	"La Maná"	0	2020-03-22
"Cotopaxi"	"Latacunga"	0	2020-03-22
"Cotopaxi"	"Pangua"	0	2020-03-22
"Cotopaxi"	"Pujilí"	0	2020-03-22
"Cotopaxi"	"Salcedo"	0	2020-03-22
"Cotopaxi"	"Saquisilí"	0	2020-03-22
"Cotopaxi"	"Sigchos"	0	2020-03-22
"Cotopaxi"	"La Maná"	1	2020-03-23
"Cotopaxi"	"Latacunga"	0	2020-03-23
"Cotopaxi"	"Pangua"	0	2020-03-23
"Cotopaxi"	"Pujilí"	0	2020-03-23
"Cotopaxi"	"Salcedo"	0	2020-03-23
"Cotopaxi"	"Saquisilí"	0	2020-03-23
"Cotopaxi"	"Sigchos"	0	2020-03-23
"Cotopaxi"	"La Maná"	1	2020-03-24
"Cotopaxi"	"Latacunga"	0	2020-03-24
"Cotopaxi"	"Pangua"	0	2020-03-24
"Cotopaxi"	"Pujilí"	0	2020-03-24
"Cotopaxi"	"Salcedo"	0	2020-03-24
"Cotopaxi"	"Saquisilí"	0	2020-03-24
"Cotopaxi"	"Sigchos"	0	2020-03-24
"Cotopaxi"	"La Maná"	1	2020-03-25
"Cotopaxi"	"Latacunga"	1	2020-03-25
"Cotopaxi"	"Pangua"	0	2020-03-25
"Cotopaxi"	"Pujilí"	0	2020-03-25
"Cotopaxi"	"Salcedo"	0	2020-03-25
"Cotopaxi"	"Saquisilí"	0	2020-03-25
"Cotopaxi"	"Sigchos"	0	2020-03-25
"Cotopaxi"	"La Maná"	1	2020-03-26
"Cotopaxi"	"Latacunga"	1	2020-03-26
"Cotopaxi"	"Pangua"	0	2020-03-26
"Cotopaxi"	"Pujilí"	0	2020-03-26
"Cotopaxi"	"Salcedo"	0	2020-03-26
"Cotopaxi"	"Saquisilí"	0	2020-03-26
"Cotopaxi"	"Sigchos"	0	2020-03-26
"Cotopaxi"	"La Maná"	1	2020-03-27
"Cotopaxi"	"Latacunga"	1	2020-03-27
"Cotopaxi"	"Pangua"	0	2020-03-27
"Cotopaxi"	"Pujilí"	0	2020-03-27
"Cotopaxi"	"Salcedo"	1	2020-03-27
"Cotopaxi"	"Saquisilí"	1	2020-03-27
"Cotopaxi"	"Sigchos"	0	2020-03-27
"Cotopaxi"	"La Maná"	1	2020-03-28
"Cotopaxi"	"Latacunga"	1	2020-03-28
"Cotopaxi"	"Pangua"	0	2020-03-28
"Cotopaxi"	"Pujilí"	0	2020-03-28
"Cotopaxi"	"Salcedo"	2	2020-03-28
"Cotopaxi"	"Saquisilí"	1	2020-03-28
"Cotopaxi"	"Sigchos"	0	2020-03-28
"Cotopaxi"	"La Maná"	1	2020-03-29
"Cotopaxi"	"Latacunga"	1	2020-03-29
"Cotopaxi"	"Pangua"	0	2020-03-29
"Cotopaxi"	"Pujilí"	0	2020-03-29
"Cotopaxi"	"Salcedo"	2	2020-03-29
"Cotopaxi"	"Saquisilí"	1	2020-03-29
"Cotopaxi"	"Sigchos"	0	2020-03-29
"Cotopaxi"	"La Maná"	1	2020-03-30
"Cotopaxi"	"Latacunga"	1	2020-03-30
"Cotopaxi"	"Pangua"	0	2020-03-30
"Cotopaxi"	"Pujilí"	0	2020-03-30
"Cotopaxi"	"Salcedo"	2	2020-03-30
"Cotopaxi"	"Saquisilí"	1	2020-03-30
"Cotopaxi"	"Sigchos"	0	2020-03-30
"Cotopaxi"	"La Maná"	1	2020-03-31
"Cotopaxi"	"Latacunga"	4	2020-03-31
"Cotopaxi"	"Pangua"	0	2020-03-31
"Cotopaxi"	"Pujilí"	0	2020-03-31
"Cotopaxi"	"Salcedo"	2	2020-03-31
"Cotopaxi"	"Saquisilí"	1	2020-03-31
"Cotopaxi"	"Sigchos"	0	2020-03-31
"Cotopaxi"	"La Maná"	1	2020-04-01
"Cotopaxi"	"Latacunga"	5	2020-04-01
"Cotopaxi"	"Pangua"	0	2020-04-01
"Cotopaxi"	"Pujilí"	0	2020-04-01
"Cotopaxi"	"Salcedo"	2	2020-04-01
"Cotopaxi"	"Saquisilí"	1	2020-04-01
"Cotopaxi"	"Sigchos"	1	2020-04-01
"Cotopaxi"	"La Maná"	1	2020-04-02
"Cotopaxi"	"Latacunga"	7	2020-04-02
"Cotopaxi"	"Pangua"	0	2020-04-02
"Cotopaxi"	"Pujilí"	0	2020-04-02
"Cotopaxi"	"Salcedo"	2	2020-04-02
"Cotopaxi"	"Saquisilí"	1	2020-04-02
"Cotopaxi"	"Sigchos"	1	2020-04-02
"Cotopaxi"	"La Maná"	1	2020-04-03
"Cotopaxi"	"Latacunga"	7	2020-04-03
"Cotopaxi"	"Pangua"	0	2020-04-03
"Cotopaxi"	"Pujilí"	1	2020-04-03
"Cotopaxi"	"Salcedo"	2	2020-04-03
"Cotopaxi"	"Saquisilí"	1	2020-04-03
"Cotopaxi"	"Sigchos"	1	2020-04-03
"Cotopaxi"	"La Maná"	1	2020-04-04
"Cotopaxi"	"Latacunga"	10	2020-04-04
"Cotopaxi"	"Pangua"	0	2020-04-04
"Cotopaxi"	"Pujilí"	1	2020-04-04
"Cotopaxi"	"Salcedo"	2	2020-04-04
"Cotopaxi"	"Saquisilí"	1	2020-04-04
"Cotopaxi"	"Sigchos"	1	2020-04-04
"Cotopaxi"	"La Maná"	1	2020-04-05
"Cotopaxi"	"Latacunga"	10	2020-04-05
"Cotopaxi"	"Pangua"	0	2020-04-05
"Cotopaxi"	"Pujilí"	2	2020-04-05
"Cotopaxi"	"Salcedo"	2	2020-04-05
"Cotopaxi"	"Saquisilí"	1	2020-04-05
"Cotopaxi"	"Sigchos"	1	2020-04-05
"Cotopaxi"	"La Maná"	3	2020-04-06
"Cotopaxi"	"Latacunga"	14	2020-04-06
"Cotopaxi"	"Pangua"	0	2020-04-06
"Cotopaxi"	"Pujilí"	2	2020-04-06
"Cotopaxi"	"Salcedo"	2	2020-04-06
"Cotopaxi"	"Saquisilí"	1	2020-04-06
"Cotopaxi"	"Sigchos"	1	2020-04-06
"Cotopaxi"	"La Maná"	3	2020-04-07
"Cotopaxi"	"Latacunga"	18	2020-04-07
"Cotopaxi"	"Pangua"	0	2020-04-07
"Cotopaxi"	"Pujilí"	2	2020-04-07
"Cotopaxi"	"Salcedo"	2	2020-04-07
"Cotopaxi"	"Saquisilí"	1	2020-04-07
"Cotopaxi"	"Sigchos"	2	2020-04-07
"Cotopaxi"	"La Maná"	3	2020-04-08
"Cotopaxi"	"Latacunga"	18	2020-04-08
"Cotopaxi"	"Pangua"	0	2020-04-08
"Cotopaxi"	"Pujilí"	2	2020-04-08
"Cotopaxi"	"Salcedo"	2	2020-04-08
"Cotopaxi"	"Saquisilí"	1	2020-04-08
"Cotopaxi"	"Sigchos"	2	2020-04-08
"Cotopaxi"	"La Maná"	3	2020-04-09
"Cotopaxi"	"Latacunga"	20	2020-04-09
"Cotopaxi"	"Pangua"	0	2020-04-09
