provincia,provincia_poblacion_22,provincia_poblacion_21,provincia_poblacion_20,canton,canton_poblacion_22,canton_poblacion_21,canton_poblacion_20
Azuay,881394,881394,881394,Camilo Ponce Enríquez,36423,36423,36423
Azuay,881394,881394,881394,Chordeleg,15176,15176,15176
Azuay,881394,881394,881394,Cuenca,636996,636996,636996
Azuay,881394,881394,881394,El Pan,3091,3091,3091
Azuay,881394,881394,881394,Girón,13037,13037,13037
Azuay,881394,881394,881394,Guachapala,3859,3859,3859
Azuay,881394,881394,881394,Gualaceo,49104,49104,49104
Azuay,881394,881394,881394,Nabón,17292,17292,17292
Azuay,881394,881394,881394,Oña,4128,4128,4128
Azuay,881394,881394,881394,Paute,29214,29214,29214
Azuay,881394,881394,881394,Pucará,10584,10584,10584
Azuay,881394,881394,881394,San Fernando,4156,4156,4156
Azuay,881394,881394,881394,Santa Isabel,20935,20935,20935
Azuay,881394,881394,881394,Sevilla de Oro,6890,6890,6890
Azuay,881394,881394,881394,Sígsig,30509,30509,30509
Bolívar,209933,209933,209933,Caluma,16429,16429,16429
Bolívar,209933,209933,209933,Chillanes,16850,16850,16850
Bolívar,209933,209933,209933,Chimbo,17378,17378,17378
Bolívar,209933,209933,209933,Echeandía,14081,14081,14081
Bolívar,209933,209933,209933,Guaranda,108763,108763,108763
Bolívar,209933,209933,209933,Las Naves,7428,7428,7428
Bolívar,209933,209933,209933,San Miguel,29004,29004,29004
Carchi,186869,186869,186869,Bolivar,15528,15528,15528
Carchi,186869,186869,186869,Espejo,13817,13817,13817
Carchi,186869,186869,186869,Mira,11969,11969,11969
Carchi,186869,186869,186869,Montúfar,34229,34229,34229
Carchi,186869,186869,186869,San Pedro de Huaca,8931,8931,8931
Carchi,186869,186869,186869,Tulcán,102395,102395,102395
Cañar,281396,281396,281396,Azogues,86276,86276,86276
Cañar,281396,281396,281396,Biblían,23741,23741,23741
Cañar,281396,281396,281396,Cañar,68747,68747,68747
Cañar,281396,281396,281396,Déleg,6782,6782,6782
Cañar,281396,281396,281396,El Tambo,12462,12462,12462
Cañar,281396,281396,281396,La Troncal,76872,76872,76872
Cañar,281396,281396,281396,Suscal,6516,6516,6516
Chimborazo,524004,524004,524004,Alausí,45054,45054,45054
Chimborazo,524004,524004,524004,Chambo,13378,13378,13378
Chimborazo,524004,524004,524004,Chunchi,12795,12795,12795
Chimborazo,524004,524004,524004,Colta,44838,44838,44838
Chimborazo,524004,524004,524004,Cumandá,17973,17973,17973
Chimborazo,524004,524004,524004,Guamote,58291,58291,58291
Chimborazo,524004,524004,524004,Guano,48395,48395,48395
Chimborazo,524004,524004,524004,Pallatanga,12277,12277,12277
Chimborazo,524004,524004,524004,Penipe,6955,6955,6955
Chimborazo,524004,524004,524004,Riobamba,264048,264048,264048
Cotopaxi,488716,488716,488716,La Maná,56905,56905,56905
Cotopaxi,488716,488716,488716,Latacunga,205624,205624,205624
Cotopaxi,488716,488716,488716,Pangua,24612,24612,24612
Cotopaxi,488716,488716,488716,Pujilí,79772,79772,79772
Cotopaxi,488716,488716,488716,Salcedo,67100,67100,67100
Cotopaxi,488716,488716,488716,Saquisilí,31426,31426,31426
Cotopaxi,488716,488716,488716,Sigchos,23277,23277,23277
El Oro,715751,715751,715751,Arenillas,33473,33473,33473
El Oro,715751,715751,715751,Atahualpa,6436,6436,6436
El Oro,715751,715751,715751,Balsas,9233,9233,9233
