"provincia"	"canton"	"total"	"created_at"
"El Oro"	"Arenillas"	0	2020-03-13
"El Oro"	"Atahualpa"	0	2020-03-13
"El Oro"	"Balsas"	0	2020-03-13
"El Oro"	"Chilla"	0	2020-03-13
"El Oro"	"El Guabo"	0	2020-03-13
"El Oro"	"Huaquillas"	0	2020-03-13
"El Oro"	"Las Lajas"	0	2020-03-13
"El Oro"	"Machala"	0	2020-03-13
"El Oro"	"Marcabelí"	0	2020-03-13
"El Oro"	"Pasaje"	0	2020-03-13
"El Oro"	"Piñas"	0	2020-03-13
"El Oro"	"Portovelo"	0	2020-03-13
"El Oro"	"Santa Rosa"	0	2020-03-13
"El Oro"	"Zaruma"	0	2020-03-13
"El Oro"	"Arenillas"	0	2020-03-14
"El Oro"	"Atahualpa"	0	2020-03-14
"El Oro"	"Balsas"	0	2020-03-14
"El Oro"	"Chilla"	0	2020-03-14
"El Oro"	"El Guabo"	0	2020-03-14
"El Oro"	"Huaquillas"	0	2020-03-14
"El Oro"	"Las Lajas"	0	2020-03-14
"El Oro"	"Machala"	0	2020-03-14
"El Oro"	"Marcabelí"	0	2020-03-14
"El Oro"	"Pasaje"	0	2020-03-14
"El Oro"	"Piñas"	0	2020-03-14
"El Oro"	"Portovelo"	0	2020-03-14
"El Oro"	"Santa Rosa"	0	2020-03-14
"El Oro"	"Zaruma"	0	2020-03-14
"El Oro"	"Arenillas"	0	2020-03-15
"El Oro"	"Atahualpa"	0	2020-03-15
"El Oro"	"Balsas"	0	2020-03-15
"El Oro"	"Chilla"	0	2020-03-15
"El Oro"	"El Guabo"	0	2020-03-15
"El Oro"	"Huaquillas"	0	2020-03-15
"El Oro"	"Las Lajas"	0	2020-03-15
"El Oro"	"Machala"	0	2020-03-15
"El Oro"	"Marcabelí"	0	2020-03-15
"El Oro"	"Pasaje"	0	2020-03-15
"El Oro"	"Piñas"	0	2020-03-15
"El Oro"	"Portovelo"	0	2020-03-15
"El Oro"	"Santa Rosa"	0	2020-03-15
"El Oro"	"Zaruma"	0	2020-03-15
"El Oro"	"Arenillas"	0	2020-03-16
"El Oro"	"Atahualpa"	0	2020-03-16
"El Oro"	"Balsas"	0	2020-03-16
"El Oro"	"Chilla"	0	2020-03-16
"El Oro"	"El Guabo"	0	2020-03-16
"El Oro"	"Huaquillas"	0	2020-03-16
"El Oro"	"Las Lajas"	0	2020-03-16
"El Oro"	"Machala"	0	2020-03-16
"El Oro"	"Marcabelí"	0	2020-03-16
"El Oro"	"Pasaje"	0	2020-03-16
"El Oro"	"Piñas"	0	2020-03-16
"El Oro"	"Portovelo"	0	2020-03-16
"El Oro"	"Santa Rosa"	0	2020-03-16
"El Oro"	"Zaruma"	0	2020-03-16
"El Oro"	"Arenillas"	0	2020-03-17
"El Oro"	"Atahualpa"	0	2020-03-17
"El Oro"	"Balsas"	0	2020-03-17
"El Oro"	"Chilla"	0	2020-03-17
"El Oro"	"El Guabo"	0	2020-03-17
"El Oro"	"Huaquillas"	0	2020-03-17
"El Oro"	"Las Lajas"	0	2020-03-17
"El Oro"	"Machala"	1	2020-03-17
"El Oro"	"Marcabelí"	0	2020-03-17
"El Oro"	"Pasaje"	0	2020-03-17
"El Oro"	"Piñas"	0	2020-03-17
"El Oro"	"Portovelo"	0	2020-03-17
"El Oro"	"Santa Rosa"	0	2020-03-17
"El Oro"	"Zaruma"	0	2020-03-17
"El Oro"	"Arenillas"	0	2020-03-18
"El Oro"	"Atahualpa"	0	2020-03-18
"El Oro"	"Balsas"	0	2020-03-18
"El Oro"	"Chilla"	0	2020-03-18
"El Oro"	"El Guabo"	0	2020-03-18
"El Oro"	"Huaquillas"	0	2020-03-18
"El Oro"	"Las Lajas"	0	2020-03-18
"El Oro"	"Machala"	1	2020-03-18
"El Oro"	"Marcabelí"	0	2020-03-18
"El Oro"	"Pasaje"	0	2020-03-18
"El Oro"	"Piñas"	0	2020-03-18
"El Oro"	"Portovelo"	0	2020-03-18
"El Oro"	"Santa Rosa"	0	2020-03-18
"El Oro"	"Zaruma"	0	2020-03-18
"El Oro"	"Arenillas"	0	2020-03-19
"El Oro"	"Atahualpa"	0	2020-03-19
"El Oro"	"Balsas"	0	2020-03-19
"El Oro"	"Chilla"	0	2020-03-19
"El Oro"	"El Guabo"	0	2020-03-19
"El Oro"	"Huaquillas"	0	2020-03-19
"El Oro"	"Las Lajas"	0	2020-03-19
"El Oro"	"Machala"	1	2020-03-19
"El Oro"	"Marcabelí"	0	2020-03-19
"El Oro"	"Pasaje"	0	2020-03-19
"El Oro"	"Piñas"	0	2020-03-19
"El Oro"	"Portovelo"	0	2020-03-19
"El Oro"	"Santa Rosa"	0	2020-03-19
"El Oro"	"Zaruma"	0	2020-03-19
