"provincia"	"canton"	"total"	"created_at"
"Galápagos"	"Isabela"	0	2020-03-13
"Galápagos"	"San Cristóbal"	0	2020-03-13
"Galápagos"	"Santa Cruz"	0	2020-03-13
"Galápagos"	"Isabela"	0	2020-03-14
"Galápagos"	"San Cristóbal"	0	2020-03-14
"Galápagos"	"Santa Cruz"	0	2020-03-14
"Galápagos"	"Isabela"	0	2020-03-15
"Galápagos"	"San Cristóbal"	0	2020-03-15
"Galápagos"	"Santa Cruz"	0	2020-03-15
"Galápagos"	"Isabela"	0	2020-03-16
"Galápagos"	"San Cristóbal"	0	2020-03-16
"Galápagos"	"Santa Cruz"	0	2020-03-16
"Galápagos"	"Isabela"	0	2020-03-17
"Galápagos"	"San Cristóbal"	0	2020-03-17
"Galápagos"	"Santa Cruz"	0	2020-03-17
"Galápagos"	"Isabela"	0	2020-03-18
"Galápagos"	"San Cristóbal"	0	2020-03-18
"Galápagos"	"Santa Cruz"	0	2020-03-18
"Galápagos"	"Isabela"	0	2020-03-19
"Galápagos"	"San Cristóbal"	0	2020-03-19
"Galápagos"	"Santa Cruz"	0	2020-03-19
"Galápagos"	"Isabela"	0	2020-03-20
"Galápagos"	"San Cristóbal"	0	2020-03-20
"Galápagos"	"Santa Cruz"	0	2020-03-20
"Galápagos"	"Isabela"	0	2020-03-21
"Galápagos"	"San Cristóbal"	0	2020-03-21
"Galápagos"	"Santa Cruz"	0	2020-03-21
"Galápagos"	"Isabela"	0	2020-03-22
"Galápagos"	"San Cristóbal"	0	2020-03-22
"Galápagos"	"Santa Cruz"	0	2020-03-22
"Galápagos"	"Isabela"	0	2020-03-23
"Galápagos"	"San Cristóbal"	0	2020-03-23
"Galápagos"	"Santa Cruz"	0	2020-03-23
"Galápagos"	"Isabela"	1	2020-03-24
"Galápagos"	"San Cristóbal"	2	2020-03-24
"Galápagos"	"Santa Cruz"	1	2020-03-24
"Galápagos"	"Isabela"	1	2020-03-25
"Galápagos"	"San Cristóbal"	2	2020-03-25
"Galápagos"	"Santa Cruz"	1	2020-03-25
"Galápagos"	"Isabela"	1	2020-03-26
"Galápagos"	"San Cristóbal"	2	2020-03-26
"Galápagos"	"Santa Cruz"	1	2020-03-26
"Galápagos"	"Isabela"	1	2020-03-27
"Galápagos"	"San Cristóbal"	2	2020-03-27
"Galápagos"	"Santa Cruz"	1	2020-03-27
"Galápagos"	"Isabela"	1	2020-03-28
"Galápagos"	"San Cristóbal"	2	2020-03-28
"Galápagos"	"Santa Cruz"	1	2020-03-28
"Galápagos"	"Isabela"	1	2020-03-29
"Galápagos"	"San Cristóbal"	2	2020-03-29
"Galápagos"	"Santa Cruz"	1	2020-03-29
"Galápagos"	"Isabela"	1	2020-03-30
"Galápagos"	"San Cristóbal"	2	2020-03-30
"Galápagos"	"Santa Cruz"	1	2020-03-30
"Galápagos"	"Isabela"	1	2020-03-31
