"provincia"	"canton"	"total"	"created_at"
"Guayas"	"Alfredo Baquerizo Moreno"	0	2020-03-13
"Guayas"	"Balao"	0	2020-03-13
"Guayas"	"Balzar"	0	2020-03-13
"Guayas"	"Colimes"	0	2020-03-13
"Guayas"	"Coronel Marcelino Maridueña"	0	2020-03-13
"Guayas"	"Daule"	1	2020-03-13
"Guayas"	"Durán"	2	2020-03-13
"Guayas"	"El Triunfo"	0	2020-03-13
"Guayas"	"Empalme"	0	2020-03-13
"Guayas"	"General Antonio Elizalde"	0	2020-03-13
"Guayas"	"Guayaquil"	2	2020-03-13
"Guayas"	"Isidro Ayora"	0	2020-03-13
"Guayas"	"Lomas de Sargentillo"	0	2020-03-13
"Guayas"	"Milagro"	0	2020-03-13
"Guayas"	"Naranjal"	0	2020-03-13
"Guayas"	"Naranjito"	0	2020-03-13
"Guayas"	"Nobol"	0	2020-03-13
"Guayas"	"Palestina"	0	2020-03-13
"Guayas"	"Pedro Carbo"	0	2020-03-13
"Guayas"	"Playas"	0	2020-03-13
"Guayas"	"Salitre"	0	2020-03-13
"Guayas"	"Samborondón"	2	2020-03-13
"Guayas"	"San Jacinto De Yaguachi"	0	2020-03-13
"Guayas"	"Santa Lucía"	0	2020-03-13
"Guayas"	"Simón Bolivar"	0	2020-03-13
"Guayas"	"Alfredo Baquerizo Moreno"	0	2020-03-14
"Guayas"	"Balao"	0	2020-03-14
"Guayas"	"Balzar"	0	2020-03-14
"Guayas"	"Colimes"	0	2020-03-14
"Guayas"	"Coronel Marcelino Maridueña"	0	2020-03-14
"Guayas"	"Daule"	1	2020-03-14
"Guayas"	"Durán"	2	2020-03-14
"Guayas"	"El Triunfo"	0	2020-03-14
"Guayas"	"Empalme"	0	2020-03-14
"Guayas"	"General Antonio Elizalde"	0	2020-03-14
"Guayas"	"Guayaquil"	4	2020-03-14
"Guayas"	"Isidro Ayora"	0	2020-03-14
"Guayas"	"Lomas de Sargentillo"	0	2020-03-14
"Guayas"	"Milagro"	1	2020-03-14
"Guayas"	"Naranjal"	0	2020-03-14
"Guayas"	"Naranjito"	0	2020-03-14
"Guayas"	"Nobol"	0	2020-03-14
"Guayas"	"Palestina"	0	2020-03-14
"Guayas"	"Pedro Carbo"	0	2020-03-14
"Guayas"	"Playas"	0	2020-03-14
"Guayas"	"Salitre"	0	2020-03-14
"Guayas"	"Samborondón"	3	2020-03-14
"Guayas"	"San Jacinto De Yaguachi"	0	2020-03-14
"Guayas"	"Santa Lucía"	0	2020-03-14
"Guayas"	"Simón Bolivar"	0	2020-03-14
"Guayas"	"Alfredo Baquerizo Moreno"	0	2020-03-15
"Guayas"	"Balao"	0	2020-03-15
"Guayas"	"Balzar"	0	2020-03-15
"Guayas"	"Colimes"	0	2020-03-15
"Guayas"	"Coronel Marcelino Maridueña"	0	2020-03-15
"Guayas"	"Daule"	1	2020-03-15
"Guayas"	"Durán"	4	2020-03-15
"Guayas"	"El Triunfo"	0	2020-03-15
"Guayas"	"Empalme"	1	2020-03-15
"Guayas"	"General Antonio Elizalde"	0	2020-03-15
"Guayas"	"Guayaquil"	9	2020-03-15
"Guayas"	"Isidro Ayora"	0	2020-03-15
"Guayas"	"Lomas de Sargentillo"	0	2020-03-15
"Guayas"	"Milagro"	1	2020-03-15
"Guayas"	"Naranjal"	0	2020-03-15
"Guayas"	"Naranjito"	0	2020-03-15
"Guayas"	"Nobol"	0	2020-03-15
"Guayas"	"Palestina"	0	2020-03-15
"Guayas"	"Pedro Carbo"	0	2020-03-15
"Guayas"	"Playas"	0	2020-03-15
"Guayas"	"Salitre"	0	2020-03-15
"Guayas"	"Samborondón"	3	2020-03-15
"Guayas"	"San Jacinto De Yaguachi"	0	2020-03-15
"Guayas"	"Santa Lucía"	0	2020-03-15
"Guayas"	"Simón Bolivar"	0	2020-03-15
"Guayas"	"Alfredo Baquerizo Moreno"	0	2020-03-16
"Guayas"	"Balao"	0	2020-03-16
"Guayas"	"Balzar"	0	2020-03-16
"Guayas"	"Colimes"	0	2020-03-16
"Guayas"	"Coronel Marcelino Maridueña"	0	2020-03-16
"Guayas"	"Daule"	1	2020-03-16
"Guayas"	"Durán"	4	2020-03-16
"Guayas"	"El Triunfo"	0	2020-03-16
"Guayas"	"Empalme"	1	2020-03-16
"Guayas"	"General Antonio Elizalde"	0	2020-03-16
"Guayas"	"Guayaquil"	28	2020-03-16
"Guayas"	"Isidro Ayora"	0	2020-03-16
"Guayas"	"Lomas de Sargentillo"	0	2020-03-16
"Guayas"	"Milagro"	1	2020-03-16
"Guayas"	"Naranjal"	0	2020-03-16
"Guayas"	"Naranjito"	0	2020-03-16
"Guayas"	"Nobol"	0	2020-03-16
"Guayas"	"Palestina"	0	2020-03-16
"Guayas"	"Pedro Carbo"	0	2020-03-16
"Guayas"	"Playas"	0	2020-03-16
"Guayas"	"Salitre"	0	2020-03-16
"Guayas"	"Samborondón"	2	2020-03-16
"Guayas"	"San Jacinto De Yaguachi"	0	2020-03-16
"Guayas"	"Santa Lucía"	0	2020-03-16
"Guayas"	"Simón Bolivar"	0	2020-03-16
"Guayas"	"Alfredo Baquerizo Moreno"	0	2020-03-17
"Guayas"	"Balao"	0	2020-03-17
"Guayas"	"Balzar"	0	2020-03-17
