"provincia"	"canton"	"total"	"created_at"
"Imbabura"	"Antonio Ante"	0	2020-03-13
"Imbabura"	"Cotacachi"	0	2020-03-13
"Imbabura"	"Ibarra"	0	2020-03-13
"Imbabura"	"Otavalo"	0	2020-03-13
"Imbabura"	"Pimampiro"	0	2020-03-13
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-13
"Imbabura"	"Antonio Ante"	0	2020-03-14
"Imbabura"	"Cotacachi"	0	2020-03-14
"Imbabura"	"Ibarra"	0	2020-03-14
"Imbabura"	"Otavalo"	0	2020-03-14
"Imbabura"	"Pimampiro"	0	2020-03-14
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-14
"Imbabura"	"Antonio Ante"	0	2020-03-15
"Imbabura"	"Cotacachi"	0	2020-03-15
"Imbabura"	"Ibarra"	0	2020-03-15
"Imbabura"	"Otavalo"	0	2020-03-15
"Imbabura"	"Pimampiro"	0	2020-03-15
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-15
"Imbabura"	"Antonio Ante"	0	2020-03-16
"Imbabura"	"Cotacachi"	0	2020-03-16
"Imbabura"	"Ibarra"	0	2020-03-16
"Imbabura"	"Otavalo"	0	2020-03-16
"Imbabura"	"Pimampiro"	0	2020-03-16
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-16
"Imbabura"	"Antonio Ante"	0	2020-03-17
"Imbabura"	"Cotacachi"	0	2020-03-17
"Imbabura"	"Ibarra"	0	2020-03-17
"Imbabura"	"Otavalo"	0	2020-03-17
"Imbabura"	"Pimampiro"	0	2020-03-17
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-17
"Imbabura"	"Antonio Ante"	0	2020-03-18
"Imbabura"	"Cotacachi"	0	2020-03-18
"Imbabura"	"Ibarra"	0	2020-03-18
"Imbabura"	"Otavalo"	0	2020-03-18
"Imbabura"	"Pimampiro"	0	2020-03-18
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-18
"Imbabura"	"Antonio Ante"	0	2020-03-19
"Imbabura"	"Cotacachi"	0	2020-03-19
"Imbabura"	"Ibarra"	1	2020-03-19
"Imbabura"	"Otavalo"	0	2020-03-19
"Imbabura"	"Pimampiro"	0	2020-03-19
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-19
"Imbabura"	"Antonio Ante"	0	2020-03-20
"Imbabura"	"Cotacachi"	0	2020-03-20
"Imbabura"	"Ibarra"	2	2020-03-20
"Imbabura"	"Otavalo"	0	2020-03-20
"Imbabura"	"Pimampiro"	0	2020-03-20
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-20
"Imbabura"	"Antonio Ante"	0	2020-03-21
"Imbabura"	"Cotacachi"	0	2020-03-21
"Imbabura"	"Ibarra"	3	2020-03-21
"Imbabura"	"Otavalo"	0	2020-03-21
"Imbabura"	"Pimampiro"	0	2020-03-21
"Imbabura"	"San Miguel de Urcuquí"	0	2020-03-21
"Imbabura"	"Antonio Ante"	0	2020-03-22
"Imbabura"	"Cotacachi"	0	2020-03-22
