"provincia"	"canton"	"total"	"created_at"
"Los Ríos"	"Baba"	0	2020-03-13
"Los Ríos"	"Babahoyo"	10	2020-03-13
"Los Ríos"	"Buena Fe"	0	2020-03-13
"Los Ríos"	"Mocache"	0	2020-03-13
"Los Ríos"	"Montalvo"	0	2020-03-13
"Los Ríos"	"Palenque"	0	2020-03-13
"Los Ríos"	"Puebloviejo"	0	2020-03-13
"Los Ríos"	"Quevedo"	0	2020-03-13
"Los Ríos"	"Quinsaloma"	0	2020-03-13
"Los Ríos"	"Urdaneta"	1	2020-03-13
"Los Ríos"	"Valencia"	0	2020-03-13
"Los Ríos"	"Ventanas"	0	2020-03-13
"Los Ríos"	"Vinces"	0	2020-03-13
"Los Ríos"	"Baba"	0	2020-03-14
"Los Ríos"	"Babahoyo"	10	2020-03-14
"Los Ríos"	"Buena Fe"	0	2020-03-14
"Los Ríos"	"Mocache"	0	2020-03-14
"Los Ríos"	"Montalvo"	0	2020-03-14
"Los Ríos"	"Palenque"	0	2020-03-14
"Los Ríos"	"Puebloviejo"	0	2020-03-14
"Los Ríos"	"Quevedo"	0	2020-03-14
"Los Ríos"	"Quinsaloma"	0	2020-03-14
"Los Ríos"	"Urdaneta"	1	2020-03-14
"Los Ríos"	"Valencia"	0	2020-03-14
"Los Ríos"	"Ventanas"	0	2020-03-14
"Los Ríos"	"Vinces"	0	2020-03-14
"Los Ríos"	"Baba"	0	2020-03-15
"Los Ríos"	"Babahoyo"	9	2020-03-15
"Los Ríos"	"Buena Fe"	0	2020-03-15
"Los Ríos"	"Mocache"	0	2020-03-15
"Los Ríos"	"Montalvo"	0	2020-03-15
"Los Ríos"	"Palenque"	0	2020-03-15
"Los Ríos"	"Puebloviejo"	0	2020-03-15
"Los Ríos"	"Quevedo"	0	2020-03-15
"Los Ríos"	"Quinsaloma"	0	2020-03-15
"Los Ríos"	"Urdaneta"	1	2020-03-15
"Los Ríos"	"Valencia"	0	2020-03-15
"Los Ríos"	"Ventanas"	0	2020-03-15
"Los Ríos"	"Vinces"	0	2020-03-15
"Los Ríos"	"Baba"	0	2020-03-16
"Los Ríos"	"Babahoyo"	9	2020-03-16
"Los Ríos"	"Buena Fe"	0	2020-03-16
"Los Ríos"	"Mocache"	0	2020-03-16
"Los Ríos"	"Montalvo"	0	2020-03-16
"Los Ríos"	"Palenque"	0	2020-03-16
"Los Ríos"	"Puebloviejo"	0	2020-03-16
"Los Ríos"	"Quevedo"	0	2020-03-16
"Los Ríos"	"Quinsaloma"	0	2020-03-16
"Los Ríos"	"Urdaneta"	1	2020-03-16
"Los Ríos"	"Valencia"	0	2020-03-16
"Los Ríos"	"Ventanas"	0	2020-03-16
"Los Ríos"	"Vinces"	0	2020-03-16
"Los Ríos"	"Baba"	0	2020-03-17
"Los Ríos"	"Babahoyo"	9	2020-03-17
"Los Ríos"	"Buena Fe"	0	2020-03-17
"Los Ríos"	"Mocache"	0	2020-03-17
"Los Ríos"	"Montalvo"	0	2020-03-17
"Los Ríos"	"Palenque"	0	2020-03-17
"Los Ríos"	"Puebloviejo"	0	2020-03-17
"Los Ríos"	"Quevedo"	0	2020-03-17
"Los Ríos"	"Quinsaloma"	0	2020-03-17
"Los Ríos"	"Urdaneta"	1	2020-03-17
"Los Ríos"	"Valencia"	0	2020-03-17
"Los Ríos"	"Ventanas"	0	2020-03-17
"Los Ríos"	"Vinces"	0	2020-03-17
"Los Ríos"	"Baba"	0	2020-03-18
"Los Ríos"	"Babahoyo"	9	2020-03-18
"Los Ríos"	"Buena Fe"	0	2020-03-18
"Los Ríos"	"Mocache"	0	2020-03-18
"Los Ríos"	"Montalvo"	0	2020-03-18
"Los Ríos"	"Palenque"	0	2020-03-18
"Los Ríos"	"Puebloviejo"	0	2020-03-18
"Los Ríos"	"Quevedo"	0	2020-03-18
"Los Ríos"	"Quinsaloma"	0	2020-03-18
"Los Ríos"	"Urdaneta"	1	2020-03-18
"Los Ríos"	"Valencia"	0	2020-03-18
"Los Ríos"	"Ventanas"	0	2020-03-18
"Los Ríos"	"Vinces"	0	2020-03-18
"Los Ríos"	"Baba"	0	2020-03-19
"Los Ríos"	"Babahoyo"	15	2020-03-19
"Los Ríos"	"Buena Fe"	0	2020-03-19
"Los Ríos"	"Mocache"	0	2020-03-19
"Los Ríos"	"Montalvo"	0	2020-03-19
"Los Ríos"	"Palenque"	0	2020-03-19
"Los Ríos"	"Puebloviejo"	0	2020-03-19
"Los Ríos"	"Quevedo"	0	2020-03-19
"Los Ríos"	"Quinsaloma"	0	2020-03-19
"Los Ríos"	"Urdaneta"	1	2020-03-19
"Los Ríos"	"Valencia"	0	2020-03-19
"Los Ríos"	"Ventanas"	0	2020-03-19
"Los Ríos"	"Vinces"	0	2020-03-19
