"provincia"	"canton"	"total"	"created_at"
"Manabí"	"Bolívar"	0	2020-03-13
"Manabí"	"Chone"	0	2020-03-13
"Manabí"	"El Carmen"	0	2020-03-13
"Manabí"	"Flavio Alfaro"	0	2020-03-13
"Manabí"	"Jama"	0	2020-03-13
"Manabí"	"Jaramijó"	0	2020-03-13
"Manabí"	"Jipijapa"	0	2020-03-13
"Manabí"	"Junín"	0	2020-03-13
"Manabí"	"Manta"	0	2020-03-13
"Manabí"	"Montecristi"	0	2020-03-13
"Manabí"	"Olmedo"	0	2020-03-13
"Manabí"	"Paján"	0	2020-03-13
"Manabí"	"Pedernales"	0	2020-03-13
"Manabí"	"Pichincha"	0	2020-03-13
"Manabí"	"Portoviejo"	0	2020-03-13
"Manabí"	"Puerto López"	0	2020-03-13
"Manabí"	"Rocafuerte"	0	2020-03-13
"Manabí"	"San Vicente"	0	2020-03-13
"Manabí"	"Santa Ana"	0	2020-03-13
"Manabí"	"Sucre"	0	2020-03-13
"Manabí"	"Tosagua"	0	2020-03-13
"Manabí"	"Veinticuatro de Mayo"	0	2020-03-13
"Manabí"	"Bolívar"	0	2020-03-14
"Manabí"	"Chone"	0	2020-03-14
"Manabí"	"El Carmen"	0	2020-03-14
"Manabí"	"Flavio Alfaro"	0	2020-03-14
"Manabí"	"Jama"	0	2020-03-14
"Manabí"	"Jaramijó"	0	2020-03-14
"Manabí"	"Jipijapa"	0	2020-03-14
"Manabí"	"Junín"	0	2020-03-14
"Manabí"	"Manta"	0	2020-03-14
"Manabí"	"Montecristi"	0	2020-03-14
"Manabí"	"Olmedo"	0	2020-03-14
"Manabí"	"Paján"	0	2020-03-14
"Manabí"	"Pedernales"	0	2020-03-14
"Manabí"	"Pichincha"	0	2020-03-14
"Manabí"	"Portoviejo"	0	2020-03-14
"Manabí"	"Puerto López"	0	2020-03-14
"Manabí"	"Rocafuerte"	0	2020-03-14
"Manabí"	"San Vicente"	0	2020-03-14
"Manabí"	"Santa Ana"	0	2020-03-14
"Manabí"	"Sucre"	0	2020-03-14
"Manabí"	"Tosagua"	0	2020-03-14
"Manabí"	"Veinticuatro de Mayo"	0	2020-03-14
"Manabí"	"Bolívar"	0	2020-03-15
"Manabí"	"Chone"	0	2020-03-15
"Manabí"	"El Carmen"	0	2020-03-15
"Manabí"	"Flavio Alfaro"	0	2020-03-15
"Manabí"	"Jama"	0	2020-03-15
"Manabí"	"Jaramijó"	0	2020-03-15
"Manabí"	"Jipijapa"	0	2020-03-15
"Manabí"	"Junín"	0	2020-03-15
"Manabí"	"Manta"	0	2020-03-15
"Manabí"	"Montecristi"	0	2020-03-15
"Manabí"	"Olmedo"	0	2020-03-15
"Manabí"	"Paján"	0	2020-03-15
"Manabí"	"Pedernales"	0	2020-03-15
"Manabí"	"Pichincha"	0	2020-03-15
"Manabí"	"Portoviejo"	0	2020-03-15
"Manabí"	"Puerto López"	0	2020-03-15
"Manabí"	"Rocafuerte"	0	2020-03-15
"Manabí"	"San Vicente"	0	2020-03-15
"Manabí"	"Santa Ana"	0	2020-03-15
"Manabí"	"Sucre"	0	2020-03-15
"Manabí"	"Tosagua"	0	2020-03-15
"Manabí"	"Veinticuatro de Mayo"	0	2020-03-15
"Manabí"	"Bolívar"	0	2020-03-16
"Manabí"	"Chone"	0	2020-03-16
"Manabí"	"El Carmen"	0	2020-03-16
"Manabí"	"Flavio Alfaro"	0	2020-03-16
"Manabí"	"Jama"	0	2020-03-16
"Manabí"	"Jaramijó"	0	2020-03-16
"Manabí"	"Jipijapa"	0	2020-03-16
"Manabí"	"Junín"	0	2020-03-16
