"provincia"	"canton"	"total"	"created_at"
"Morona Santiago"	"Gualaquiza"	0	2020-03-13
"Morona Santiago"	"Huamboya"	0	2020-03-13
"Morona Santiago"	"Limón Indanza"	0	2020-03-13
"Morona Santiago"	"Logroño"	0	2020-03-13
"Morona Santiago"	"Morona"	0	2020-03-13
"Morona Santiago"	"Pablo Sexto"	0	2020-03-13
"Morona Santiago"	"Palora"	0	2020-03-13
"Morona Santiago"	"San Juan Bosco"	0	2020-03-13
"Morona Santiago"	"Santiago"	0	2020-03-13
"Morona Santiago"	"Sucúa"	0	2020-03-13
"Morona Santiago"	"Taisha"	0	2020-03-13
"Morona Santiago"	"Tiwintza"	0	2020-03-13
"Morona Santiago"	"Gualaquiza"	0	2020-03-14
"Morona Santiago"	"Huamboya"	0	2020-03-14
"Morona Santiago"	"Limón Indanza"	0	2020-03-14
"Morona Santiago"	"Logroño"	0	2020-03-14
"Morona Santiago"	"Morona"	0	2020-03-14
"Morona Santiago"	"Pablo Sexto"	0	2020-03-14
"Morona Santiago"	"Palora"	0	2020-03-14
"Morona Santiago"	"San Juan Bosco"	0	2020-03-14
"Morona Santiago"	"Santiago"	0	2020-03-14
"Morona Santiago"	"Sucúa"	0	2020-03-14
"Morona Santiago"	"Taisha"	0	2020-03-14
"Morona Santiago"	"Tiwintza"	0	2020-03-14
"Morona Santiago"	"Gualaquiza"	0	2020-03-15
"Morona Santiago"	"Huamboya"	0	2020-03-15
"Morona Santiago"	"Limón Indanza"	0	2020-03-15
"Morona Santiago"	"Logroño"	0	2020-03-15
"Morona Santiago"	"Morona"	0	2020-03-15
"Morona Santiago"	"Pablo Sexto"	0	2020-03-15
"Morona Santiago"	"Palora"	0	2020-03-15
"Morona Santiago"	"San Juan Bosco"	0	2020-03-15
"Morona Santiago"	"Santiago"	0	2020-03-15
"Morona Santiago"	"Sucúa"	0	2020-03-15
"Morona Santiago"	"Taisha"	0	2020-03-15
"Morona Santiago"	"Tiwintza"	0	2020-03-15
"Morona Santiago"	"Gualaquiza"	0	2020-03-16
"Morona Santiago"	"Huamboya"	0	2020-03-16
"Morona Santiago"	"Limón Indanza"	0	2020-03-16
"Morona Santiago"	"Logroño"	0	2020-03-16
"Morona Santiago"	"Morona"	0	2020-03-16
"Morona Santiago"	"Pablo Sexto"	0	2020-03-16
"Morona Santiago"	"Palora"	0	2020-03-16
"Morona Santiago"	"San Juan Bosco"	0	2020-03-16
"Morona Santiago"	"Santiago"	0	2020-03-16
"Morona Santiago"	"Sucúa"	0	2020-03-16
"Morona Santiago"	"Taisha"	0	2020-03-16
"Morona Santiago"	"Tiwintza"	0	2020-03-16
"Morona Santiago"	"Gualaquiza"	1	2020-03-17
"Morona Santiago"	"Huamboya"	0	2020-03-17
"Morona Santiago"	"Limón Indanza"	0	2020-03-17
