"provincia"	"canton"	"total"	"created_at"
"Orellana"	"Aguarico"	0	2020-03-13
"Orellana"	"La Joya de los Sachas"	0	2020-03-13
"Orellana"	"Loreto"	0	2020-03-13
"Orellana"	"Orellana"	0	2020-03-13
"Orellana"	"Aguarico"	0	2020-03-14
"Orellana"	"La Joya de los Sachas"	0	2020-03-14
"Orellana"	"Loreto"	0	2020-03-14
"Orellana"	"Orellana"	0	2020-03-14
"Orellana"	"Aguarico"	0	2020-03-15
"Orellana"	"La Joya de los Sachas"	0	2020-03-15
"Orellana"	"Loreto"	0	2020-03-15
"Orellana"	"Orellana"	0	2020-03-15
"Orellana"	"Aguarico"	0	2020-03-16
"Orellana"	"La Joya de los Sachas"	0	2020-03-16
"Orellana"	"Loreto"	0	2020-03-16
"Orellana"	"Orellana"	0	2020-03-16
"Orellana"	"Aguarico"	0	2020-03-17
"Orellana"	"La Joya de los Sachas"	0	2020-03-17
"Orellana"	"Loreto"	0	2020-03-17
"Orellana"	"Orellana"	0	2020-03-17
"Orellana"	"Aguarico"	0	2020-03-18
"Orellana"	"La Joya de los Sachas"	0	2020-03-18
"Orellana"	"Loreto"	0	2020-03-18
"Orellana"	"Orellana"	0	2020-03-18
"Orellana"	"Aguarico"	0	2020-03-19
"Orellana"	"La Joya de los Sachas"	0	2020-03-19
"Orellana"	"Loreto"	0	2020-03-19
"Orellana"	"Orellana"	0	2020-03-19
"Orellana"	"Aguarico"	0	2020-03-20
"Orellana"	"La Joya de los Sachas"	0	2020-03-20
"Orellana"	"Loreto"	0	2020-03-20
"Orellana"	"Orellana"	0	2020-03-20
"Orellana"	"Aguarico"	0	2020-03-21
"Orellana"	"La Joya de los Sachas"	0	2020-03-21
"Orellana"	"Loreto"	0	2020-03-21
"Orellana"	"Orellana"	0	2020-03-21
"Orellana"	"Aguarico"	0	2020-03-22
"Orellana"	"La Joya de los Sachas"	0	2020-03-22
"Orellana"	"Loreto"	0	2020-03-22
"Orellana"	"Orellana"	0	2020-03-22
"Orellana"	"Aguarico"	0	2020-03-23
"Orellana"	"La Joya de los Sachas"	0	2020-03-23
"Orellana"	"Loreto"	0	2020-03-23
"Orellana"	"Orellana"	0	2020-03-23
"Orellana"	"Aguarico"	0	2020-03-24
"Orellana"	"La Joya de los Sachas"	0	2020-03-24
"Orellana"	"Loreto"	0	2020-03-24
"Orellana"	"Orellana"	0	2020-03-24
"Orellana"	"Aguarico"	0	2020-03-25
"Orellana"	"La Joya de los Sachas"	0	2020-03-25
"Orellana"	"Loreto"	0	2020-03-25
"Orellana"	"Orellana"	0	2020-03-25
"Orellana"	"Aguarico"	0	2020-03-26
"Orellana"	"La Joya de los Sachas"	0	2020-03-26
"Orellana"	"Loreto"	0	2020-03-26
"Orellana"	"Orellana"	0	2020-03-26
"Orellana"	"Aguarico"	0	2020-03-27
"Orellana"	"La Joya de los Sachas"	0	2020-03-27
"Orellana"	"Loreto"	0	2020-03-27
"Orellana"	"Orellana"	0	2020-03-27
"Orellana"	"Aguarico"	0	2020-03-28
"Orellana"	"La Joya de los Sachas"	0	2020-03-28
"Orellana"	"Loreto"	0	2020-03-28
"Orellana"	"Orellana"	1	2020-03-28
