"provincia"	"canton"	"total"	"created_at"
"Pastaza"	"Arajuno"	0	2020-03-13
"Pastaza"	"Mera"	0	2020-03-13
"Pastaza"	"Pastaza"	0	2020-03-13
"Pastaza"	"Santa Clara"	0	2020-03-13
"Pastaza"	"Arajuno"	0	2020-03-14
"Pastaza"	"Mera"	0	2020-03-14
"Pastaza"	"Pastaza"	0	2020-03-14
"Pastaza"	"Santa Clara"	0	2020-03-14
"Pastaza"	"Arajuno"	0	2020-03-15
"Pastaza"	"Mera"	0	2020-03-15
"Pastaza"	"Pastaza"	0	2020-03-15
"Pastaza"	"Santa Clara"	0	2020-03-15
"Pastaza"	"Arajuno"	0	2020-03-16
"Pastaza"	"Mera"	0	2020-03-16
"Pastaza"	"Pastaza"	0	2020-03-16
"Pastaza"	"Santa Clara"	0	2020-03-16
"Pastaza"	"Arajuno"	0	2020-03-17
"Pastaza"	"Mera"	0	2020-03-17
"Pastaza"	"Pastaza"	0	2020-03-17
"Pastaza"	"Santa Clara"	0	2020-03-17
"Pastaza"	"Arajuno"	0	2020-03-18
"Pastaza"	"Mera"	0	2020-03-18
"Pastaza"	"Pastaza"	0	2020-03-18
"Pastaza"	"Santa Clara"	0	2020-03-18
"Pastaza"	"Arajuno"	0	2020-03-19
"Pastaza"	"Mera"	0	2020-03-19
"Pastaza"	"Pastaza"	0	2020-03-19
"Pastaza"	"Santa Clara"	0	2020-03-19
"Pastaza"	"Arajuno"	0	2020-03-20
"Pastaza"	"Mera"	0	2020-03-20
"Pastaza"	"Pastaza"	0	2020-03-20
"Pastaza"	"Santa Clara"	0	2020-03-20
"Pastaza"	"Arajuno"	0	2020-03-21
"Pastaza"	"Mera"	0	2020-03-21
"Pastaza"	"Pastaza"	0	2020-03-21
"Pastaza"	"Santa Clara"	0	2020-03-21
"Pastaza"	"Arajuno"	0	2020-03-22
"Pastaza"	"Mera"	0	2020-03-22
"Pastaza"	"Pastaza"	0	2020-03-22
"Pastaza"	"Santa Clara"	0	2020-03-22
"Pastaza"	"Arajuno"	0	2020-03-23
"Pastaza"	"Mera"	0	2020-03-23
"Pastaza"	"Pastaza"	0	2020-03-23
"Pastaza"	"Santa Clara"	0	2020-03-23
"Pastaza"	"Arajuno"	0	2020-03-24
"Pastaza"	"Mera"	0	2020-03-24
"Pastaza"	"Pastaza"	0	2020-03-24
"Pastaza"	"Santa Clara"	0	2020-03-24
"Pastaza"	"Arajuno"	0	2020-03-25
"Pastaza"	"Mera"	0	2020-03-25
"Pastaza"	"Pastaza"	1	2020-03-25
"Pastaza"	"Santa Clara"	0	2020-03-25
"Pastaza"	"Arajuno"	0	2020-03-26
"Pastaza"	"Mera"	1	2020-03-26
"Pastaza"	"Pastaza"	1	2020-03-26
"Pastaza"	"Santa Clara"	0	2020-03-26
"Pastaza"	"Arajuno"	0	2020-03-27
"Pastaza"	"Mera"	1	2020-03-27
"Pastaza"	"Pastaza"	1	2020-03-27
"Pastaza"	"Santa Clara"	0	2020-03-27
"Pastaza"	"Arajuno"	0	2020-03-28
"Pastaza"	"Mera"	1	2020-03-28
"Pastaza"	"Pastaza"	4	2020-03-28
"Pastaza"	"Santa Clara"	0	2020-03-28
"Pastaza"	"Arajuno"	0	2020-03-29
"Pastaza"	"Mera"	1	2020-03-29
"Pastaza"	"Pastaza"	4	2020-03-29
"Pastaza"	"Santa Clara"	0	2020-03-29
"Pastaza"	"Arajuno"	0	2020-03-30
"Pastaza"	"Mera"	1	2020-03-30
"Pastaza"	"Pastaza"	4	2020-03-30
"Pastaza"	"Santa Clara"	0	2020-03-30
"Pastaza"	"Arajuno"	0	2020-03-31
"Pastaza"	"Mera"	1	2020-03-31
"Pastaza"	"Pastaza"	4	2020-03-31
"Pastaza"	"Santa Clara"	0	2020-03-31
"Pastaza"	"Arajuno"	0	2020-04-01
"Pastaza"	"Mera"	1	2020-04-01
"Pastaza"	"Pastaza"	4	2020-04-01
"Pastaza"	"Santa Clara"	0	2020-04-01
"Pastaza"	"Arajuno"	0	2020-04-02
"Pastaza"	"Mera"	1	2020-04-02
"Pastaza"	"Pastaza"	6	2020-04-02
"Pastaza"	"Santa Clara"	0	2020-04-02
"Pastaza"	"Arajuno"	0	2020-04-03
"Pastaza"	"Mera"	1	2020-04-03
"Pastaza"	"Pastaza"	8	2020-04-03
"Pastaza"	"Santa Clara"	0	2020-04-03
"Pastaza"	"Arajuno"	0	2020-04-04
"Pastaza"	"Mera"	1	2020-04-04
"Pastaza"	"Pastaza"	8	2020-04-04
"Pastaza"	"Santa Clara"	0	2020-04-04
"Pastaza"	"Arajuno"	0	2020-04-05
"Pastaza"	"Mera"	1	2020-04-05
"Pastaza"	"Pastaza"	10	2020-04-05
"Pastaza"	"Santa Clara"	0	2020-04-05
"Pastaza"	"Arajuno"	0	2020-04-06
"Pastaza"	"Mera"	1	2020-04-06
"Pastaza"	"Pastaza"	11	2020-04-06
"Pastaza"	"Santa Clara"	0	2020-04-06
"Pastaza"	"Arajuno"	0	2020-04-07
"Pastaza"	"Mera"	1	2020-04-07
"Pastaza"	"Pastaza"	11	2020-04-07
"Pastaza"	"Santa Clara"	0	2020-04-07
"Pastaza"	"Arajuno"	0	2020-04-08
"Pastaza"	"Mera"	1	2020-04-08
"Pastaza"	"Pastaza"	11	2020-04-08
"Pastaza"	"Santa Clara"	0	2020-04-08
"Pastaza"	"Arajuno"	0	2020-04-09
"Pastaza"	"Mera"	1	2020-04-09
"Pastaza"	"Pastaza"	11	2020-04-09
"Pastaza"	"Santa Clara"	0	2020-04-09
"Pastaza"	"Arajuno"	0	2020-04-10
"Pastaza"	"Mera"	1	2020-04-10
"Pastaza"	"Pastaza"	12	2020-04-10
"Pastaza"	"Santa Clara"	0	2020-04-10
"Pastaza"	"Arajuno"	0	2020-04-11
"Pastaza"	"Mera"	1	2020-04-11
"Pastaza"	"Pastaza"	12	2020-04-11
"Pastaza"	"Santa Clara"	0	2020-04-11
"Pastaza"	"Arajuno"	0	2020-04-12
"Pastaza"	"Mera"	1	2020-04-12
"Pastaza"	"Pastaza"	12	2020-04-12
"Pastaza"	"Santa Clara"	0	2020-04-12
"Pastaza"	"Arajuno"	0	2020-04-13
"Pastaza"	"Mera"	1	2020-04-13
"Pastaza"	"Pastaza"	12	2020-04-13
"Pastaza"	"Santa Clara"	0	2020-04-13
"Pastaza"	"Arajuno"	0	2020-04-14
"Pastaza"	"Mera"	1	2020-04-14
"Pastaza"	"Pastaza"	13	2020-04-14
"Pastaza"	"Santa Clara"	0	2020-04-14
"Pastaza"	"Arajuno"	0	2020-04-15
"Pastaza"	"Mera"	1	2020-04-15
