"provincia"	"canton"	"total"	"created_at"
"Pichincha"	"Cayambe"	0	2020-03-13
"Pichincha"	"Mejía"	0	2020-03-13
"Pichincha"	"Pedro Moncayo"	0	2020-03-13
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-13
"Pichincha"	"Puerto Quito"	0	2020-03-13
"Pichincha"	"Quito"	4	2020-03-13
"Pichincha"	"Rumiñahui"	0	2020-03-13
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-13
"Pichincha"	"Cayambe"	0	2020-03-14
"Pichincha"	"Mejía"	0	2020-03-14
"Pichincha"	"Pedro Moncayo"	0	2020-03-14
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-14
"Pichincha"	"Puerto Quito"	0	2020-03-14
"Pichincha"	"Quito"	4	2020-03-14
"Pichincha"	"Rumiñahui"	0	2020-03-14
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-14
"Pichincha"	"Cayambe"	0	2020-03-15
"Pichincha"	"Mejía"	0	2020-03-15
"Pichincha"	"Pedro Moncayo"	0	2020-03-15
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-15
"Pichincha"	"Puerto Quito"	0	2020-03-15
"Pichincha"	"Quito"	6	2020-03-15
"Pichincha"	"Rumiñahui"	0	2020-03-15
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-15
"Pichincha"	"Cayambe"	0	2020-03-16
"Pichincha"	"Mejía"	0	2020-03-16
"Pichincha"	"Pedro Moncayo"	0	2020-03-16
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-16
"Pichincha"	"Puerto Quito"	0	2020-03-16
"Pichincha"	"Quito"	8	2020-03-16
"Pichincha"	"Rumiñahui"	0	2020-03-16
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-16
"Pichincha"	"Cayambe"	0	2020-03-17
"Pichincha"	"Mejía"	0	2020-03-17
"Pichincha"	"Pedro Moncayo"	0	2020-03-17
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-17
"Pichincha"	"Puerto Quito"	0	2020-03-17
"Pichincha"	"Quito"	8	2020-03-17
"Pichincha"	"Rumiñahui"	0	2020-03-17
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-17
"Pichincha"	"Cayambe"	0	2020-03-18
"Pichincha"	"Mejía"	0	2020-03-18
"Pichincha"	"Pedro Moncayo"	0	2020-03-18
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-18
"Pichincha"	"Puerto Quito"	0	2020-03-18
"Pichincha"	"Quito"	12	2020-03-18
"Pichincha"	"Rumiñahui"	0	2020-03-18
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-18
"Pichincha"	"Cayambe"	0	2020-03-19
"Pichincha"	"Mejía"	0	2020-03-19
"Pichincha"	"Pedro Moncayo"	0	2020-03-19
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-19
"Pichincha"	"Puerto Quito"	0	2020-03-19
"Pichincha"	"Quito"	16	2020-03-19
"Pichincha"	"Rumiñahui"	0	2020-03-19
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-19
"Pichincha"	"Cayambe"	0	2020-03-20
"Pichincha"	"Mejía"	0	2020-03-20
"Pichincha"	"Pedro Moncayo"	0	2020-03-20
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-20
"Pichincha"	"Puerto Quito"	0	2020-03-20
"Pichincha"	"Quito"	35	2020-03-20
"Pichincha"	"Rumiñahui"	0	2020-03-20
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-20
"Pichincha"	"Cayambe"	0	2020-03-21
"Pichincha"	"Mejía"	0	2020-03-21
"Pichincha"	"Pedro Moncayo"	0	2020-03-21
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-21
"Pichincha"	"Puerto Quito"	0	2020-03-21
"Pichincha"	"Quito"	50	2020-03-21
"Pichincha"	"Rumiñahui"	0	2020-03-21
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-21
"Pichincha"	"Cayambe"	0	2020-03-22
"Pichincha"	"Mejía"	0	2020-03-22
"Pichincha"	"Pedro Moncayo"	0	2020-03-22
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-22
"Pichincha"	"Puerto Quito"	0	2020-03-22
"Pichincha"	"Quito"	59	2020-03-22
"Pichincha"	"Rumiñahui"	1	2020-03-22
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-22
"Pichincha"	"Cayambe"	0	2020-03-23
"Pichincha"	"Mejía"	0	2020-03-23
"Pichincha"	"Pedro Moncayo"	0	2020-03-23
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-23
"Pichincha"	"Puerto Quito"	0	2020-03-23
"Pichincha"	"Quito"	63	2020-03-23
"Pichincha"	"Rumiñahui"	2	2020-03-23
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-23
"Pichincha"	"Cayambe"	0	2020-03-24
"Pichincha"	"Mejía"	0	2020-03-24
"Pichincha"	"Pedro Moncayo"	0	2020-03-24
"Pichincha"	"Pedro Vicente Maldonado"	0	2020-03-24
"Pichincha"	"Puerto Quito"	0	2020-03-24
"Pichincha"	"Quito"	70	2020-03-24
"Pichincha"	"Rumiñahui"	2	2020-03-24
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-24
"Pichincha"	"Cayambe"	0	2020-03-25
"Pichincha"	"Mejía"	0	2020-03-25
"Pichincha"	"Pedro Moncayo"	0	2020-03-25
"Pichincha"	"Pedro Vicente Maldonado"	1	2020-03-25
"Pichincha"	"Puerto Quito"	0	2020-03-25
"Pichincha"	"Quito"	101	2020-03-25
"Pichincha"	"Rumiñahui"	6	2020-03-25
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-25
"Pichincha"	"Cayambe"	0	2020-03-26
"Pichincha"	"Mejía"	0	2020-03-26
"Pichincha"	"Pedro Moncayo"	0	2020-03-26
"Pichincha"	"Pedro Vicente Maldonado"	1	2020-03-26
"Pichincha"	"Puerto Quito"	0	2020-03-26
"Pichincha"	"Quito"	114	2020-03-26
"Pichincha"	"Rumiñahui"	6	2020-03-26
"Pichincha"	"San Miguel de Los Bancos"	0	2020-03-26
"Pichincha"	"Cayambe"	0	2020-03-27
