"provincia"	"canton"	"total"	"created_at"
"Azuay"	"Camilo Ponce Enríquez"	193	2021-01-01
"Azuay"	"Chordeleg"	105	2021-01-01
"Azuay"	"Cuenca"	10936	2021-01-01
"Azuay"	"El Pan"	89	2021-01-01
"Azuay"	"Girón"	130	2021-01-01
"Azuay"	"Guachapala"	105	2021-01-01
"Azuay"	"Gualaceo"	615	2021-01-01
"Azuay"	"Nabón"	66	2021-01-01
"Azuay"	"Oña"	16	2021-01-01
"Azuay"	"Paute"	682	2021-01-01
"Azuay"	"Pucará"	20	2021-01-01
"Azuay"	"San Fernando"	20	2021-01-01
"Azuay"	"Santa Isabel"	300	2021-01-01
"Azuay"	"Sevilla de Oro"	150	2021-01-01
"Azuay"	"Sígsig"	178	2021-01-01
"Azuay"	"Camilo Ponce Enríquez"	193	2021-01-02
"Azuay"	"Chordeleg"	106	2021-01-02
"Azuay"	"Cuenca"	11037	2021-01-02
"Azuay"	"El Pan"	89	2021-01-02
"Azuay"	"Girón"	137	2021-01-02
"Azuay"	"Guachapala"	107	2021-01-02
"Azuay"	"Gualaceo"	622	2021-01-02
"Azuay"	"Nabón"	68	2021-01-02
"Azuay"	"Oña"	16	2021-01-02
"Azuay"	"Paute"	691	2021-01-02
"Azuay"	"Pucará"	20	2021-01-02
"Azuay"	"San Fernando"	20	2021-01-02
"Azuay"	"Santa Isabel"	306	2021-01-02
"Azuay"	"Sevilla de Oro"	150	2021-01-02
"Azuay"	"Sígsig"	179	2021-01-02
"Azuay"	"Camilo Ponce Enríquez"	193	2021-01-03
"Azuay"	"Chordeleg"	106	2021-01-03
"Azuay"	"Cuenca"	11065	2021-01-03
"Azuay"	"El Pan"	89	2021-01-03
"Azuay"	"Girón"	137	2021-01-03
"Azuay"	"Guachapala"	107	2021-01-03
"Azuay"	"Gualaceo"	622	2021-01-03
"Azuay"	"Nabón"	68	2021-01-03
"Azuay"	"Oña"	16	2021-01-03
"Azuay"	"Paute"	691	2021-01-03
"Azuay"	"Pucará"	20	2021-01-03
"Azuay"	"San Fernando"	20	2021-01-03
"Azuay"	"Santa Isabel"	306	2021-01-03
"Azuay"	"Sevilla de Oro"	150	2021-01-03
"Azuay"	"Sígsig"	179	2021-01-03
"Azuay"	"Camilo Ponce Enríquez"	193	2021-01-04
"Azuay"	"Chordeleg"	106	2021-01-04
"Azuay"	"Cuenca"	11088	2021-01-04
"Azuay"	"El Pan"	89	2021-01-04
"Azuay"	"Girón"	137	2021-01-04
"Azuay"	"Guachapala"	107	2021-01-04
"Azuay"	"Gualaceo"	623	2021-01-04
"Azuay"	"Nabón"	68	2021-01-04
"Azuay"	"Oña"	16	2021-01-04
"Azuay"	"Paute"	700	2021-01-04
"Azuay"	"Pucará"	20	2021-01-04
"Azuay"	"San Fernando"	20	2021-01-04
"Azuay"	"Santa Isabel"	306	2021-01-04
"Azuay"	"Sevilla de Oro"	150	2021-01-04
"Azuay"	"Sígsig"	179	2021-01-04
"Azuay"	"Camilo Ponce Enríquez"	193	2021-01-05
"Azuay"	"Chordeleg"	106	2021-01-05
"Azuay"	"Cuenca"	11136	2021-01-05
"Azuay"	"El Pan"	89	2021-01-05
"Azuay"	"Girón"	138	2021-01-05
"Azuay"	"Guachapala"	107	2021-01-05
"Azuay"	"Gualaceo"	625	2021-01-05
"Azuay"	"Nabón"	70	2021-01-05
"Azuay"	"Oña"	16	2021-01-05
"Azuay"	"Paute"	700	2021-01-05
"Azuay"	"Pucará"	20	2021-01-05
"Azuay"	"San Fernando"	20	2021-01-05
"Azuay"	"Santa Isabel"	306	2021-01-05
"Azuay"	"Sevilla de Oro"	150	2021-01-05
"Azuay"	"Sígsig"	179	2021-01-05
"Azuay"	"Camilo Ponce Enríquez"	194	2021-01-06
"Azuay"	"Chordeleg"	107	2021-01-06
"Azuay"	"Cuenca"	11199	2021-01-06
"Azuay"	"El Pan"	89	2021-01-06
"Azuay"	"Girón"	140	2021-01-06
"Azuay"	"Guachapala"	107	2021-01-06
"Azuay"	"Gualaceo"	631	2021-01-06
"Azuay"	"Nabón"	71	2021-01-06
"Azuay"	"Oña"	17	2021-01-06
"Azuay"	"Paute"	700	2021-01-06
"Azuay"	"Pucará"	20	2021-01-06
"Azuay"	"San Fernando"	20	2021-01-06
"Azuay"	"Santa Isabel"	316	2021-01-06
"Azuay"	"Sevilla de Oro"	150	2021-01-06
"Azuay"	"Sígsig"	182	2021-01-06
"Azuay"	"Camilo Ponce Enríquez"	194	2021-01-07
"Azuay"	"Chordeleg"	109	2021-01-07
"Azuay"	"Cuenca"	11261	2021-01-07
"Azuay"	"El Pan"	89	2021-01-07
"Azuay"	"Girón"	145	2021-01-07
"Azuay"	"Guachapala"	109	2021-01-07
