"provincia"	"canton"	"total"	"created_at"
"Chimborazo"	"Alausí"	228	2021-01-01
"Chimborazo"	"Chambo"	45	2021-01-01
"Chimborazo"	"Chunchi"	106	2021-01-01
"Chimborazo"	"Colta"	132	2021-01-01
"Chimborazo"	"Cumandá"	104	2021-01-01
"Chimborazo"	"Guamote"	87	2021-01-01
"Chimborazo"	"Guano"	194	2021-01-01
"Chimborazo"	"Pallatanga"	42	2021-01-01
"Chimborazo"	"Penipe"	82	2021-01-01
"Chimborazo"	"Riobamba"	2240	2021-01-01
"Chimborazo"	"Alausí"	229	2021-01-02
"Chimborazo"	"Chambo"	45	2021-01-02
"Chimborazo"	"Chunchi"	111	2021-01-02
"Chimborazo"	"Colta"	133	2021-01-02
"Chimborazo"	"Cumandá"	104	2021-01-02
"Chimborazo"	"Guamote"	87	2021-01-02
"Chimborazo"	"Guano"	194	2021-01-02
"Chimborazo"	"Pallatanga"	42	2021-01-02
"Chimborazo"	"Penipe"	83	2021-01-02
"Chimborazo"	"Riobamba"	2256	2021-01-02
"Chimborazo"	"Alausí"	229	2021-01-03
"Chimborazo"	"Chambo"	45	2021-01-03
"Chimborazo"	"Chunchi"	111	2021-01-03
"Chimborazo"	"Colta"	133	2021-01-03
"Chimborazo"	"Cumandá"	104	2021-01-03
"Chimborazo"	"Guamote"	87	2021-01-03
"Chimborazo"	"Guano"	194	2021-01-03
"Chimborazo"	"Pallatanga"	42	2021-01-03
"Chimborazo"	"Penipe"	83	2021-01-03
"Chimborazo"	"Riobamba"	2259	2021-01-03
"Chimborazo"	"Alausí"	229	2021-01-04
"Chimborazo"	"Chambo"	45	2021-01-04
"Chimborazo"	"Chunchi"	111	2021-01-04
"Chimborazo"	"Colta"	133	2021-01-04
"Chimborazo"	"Cumandá"	104	2021-01-04
"Chimborazo"	"Guamote"	87	2021-01-04
"Chimborazo"	"Guano"	195	2021-01-04
"Chimborazo"	"Pallatanga"	43	2021-01-04
"Chimborazo"	"Penipe"	83	2021-01-04
"Chimborazo"	"Riobamba"	2284	2021-01-04
"Chimborazo"	"Alausí"	232	2021-01-05
"Chimborazo"	"Chambo"	45	2021-01-05
"Chimborazo"	"Chunchi"	112	2021-01-05
"Chimborazo"	"Colta"	133	2021-01-05
"Chimborazo"	"Cumandá"	108	2021-01-05
"Chimborazo"	"Guamote"	87	2021-01-05
"Chimborazo"	"Guano"	196	2021-01-05
"Chimborazo"	"Pallatanga"	43	2021-01-05
"Chimborazo"	"Penipe"	84	2021-01-05
"Chimborazo"	"Riobamba"	2318	2021-01-05
"Chimborazo"	"Alausí"	233	2021-01-06
"Chimborazo"	"Chambo"	45	2021-01-06
"Chimborazo"	"Chunchi"	112	2021-01-06
"Chimborazo"	"Colta"	133	2021-01-06
"Chimborazo"	"Cumandá"	112	2021-01-06
"Chimborazo"	"Guamote"	87	2021-01-06
"Chimborazo"	"Guano"	197	2021-01-06
"Chimborazo"	"Pallatanga"	44	2021-01-06
"Chimborazo"	"Penipe"	84	2021-01-06
"Chimborazo"	"Riobamba"	2346	2021-01-06
"Chimborazo"	"Alausí"	233	2021-01-07
"Chimborazo"	"Chambo"	46	2021-01-07
"Chimborazo"	"Chunchi"	112	2021-01-07
"Chimborazo"	"Colta"	134	2021-01-07
"Chimborazo"	"Cumandá"	113	2021-01-07
"Chimborazo"	"Guamote"	87	2021-01-07
"Chimborazo"	"Guano"	197	2021-01-07
"Chimborazo"	"Pallatanga"	44	2021-01-07
"Chimborazo"	"Penipe"	84	2021-01-07
"Chimborazo"	"Riobamba"	2367	2021-01-07
"Chimborazo"	"Alausí"	233	2021-01-08
"Chimborazo"	"Chambo"	46	2021-01-08
"Chimborazo"	"Chunchi"	112	2021-01-08
"Chimborazo"	"Colta"	134	2021-01-08
"Chimborazo"	"Cumandá"	113	2021-01-08
"Chimborazo"	"Guamote"	87	2021-01-08
"Chimborazo"	"Guano"	197	2021-01-08
"Chimborazo"	"Pallatanga"	44	2021-01-08
"Chimborazo"	"Penipe"	84	2021-01-08
"Chimborazo"	"Riobamba"	2372	2021-01-08
"Chimborazo"	"Alausí"	235	2021-01-09
"Chimborazo"	"Chambo"	46	2021-01-09
"Chimborazo"	"Chunchi"	114	2021-01-09
