"provincia"	"canton"	"total"	"created_at"
"Cotopaxi"	"La Maná"	225	2021-01-01
"Cotopaxi"	"Latacunga"	2696	2021-01-01
"Cotopaxi"	"Pangua"	135	2021-01-01
"Cotopaxi"	"Pujilí"	592	2021-01-01
"Cotopaxi"	"Salcedo"	1311	2021-01-01
"Cotopaxi"	"Saquisilí"	563	2021-01-01
"Cotopaxi"	"Sigchos"	185	2021-01-01
"Cotopaxi"	"La Maná"	227	2021-01-02
"Cotopaxi"	"Latacunga"	2713	2021-01-02
"Cotopaxi"	"Pangua"	135	2021-01-02
"Cotopaxi"	"Pujilí"	601	2021-01-02
"Cotopaxi"	"Salcedo"	1329	2021-01-02
"Cotopaxi"	"Saquisilí"	563	2021-01-02
"Cotopaxi"	"Sigchos"	192	2021-01-02
"Cotopaxi"	"La Maná"	227	2021-01-03
"Cotopaxi"	"Latacunga"	2713	2021-01-03
"Cotopaxi"	"Pangua"	135	2021-01-03
"Cotopaxi"	"Pujilí"	601	2021-01-03
"Cotopaxi"	"Salcedo"	1329	2021-01-03
"Cotopaxi"	"Saquisilí"	563	2021-01-03
"Cotopaxi"	"Sigchos"	192	2021-01-03
"Cotopaxi"	"La Maná"	227	2021-01-04
"Cotopaxi"	"Latacunga"	2718	2021-01-04
"Cotopaxi"	"Pangua"	136	2021-01-04
"Cotopaxi"	"Pujilí"	602	2021-01-04
"Cotopaxi"	"Salcedo"	1329	2021-01-04
"Cotopaxi"	"Saquisilí"	564	2021-01-04
"Cotopaxi"	"Sigchos"	192	2021-01-04
"Cotopaxi"	"La Maná"	228	2021-01-05
"Cotopaxi"	"Latacunga"	2745	2021-01-05
"Cotopaxi"	"Pangua"	137	2021-01-05
"Cotopaxi"	"Pujilí"	607	2021-01-05
"Cotopaxi"	"Salcedo"	1336	2021-01-05
"Cotopaxi"	"Saquisilí"	565	2021-01-05
"Cotopaxi"	"Sigchos"	196	2021-01-05
"Cotopaxi"	"La Maná"	229	2021-01-06
"Cotopaxi"	"Latacunga"	2756	2021-01-06
"Cotopaxi"	"Pangua"	137	2021-01-06
"Cotopaxi"	"Pujilí"	608	2021-01-06
"Cotopaxi"	"Salcedo"	1340	2021-01-06
"Cotopaxi"	"Saquisilí"	565	2021-01-06
"Cotopaxi"	"Sigchos"	196	2021-01-06
"Cotopaxi"	"La Maná"	231	2021-01-07
