"provincia"	"canton"	"total"	"created_at"
"El Oro"	"Arenillas"	468	2021-01-01
"El Oro"	"Atahualpa"	84	2021-01-01
"El Oro"	"Balsas"	58	2021-01-01
"El Oro"	"Chilla"	11	2021-01-01
"El Oro"	"El Guabo"	186	2021-01-01
"El Oro"	"Huaquillas"	477	2021-01-01
"El Oro"	"Las Lajas"	18	2021-01-01
"El Oro"	"Machala"	4387	2021-01-01
"El Oro"	"Marcabelí"	17	2021-01-01
"El Oro"	"Pasaje"	391	2021-01-01
"El Oro"	"Piñas"	441	2021-01-01
"El Oro"	"Portovelo"	494	2021-01-01
"El Oro"	"Santa Rosa"	920	2021-01-01
"El Oro"	"Zaruma"	391	2021-01-01
"El Oro"	"Arenillas"	470	2021-01-02
"El Oro"	"Atahualpa"	85	2021-01-02
"El Oro"	"Balsas"	58	2021-01-02
"El Oro"	"Chilla"	11	2021-01-02
"El Oro"	"El Guabo"	187	2021-01-02
"El Oro"	"Huaquillas"	477	2021-01-02
"El Oro"	"Las Lajas"	18	2021-01-02
"El Oro"	"Machala"	4444	2021-01-02
"El Oro"	"Marcabelí"	17	2021-01-02
"El Oro"	"Pasaje"	404	2021-01-02
"El Oro"	"Piñas"	443	2021-01-02
"El Oro"	"Portovelo"	495	2021-01-02
"El Oro"	"Santa Rosa"	931	2021-01-02
"El Oro"	"Zaruma"	395	2021-01-02
"El Oro"	"Arenillas"	470	2021-01-03
"El Oro"	"Atahualpa"	85	2021-01-03
"El Oro"	"Balsas"	58	2021-01-03
"El Oro"	"Chilla"	11	2021-01-03
"El Oro"	"El Guabo"	187	2021-01-03
"El Oro"	"Huaquillas"	478	2021-01-03
"El Oro"	"Las Lajas"	18	2021-01-03
"El Oro"	"Machala"	4446	2021-01-03
"El Oro"	"Marcabelí"	17	2021-01-03
"El Oro"	"Pasaje"	404	2021-01-03
"El Oro"	"Piñas"	443	2021-01-03
"El Oro"	"Portovelo"	495	2021-01-03
"El Oro"	"Santa Rosa"	931	2021-01-03
"El Oro"	"Zaruma"	395	2021-01-03
"El Oro"	"Arenillas"	470	2021-01-04
"El Oro"	"Atahualpa"	87	2021-01-04
"El Oro"	"Balsas"	58	2021-01-04
"El Oro"	"Chilla"	11	2021-01-04
"El Oro"	"El Guabo"	187	2021-01-04
"El Oro"	"Huaquillas"	478	2021-01-04
"El Oro"	"Las Lajas"	18	2021-01-04
"El Oro"	"Machala"	4452	2021-01-04
"El Oro"	"Marcabelí"	17	2021-01-04
"El Oro"	"Pasaje"	405	2021-01-04
"El Oro"	"Piñas"	445	2021-01-04
"El Oro"	"Portovelo"	496	2021-01-04
"El Oro"	"Santa Rosa"	931	2021-01-04
"El Oro"	"Zaruma"	397	2021-01-04
"El Oro"	"Arenillas"	474	2021-01-05
"El Oro"	"Atahualpa"	87	2021-01-05
"El Oro"	"Balsas"	60	2021-01-05
"El Oro"	"Chilla"	11	2021-01-05
"El Oro"	"El Guabo"	187	2021-01-05
"El Oro"	"Huaquillas"	482	2021-01-05
"El Oro"	"Las Lajas"	18	2021-01-05
"El Oro"	"Machala"	4472	2021-01-05
"El Oro"	"Marcabelí"	17	2021-01-05
"El Oro"	"Pasaje"	410	2021-01-05
"El Oro"	"Piñas"	454	2021-01-05
"El Oro"	"Portovelo"	498	2021-01-05
"El Oro"	"Santa Rosa"	931	2021-01-05
"El Oro"	"Zaruma"	399	2021-01-05
"El Oro"	"Arenillas"	474	2021-01-06
"El Oro"	"Atahualpa"	87	2021-01-06
"El Oro"	"Balsas"	60	2021-01-06
"El Oro"	"Chilla"	11	2021-01-06
"El Oro"	"El Guabo"	193	2021-01-06
"El Oro"	"Huaquillas"	482	2021-01-06
"El Oro"	"Las Lajas"	18	2021-01-06
"El Oro"	"Machala"	4501	2021-01-06
"El Oro"	"Marcabelí"	17	2021-01-06
"El Oro"	"Pasaje"	420	2021-01-06
"El Oro"	"Piñas"	454	2021-01-06
"El Oro"	"Portovelo"	498	2021-01-06
"El Oro"	"Santa Rosa"	933	2021-01-06
"El Oro"	"Zaruma"	399	2021-01-06
"El Oro"	"Arenillas"	475	2021-01-07
"El Oro"	"Atahualpa"	87	2021-01-07
"El Oro"	"Balsas"	60	2021-01-07
"El Oro"	"Chilla"	11	2021-01-07
"El Oro"	"El Guabo"	199	2021-01-07
"El Oro"	"Huaquillas"	484	2021-01-07
"El Oro"	"Las Lajas"	18	2021-01-07
"El Oro"	"Machala"	4540	2021-01-07
"El Oro"	"Marcabelí"	17	2021-01-07
"El Oro"	"Pasaje"	430	2021-01-07
"El Oro"	"Piñas"	455	2021-01-07
"El Oro"	"Portovelo"	498	2021-01-07
"El Oro"	"Santa Rosa"	939	2021-01-07
"El Oro"	"Zaruma"	400	2021-01-07
"El Oro"	"Arenillas"	475	2021-01-08
"El Oro"	"Atahualpa"	87	2021-01-08
"El Oro"	"Balsas"	60	2021-01-08
"El Oro"	"Chilla"	11	2021-01-08
"El Oro"	"El Guabo"	203	2021-01-08
"El Oro"	"Huaquillas"	485	2021-01-08
"El Oro"	"Las Lajas"	18	2021-01-08
"El Oro"	"Machala"	4572	2021-01-08
"El Oro"	"Marcabelí"	17	2021-01-08
"El Oro"	"Pasaje"	440	2021-01-08
"El Oro"	"Piñas"	458	2021-01-08
"El Oro"	"Portovelo"	500	2021-01-08
"El Oro"	"Santa Rosa"	954	2021-01-08
"El Oro"	"Zaruma"	400	2021-01-08
"El Oro"	"Arenillas"	475	2021-01-09
"El Oro"	"Atahualpa"	90	2021-01-09
"El Oro"	"Balsas"	60	2021-01-09
"El Oro"	"Chilla"	11	2021-01-09
"El Oro"	"El Guabo"	207	2021-01-09
"El Oro"	"Huaquillas"	486	2021-01-09
"El Oro"	"Las Lajas"	18	2021-01-09
"El Oro"	"Machala"	4644	2021-01-09
"El Oro"	"Marcabelí"	17	2021-01-09
"El Oro"	"Pasaje"	451	2021-01-09
"El Oro"	"Piñas"	460	2021-01-09
"El Oro"	"Portovelo"	505	2021-01-09
"El Oro"	"Santa Rosa"	959	2021-01-09
"El Oro"	"Zaruma"	413	2021-01-09
"El Oro"	"Arenillas"	475	2021-01-10
"El Oro"	"Atahualpa"	90	2021-01-10
"El Oro"	"Balsas"	60	2021-01-10
"El Oro"	"Chilla"	11	2021-01-10
"El Oro"	"El Guabo"	208	2021-01-10
"El Oro"	"Huaquillas"	486	2021-01-10
"El Oro"	"Las Lajas"	18	2021-01-10
"El Oro"	"Machala"	4704	2021-01-10
"El Oro"	"Marcabelí"	17	2021-01-10
"El Oro"	"Pasaje"	454	2021-01-10
"El Oro"	"Piñas"	471	2021-01-10
"El Oro"	"Portovelo"	505	2021-01-10
"El Oro"	"Santa Rosa"	960	2021-01-10
"El Oro"	"Zaruma"	413	2021-01-10
"El Oro"	"Arenillas"	478	2021-01-11
"El Oro"	"Atahualpa"	93	2021-01-11
"El Oro"	"Balsas"	60	2021-01-11
"El Oro"	"Chilla"	11	2021-01-11
"El Oro"	"El Guabo"	210	2021-01-11
"El Oro"	"Huaquillas"	493	2021-01-11
"El Oro"	"Las Lajas"	18	2021-01-11
"El Oro"	"Machala"	4791	2021-01-11
"El Oro"	"Marcabelí"	18	2021-01-11
"El Oro"	"Pasaje"	468	2021-01-11
"El Oro"	"Piñas"	473	2021-01-11
"El Oro"	"Portovelo"	505	2021-01-11
"El Oro"	"Santa Rosa"	965	2021-01-11
"El Oro"	"Zaruma"	416	2021-01-11
"El Oro"	"Arenillas"	478	2021-01-12
"El Oro"	"Atahualpa"	93	2021-01-12
"El Oro"	"Balsas"	60	2021-01-12
"El Oro"	"Chilla"	11	2021-01-12
"El Oro"	"El Guabo"	213	2021-01-12
"El Oro"	"Huaquillas"	495	2021-01-12
"El Oro"	"Las Lajas"	18	2021-01-12
"El Oro"	"Machala"	4821	2021-01-12
"El Oro"	"Marcabelí"	18	2021-01-12
"El Oro"	"Pasaje"	477	2021-01-12
"El Oro"	"Piñas"	474	2021-01-12
"El Oro"	"Portovelo"	505	2021-01-12
"El Oro"	"Santa Rosa"	969	2021-01-12
"El Oro"	"Zaruma"	416	2021-01-12
"El Oro"	"Arenillas"	479	2021-01-13
