"provincia"	"canton"	"total"	"created_at"
"Esmeraldas"	"Atacames"	0	2020-03-13
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-13
"Esmeraldas"	"Esmeraldas"	0	2020-03-13
"Esmeraldas"	"Muisne"	0	2020-03-13
"Esmeraldas"	"Quinindé"	0	2020-03-13
"Esmeraldas"	"Rioverde"	0	2020-03-13
"Esmeraldas"	"San Lorenzo"	0	2020-03-13
"Esmeraldas"	"Atacames"	0	2020-03-14
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-14
"Esmeraldas"	"Esmeraldas"	0	2020-03-14
"Esmeraldas"	"Muisne"	0	2020-03-14
"Esmeraldas"	"Quinindé"	0	2020-03-14
"Esmeraldas"	"Rioverde"	0	2020-03-14
"Esmeraldas"	"San Lorenzo"	0	2020-03-14
"Esmeraldas"	"Atacames"	0	2020-03-15
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-15
"Esmeraldas"	"Esmeraldas"	0	2020-03-15
"Esmeraldas"	"Muisne"	0	2020-03-15
"Esmeraldas"	"Quinindé"	0	2020-03-15
"Esmeraldas"	"Rioverde"	0	2020-03-15
"Esmeraldas"	"San Lorenzo"	0	2020-03-15
"Esmeraldas"	"Atacames"	0	2020-03-16
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-16
"Esmeraldas"	"Esmeraldas"	0	2020-03-16
"Esmeraldas"	"Muisne"	0	2020-03-16
"Esmeraldas"	"Quinindé"	0	2020-03-16
"Esmeraldas"	"Rioverde"	0	2020-03-16
"Esmeraldas"	"San Lorenzo"	0	2020-03-16
"Esmeraldas"	"Atacames"	0	2020-03-17
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-17
"Esmeraldas"	"Esmeraldas"	0	2020-03-17
"Esmeraldas"	"Muisne"	0	2020-03-17
"Esmeraldas"	"Quinindé"	0	2020-03-17
"Esmeraldas"	"Rioverde"	0	2020-03-17
"Esmeraldas"	"San Lorenzo"	0	2020-03-17
"Esmeraldas"	"Atacames"	0	2020-03-18
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-18
"Esmeraldas"	"Esmeraldas"	0	2020-03-18
"Esmeraldas"	"Muisne"	0	2020-03-18
"Esmeraldas"	"Quinindé"	0	2020-03-18
"Esmeraldas"	"Rioverde"	0	2020-03-18
"Esmeraldas"	"San Lorenzo"	0	2020-03-18
"Esmeraldas"	"Atacames"	0	2020-03-19
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-19
"Esmeraldas"	"Esmeraldas"	0	2020-03-19
"Esmeraldas"	"Muisne"	0	2020-03-19
"Esmeraldas"	"Quinindé"	0	2020-03-19
"Esmeraldas"	"Rioverde"	0	2020-03-19
"Esmeraldas"	"San Lorenzo"	0	2020-03-19
"Esmeraldas"	"Atacames"	0	2020-03-20
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-20
"Esmeraldas"	"Esmeraldas"	0	2020-03-20
"Esmeraldas"	"Muisne"	0	2020-03-20
"Esmeraldas"	"Quinindé"	0	2020-03-20
"Esmeraldas"	"Rioverde"	0	2020-03-20
"Esmeraldas"	"San Lorenzo"	0	2020-03-20
"Esmeraldas"	"Atacames"	0	2020-03-21
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-21
"Esmeraldas"	"Esmeraldas"	2	2020-03-21
"Esmeraldas"	"Muisne"	0	2020-03-21
"Esmeraldas"	"Quinindé"	0	2020-03-21
"Esmeraldas"	"Rioverde"	0	2020-03-21
"Esmeraldas"	"San Lorenzo"	0	2020-03-21
"Esmeraldas"	"Atacames"	0	2020-03-22
"Esmeraldas"	"Eloy Alfaro"	0	2020-03-22
