"provincia"	"canton"	"total"	"created_at"
"Guayas"	"Alfredo Baquerizo Moreno"	42	2021-01-01
"Guayas"	"Balao"	84	2021-01-01
"Guayas"	"Balzar"	277	2021-01-01
"Guayas"	"Colimes"	61	2021-01-01
"Guayas"	"Coronel Marcelino Maridueña"	20	2021-01-01
"Guayas"	"Daule"	1085	2021-01-01
"Guayas"	"Durán"	1609	2021-01-01
"Guayas"	"El Triunfo"	285	2021-01-01
"Guayas"	"Empalme"	448	2021-01-01
"Guayas"	"General Antonio Elizalde"	168	2021-01-01
"Guayas"	"Guayaquil"	19222	2021-01-01
"Guayas"	"Isidro Ayora"	38	2021-01-01
"Guayas"	"Lomas de Sargentillo"	67	2021-01-01
"Guayas"	"Milagro"	1142	2021-01-01
"Guayas"	"Naranjal"	389	2021-01-01
"Guayas"	"Naranjito"	190	2021-01-01
"Guayas"	"Nobol"	36	2021-01-01
"Guayas"	"Palestina"	56	2021-01-01
"Guayas"	"Pedro Carbo"	267	2021-01-01
"Guayas"	"Playas"	243	2021-01-01
"Guayas"	"Salitre"	235	2021-01-01
"Guayas"	"Samborondón"	1098	2021-01-01
"Guayas"	"San Jacinto De Yaguachi"	284	2021-01-01
"Guayas"	"Santa Lucía"	102	2021-01-01
"Guayas"	"Simón Bolivar"	27	2021-01-01
"Guayas"	"Alfredo Baquerizo Moreno"	43	2021-01-02
"Guayas"	"Balao"	84	2021-01-02
"Guayas"	"Balzar"	277	2021-01-02
"Guayas"	"Colimes"	61	2021-01-02
"Guayas"	"Coronel Marcelino Maridueña"	23	2021-01-02
"Guayas"	"Daule"	1091	2021-01-02
"Guayas"	"Durán"	1615	2021-01-02
"Guayas"	"El Triunfo"	288	2021-01-02
"Guayas"	"Empalme"	448	2021-01-02
"Guayas"	"General Antonio Elizalde"	169	2021-01-02
"Guayas"	"Guayaquil"	19341	2021-01-02
"Guayas"	"Isidro Ayora"	38	2021-01-02
"Guayas"	"Lomas de Sargentillo"	67	2021-01-02
"Guayas"	"Milagro"	1151	2021-01-02
"Guayas"	"Naranjal"	389	2021-01-02
"Guayas"	"Naranjito"	192	2021-01-02
"Guayas"	"Nobol"	36	2021-01-02
"Guayas"	"Palestina"	56	2021-01-02
"Guayas"	"Pedro Carbo"	267	2021-01-02
"Guayas"	"Playas"	243	2021-01-02
"Guayas"	"Salitre"	235	2021-01-02
"Guayas"	"Samborondón"	1101	2021-01-02
"Guayas"	"San Jacinto De Yaguachi"	286	2021-01-02
"Guayas"	"Santa Lucía"	102	2021-01-02
"Guayas"	"Simón Bolivar"	27	2021-01-02
"Guayas"	"Alfredo Baquerizo Moreno"	43	2021-01-03
"Guayas"	"Balao"	84	2021-01-03
"Guayas"	"Balzar"	277	2021-01-03
"Guayas"	"Colimes"	61	2021-01-03
"Guayas"	"Coronel Marcelino Maridueña"	23	2021-01-03
"Guayas"	"Daule"	1091	2021-01-03
"Guayas"	"Durán"	1615	2021-01-03
"Guayas"	"El Triunfo"	288	2021-01-03
"Guayas"	"Empalme"	448	2021-01-03
"Guayas"	"General Antonio Elizalde"	169	2021-01-03
"Guayas"	"Guayaquil"	19341	2021-01-03
"Guayas"	"Isidro Ayora"	38	2021-01-03
"Guayas"	"Lomas de Sargentillo"	67	2021-01-03
"Guayas"	"Milagro"	1151	2021-01-03
"Guayas"	"Naranjal"	389	2021-01-03
"Guayas"	"Naranjito"	192	2021-01-03
"Guayas"	"Nobol"	36	2021-01-03
"Guayas"	"Palestina"	56	2021-01-03
"Guayas"	"Pedro Carbo"	267	2021-01-03
"Guayas"	"Playas"	243	2021-01-03
"Guayas"	"Salitre"	235	2021-01-03
"Guayas"	"Samborondón"	1101	2021-01-03
"Guayas"	"San Jacinto De Yaguachi"	286	2021-01-03
"Guayas"	"Santa Lucía"	102	2021-01-03
"Guayas"	"Simón Bolivar"	27	2021-01-03
"Guayas"	"Alfredo Baquerizo Moreno"	43	2021-01-04
"Guayas"	"Balao"	85	2021-01-04
"Guayas"	"Balzar"	277	2021-01-04
"Guayas"	"Colimes"	61	2021-01-04
"Guayas"	"Coronel Marcelino Maridueña"	23	2021-01-04
"Guayas"	"Daule"	1092	2021-01-04
"Guayas"	"Durán"	1616	2021-01-04
"Guayas"	"El Triunfo"	289	2021-01-04
