"provincia"	"canton"	"total"	"created_at"
"Loja"	"Calvas"	172	2021-01-01
"Loja"	"Catamayo"	276	2021-01-01
"Loja"	"Celica"	122	2021-01-01
"Loja"	"Chaguarpamba"	37	2021-01-01
"Loja"	"Espíndola"	45	2021-01-01
"Loja"	"Gonzanamá"	59	2021-01-01
"Loja"	"Loja"	5679	2021-01-01
"Loja"	"Macará"	510	2021-01-01
"Loja"	"Olmedo"	16	2021-01-01
"Loja"	"Paltas"	219	2021-01-01
"Loja"	"Pindal"	105	2021-01-01
"Loja"	"Puyango"	94	2021-01-01
"Loja"	"Quilanga"	9	2021-01-01
"Loja"	"Saraguro"	183	2021-01-01
"Loja"	"Sozoranga"	55	2021-01-01
"Loja"	"Zapotillo"	57	2021-01-01
"Loja"	"Calvas"	172	2021-01-02
"Loja"	"Catamayo"	278	2021-01-02
"Loja"	"Celica"	122	2021-01-02
"Loja"	"Chaguarpamba"	37	2021-01-02
"Loja"	"Espíndola"	45	2021-01-02
"Loja"	"Gonzanamá"	59	2021-01-02
"Loja"	"Loja"	5688	2021-01-02
"Loja"	"Macará"	510	2021-01-02
"Loja"	"Olmedo"	16	2021-01-02
"Loja"	"Paltas"	219	2021-01-02
"Loja"	"Pindal"	105	2021-01-02
"Loja"	"Puyango"	94	2021-01-02
"Loja"	"Quilanga"	9	2021-01-02
"Loja"	"Saraguro"	188	2021-01-02
"Loja"	"Sozoranga"	55	2021-01-02
"Loja"	"Zapotillo"	57	2021-01-02
"Loja"	"Calvas"	172	2021-01-03
"Loja"	"Catamayo"	278	2021-01-03
"Loja"	"Celica"	122	2021-01-03
"Loja"	"Chaguarpamba"	37	2021-01-03
"Loja"	"Espíndola"	45	2021-01-03
"Loja"	"Gonzanamá"	59	2021-01-03
"Loja"	"Loja"	5703	2021-01-03
"Loja"	"Macará"	510	2021-01-03
"Loja"	"Olmedo"	16	2021-01-03
"Loja"	"Paltas"	219	2021-01-03
"Loja"	"Pindal"	105	2021-01-03
"Loja"	"Puyango"	94	2021-01-03
"Loja"	"Quilanga"	9	2021-01-03
"Loja"	"Saraguro"	188	2021-01-03
"Loja"	"Sozoranga"	55	2021-01-03
"Loja"	"Zapotillo"	57	2021-01-03
"Loja"	"Calvas"	175	2021-01-04
"Loja"	"Catamayo"	278	2021-01-04
"Loja"	"Celica"	122	2021-01-04
"Loja"	"Chaguarpamba"	37	2021-01-04
"Loja"	"Espíndola"	47	2021-01-04
"Loja"	"Gonzanamá"	59	2021-01-04
"Loja"	"Loja"	5721	2021-01-04
"Loja"	"Macará"	513	2021-01-04
"Loja"	"Olmedo"	16	2021-01-04
"Loja"	"Paltas"	233	2021-01-04
"Loja"	"Pindal"	105	2021-01-04
"Loja"	"Puyango"	94	2021-01-04
"Loja"	"Quilanga"	9	2021-01-04
"Loja"	"Saraguro"	193	2021-01-04
"Loja"	"Sozoranga"	55	2021-01-04
"Loja"	"Zapotillo"	57	2021-01-04
"Loja"	"Calvas"	175	2021-01-05
"Loja"	"Catamayo"	278	2021-01-05
"Loja"	"Celica"	122	2021-01-05
"Loja"	"Chaguarpamba"	37	2021-01-05
"Loja"	"Espíndola"	47	2021-01-05
"Loja"	"Gonzanamá"	59	2021-01-05
"Loja"	"Loja"	5726	2021-01-05
"Loja"	"Macará"	513	2021-01-05
"Loja"	"Olmedo"	16	2021-01-05
"Loja"	"Paltas"	233	2021-01-05
"Loja"	"Pindal"	105	2021-01-05
"Loja"	"Puyango"	94	2021-01-05
"Loja"	"Quilanga"	9	2021-01-05
"Loja"	"Saraguro"	193	2021-01-05
"Loja"	"Sozoranga"	55	2021-01-05
"Loja"	"Zapotillo"	57	2021-01-05
"Loja"	"Calvas"	175	2021-01-06
"Loja"	"Catamayo"	278	2021-01-06
"Loja"	"Celica"	122	2021-01-06
"Loja"	"Chaguarpamba"	37	2021-01-06
"Loja"	"Espíndola"	47	2021-01-06
"Loja"	"Gonzanamá"	59	2021-01-06
"Loja"	"Loja"	5747	2021-01-06
"Loja"	"Macará"	513	2021-01-06
"Loja"	"Olmedo"	16	2021-01-06
"Loja"	"Paltas"	233	2021-01-06
"Loja"	"Pindal"	105	2021-01-06
"Loja"	"Puyango"	96	2021-01-06
"Loja"	"Quilanga"	9	2021-01-06
"Loja"	"Saraguro"	194	2021-01-06
"Loja"	"Sozoranga"	55	2021-01-06
"Loja"	"Zapotillo"	57	2021-01-06
"Loja"	"Calvas"	176	2021-01-07
"Loja"	"Catamayo"	278	2021-01-07
"Loja"	"Celica"	122	2021-01-07
"Loja"	"Chaguarpamba"	37	2021-01-07
"Loja"	"Espíndola"	47	2021-01-07
"Loja"	"Gonzanamá"	59	2021-01-07
"Loja"	"Loja"	5751	2021-01-07
"Loja"	"Macará"	513	2021-01-07
"Loja"	"Olmedo"	16	2021-01-07
"Loja"	"Paltas"	233	2021-01-07
"Loja"	"Pindal"	105	2021-01-07
"Loja"	"Puyango"	96	2021-01-07
"Loja"	"Quilanga"	9	2021-01-07
"Loja"	"Saraguro"	194	2021-01-07
"Loja"	"Sozoranga"	55	2021-01-07
"Loja"	"Zapotillo"	57	2021-01-07
"Loja"	"Calvas"	179	2021-01-08
"Loja"	"Catamayo"	278	2021-01-08
"Loja"	"Celica"	122	2021-01-08
"Loja"	"Chaguarpamba"	37	2021-01-08
"Loja"	"Espíndola"	55	2021-01-08
"Loja"	"Gonzanamá"	59	2021-01-08
"Loja"	"Loja"	5775	2021-01-08
"Loja"	"Macará"	513	2021-01-08
"Loja"	"Olmedo"	16	2021-01-08
"Loja"	"Paltas"	238	2021-01-08
"Loja"	"Pindal"	105	2021-01-08
"Loja"	"Puyango"	96	2021-01-08
"Loja"	"Quilanga"	9	2021-01-08
"Loja"	"Saraguro"	194	2021-01-08
"Loja"	"Sozoranga"	55	2021-01-08
"Loja"	"Zapotillo"	57	2021-01-08
"Loja"	"Calvas"	179	2021-01-09
"Loja"	"Catamayo"	279	2021-01-09
"Loja"	"Celica"	122	2021-01-09
"Loja"	"Chaguarpamba"	37	2021-01-09
"Loja"	"Espíndola"	55	2021-01-09
"Loja"	"Gonzanamá"	59	2021-01-09
"Loja"	"Loja"	5795	2021-01-09
"Loja"	"Macará"	517	2021-01-09
"Loja"	"Olmedo"	16	2021-01-09
"Loja"	"Paltas"	238	2021-01-09
"Loja"	"Pindal"	105	2021-01-09
"Loja"	"Puyango"	98	2021-01-09
"Loja"	"Quilanga"	9	2021-01-09
"Loja"	"Saraguro"	201	2021-01-09
"Loja"	"Sozoranga"	55	2021-01-09
"Loja"	"Zapotillo"	57	2021-01-09
"Loja"	"Calvas"	179	2021-01-10
"Loja"	"Catamayo"	280	2021-01-10
"Loja"	"Celica"	122	2021-01-10
"Loja"	"Chaguarpamba"	37	2021-01-10
"Loja"	"Espíndola"	55	2021-01-10
"Loja"	"Gonzanamá"	59	2021-01-10
"Loja"	"Loja"	5806	2021-01-10
"Loja"	"Macará"	517	2021-01-10
"Loja"	"Olmedo"	17	2021-01-10
"Loja"	"Paltas"	238	2021-01-10
"Loja"	"Pindal"	105	2021-01-10
"Loja"	"Puyango"	98	2021-01-10
"Loja"	"Quilanga"	9	2021-01-10
"Loja"	"Saraguro"	201	2021-01-10
"Loja"	"Sozoranga"	55	2021-01-10
"Loja"	"Zapotillo"	57	2021-01-10
"Loja"	"Calvas"	180	2021-01-11
"Loja"	"Catamayo"	281	2021-01-11
"Loja"	"Celica"	122	2021-01-11
"Loja"	"Chaguarpamba"	37	2021-01-11
"Loja"	"Espíndola"	55	2021-01-11
"Loja"	"Gonzanamá"	59	2021-01-11
"Loja"	"Loja"	5848	2021-01-11
"Loja"	"Macará"	519	2021-01-11
"Loja"	"Olmedo"	17	2021-01-11
"Loja"	"Paltas"	243	2021-01-11
"Loja"	"Pindal"	105	2021-01-11
"Loja"	"Puyango"	99	2021-01-11
"Loja"	"Quilanga"	9	2021-01-11
"Loja"	"Saraguro"	203	2021-01-11
"Loja"	"Sozoranga"	55	2021-01-11
"Loja"	"Zapotillo"	57	2021-01-11
"Loja"	"Calvas"	184	2021-01-12
"Loja"	"Catamayo"	281	2021-01-12
"Loja"	"Celica"	122	2021-01-12
"Loja"	"Chaguarpamba"	37	2021-01-12
"Loja"	"Espíndola"	55	2021-01-12
"Loja"	"Gonzanamá"	59	2021-01-12
"Loja"	"Loja"	5886	2021-01-12
"Loja"	"Macará"	519	2021-01-12
"Loja"	"Olmedo"	17	2021-01-12
"Loja"	"Paltas"	244	2021-01-12
"Loja"	"Pindal"	106	2021-01-12
"Loja"	"Puyango"	99	2021-01-12
"Loja"	"Quilanga"	9	2021-01-12
"Loja"	"Saraguro"	203	2021-01-12
"Loja"	"Sozoranga"	55	2021-01-12
"Loja"	"Zapotillo"	57	2021-01-12
"Loja"	"Calvas"	185	2021-01-13
"Loja"	"Catamayo"	281	2021-01-13
"Loja"	"Celica"	122	2021-01-13
"Loja"	"Chaguarpamba"	37	2021-01-13
"Loja"	"Espíndola"	55	2021-01-13
"Loja"	"Gonzanamá"	59	2021-01-13
"Loja"	"Loja"	5908	2021-01-13
"Loja"	"Macará"	520	2021-01-13
"Loja"	"Olmedo"	17	2021-01-13
"Loja"	"Paltas"	247	2021-01-13
"Loja"	"Pindal"	106	2021-01-13
"Loja"	"Puyango"	100	2021-01-13
"Loja"	"Quilanga"	9	2021-01-13
"Loja"	"Saraguro"	204	2021-01-13
"Loja"	"Sozoranga"	55	2021-01-13
"Loja"	"Zapotillo"	57	2021-01-13
"Loja"	"Calvas"	185	2021-01-14
"Loja"	"Catamayo"	281	2021-01-14
"Loja"	"Celica"	122	2021-01-14
"Loja"	"Chaguarpamba"	37	2021-01-14
"Loja"	"Espíndola"	55	2021-01-14
"Loja"	"Gonzanamá"	59	2021-01-14
"Loja"	"Loja"	5918	2021-01-14
"Loja"	"Macará"	520	2021-01-14
"Loja"	"Olmedo"	17	2021-01-14
"Loja"	"Paltas"	247	2021-01-14
"Loja"	"Pindal"	106	2021-01-14
"Loja"	"Puyango"	100	2021-01-14
"Loja"	"Quilanga"	9	2021-01-14
"Loja"	"Saraguro"	204	2021-01-14
"Loja"	"Sozoranga"	55	2021-01-14
"Loja"	"Zapotillo"	58	2021-01-14
"Loja"	"Calvas"	188	2021-01-15
"Loja"	"Catamayo"	281	2021-01-15
"Loja"	"Celica"	122	2021-01-15
"Loja"	"Chaguarpamba"	37	2021-01-15
"Loja"	"Espíndola"	60	2021-01-15
"Loja"	"Gonzanamá"	59	2021-01-15
"Loja"	"Loja"	5951	2021-01-15
"Loja"	"Macará"	520	2021-01-15
"Loja"	"Olmedo"	17	2021-01-15
"Loja"	"Paltas"	273	2021-01-15
"Loja"	"Pindal"	106	2021-01-15
"Loja"	"Puyango"	101	2021-01-15
"Loja"	"Quilanga"	9	2021-01-15
"Loja"	"Saraguro"	212	2021-01-15
"Loja"	"Sozoranga"	55	2021-01-15
"Loja"	"Zapotillo"	62	2021-01-15
"Loja"	"Calvas"	190	2021-01-16
"Loja"	"Catamayo"	286	2021-01-16
"Loja"	"Celica"	122	2021-01-16
"Loja"	"Chaguarpamba"	37	2021-01-16
"Loja"	"Espíndola"	63	2021-01-16
"Loja"	"Gonzanamá"	59	2021-01-16
"Loja"	"Loja"	6062	2021-01-16
"Loja"	"Macará"	520	2021-01-16
"Loja"	"Olmedo"	19	2021-01-16
"Loja"	"Paltas"	286	2021-01-16
"Loja"	"Pindal"	107	2021-01-16
"Loja"	"Puyango"	101	2021-01-16
"Loja"	"Quilanga"	11	2021-01-16
"Loja"	"Saraguro"	221	2021-01-16
"Loja"	"Sozoranga"	55	2021-01-16
"Loja"	"Zapotillo"	62	2021-01-16
"Loja"	"Calvas"	201	2021-01-17
"Loja"	"Catamayo"	287	2021-01-17
"Loja"	"Celica"	122	2021-01-17
"Loja"	"Chaguarpamba"	37	2021-01-17
"Loja"	"Espíndola"	64	2021-01-17
"Loja"	"Gonzanamá"	59	2021-01-17
"Loja"	"Loja"	6092	2021-01-17
"Loja"	"Macará"	521	2021-01-17
"Loja"	"Olmedo"	19	2021-01-17
"Loja"	"Paltas"	286	2021-01-17
"Loja"	"Pindal"	107	2021-01-17
"Loja"	"Puyango"	102	2021-01-17
"Loja"	"Quilanga"	14	2021-01-17
"Loja"	"Saraguro"	222	2021-01-17
"Loja"	"Sozoranga"	55	2021-01-17
"Loja"	"Zapotillo"	62	2021-01-17
"Loja"	"Calvas"	201	2021-01-18
"Loja"	"Catamayo"	288	2021-01-18
"Loja"	"Celica"	122	2021-01-18
"Loja"	"Chaguarpamba"	37	2021-01-18
"Loja"	"Espíndola"	64	2021-01-18
"Loja"	"Gonzanamá"	59	2021-01-18
"Loja"	"Loja"	6116	2021-01-18
"Loja"	"Macará"	521	2021-01-18
"Loja"	"Olmedo"	19	2021-01-18
"Loja"	"Paltas"	286	2021-01-18
"Loja"	"Pindal"	107	2021-01-18
"Loja"	"Puyango"	102	2021-01-18
"Loja"	"Quilanga"	15	2021-01-18
"Loja"	"Saraguro"	222	2021-01-18
"Loja"	"Sozoranga"	55	2021-01-18
"Loja"	"Zapotillo"	62	2021-01-18
"Loja"	"Calvas"	201	2021-01-19
"Loja"	"Catamayo"	289	2021-01-19
"Loja"	"Celica"	122	2021-01-19
"Loja"	"Chaguarpamba"	37	2021-01-19
"Loja"	"Espíndola"	64	2021-01-19
"Loja"	"Gonzanamá"	60	2021-01-19
"Loja"	"Loja"	6124	2021-01-19
"Loja"	"Macará"	521	2021-01-19
"Loja"	"Olmedo"	19	2021-01-19
"Loja"	"Paltas"	286	2021-01-19
"Loja"	"Pindal"	107	2021-01-19
"Loja"	"Puyango"	103	2021-01-19
"Loja"	"Quilanga"	15	2021-01-19
"Loja"	"Saraguro"	222	2021-01-19
"Loja"	"Sozoranga"	55	2021-01-19
"Loja"	"Zapotillo"	62	2021-01-19
"Loja"	"Calvas"	201	2021-01-20
"Loja"	"Catamayo"	289	2021-01-20
"Loja"	"Celica"	122	2021-01-20
"Loja"	"Chaguarpamba"	37	2021-01-20
"Loja"	"Espíndola"	64	2021-01-20
"Loja"	"Gonzanamá"	60	2021-01-20
"Loja"	"Loja"	6147	2021-01-20
"Loja"	"Macará"	522	2021-01-20
"Loja"	"Olmedo"	19	2021-01-20
"Loja"	"Paltas"	286	2021-01-20
"Loja"	"Pindal"	107	2021-01-20
"Loja"	"Puyango"	103	2021-01-20
"Loja"	"Quilanga"	15	2021-01-20
"Loja"	"Saraguro"	223	2021-01-20
"Loja"	"Sozoranga"	56	2021-01-20
"Loja"	"Zapotillo"	62	2021-01-20
"Loja"	"Calvas"	204	2021-01-21
"Loja"	"Catamayo"	297	2021-01-21
"Loja"	"Celica"	122	2021-01-21
"Loja"	"Chaguarpamba"	38	2021-01-21
"Loja"	"Espíndola"	66	2021-01-21
"Loja"	"Gonzanamá"	60	2021-01-21
"Loja"	"Loja"	6244	2021-01-21
"Loja"	"Macará"	524	2021-01-21
"Loja"	"Olmedo"	19	2021-01-21
