"provincia"	"canton"	"total"	"created_at"
"Los Ríos"	"Baba"	98	2021-01-01
"Los Ríos"	"Babahoyo"	1798	2021-01-01
"Los Ríos"	"Buena Fe"	325	2021-01-01
"Los Ríos"	"Mocache"	58	2021-01-01
"Los Ríos"	"Montalvo"	108	2021-01-01
"Los Ríos"	"Palenque"	71	2021-01-01
"Los Ríos"	"Puebloviejo"	110	2021-01-01
"Los Ríos"	"Quevedo"	1132	2021-01-01
"Los Ríos"	"Quinsaloma"	152	2021-01-01
"Los Ríos"	"Urdaneta"	143	2021-01-01
"Los Ríos"	"Valencia"	93	2021-01-01
"Los Ríos"	"Ventanas"	561	2021-01-01
"Los Ríos"	"Vinces"	258	2021-01-01
"Los Ríos"	"Baba"	98	2021-01-02
"Los Ríos"	"Babahoyo"	1828	2021-01-02
"Los Ríos"	"Buena Fe"	326	2021-01-02
"Los Ríos"	"Mocache"	58	2021-01-02
"Los Ríos"	"Montalvo"	109	2021-01-02
"Los Ríos"	"Palenque"	71	2021-01-02
"Los Ríos"	"Puebloviejo"	111	2021-01-02
"Los Ríos"	"Quevedo"	1138	2021-01-02
"Los Ríos"	"Quinsaloma"	152	2021-01-02
"Los Ríos"	"Urdaneta"	143	2021-01-02
"Los Ríos"	"Valencia"	93	2021-01-02
"Los Ríos"	"Ventanas"	568	2021-01-02
"Los Ríos"	"Vinces"	258	2021-01-02
"Los Ríos"	"Baba"	98	2021-01-03
"Los Ríos"	"Babahoyo"	1828	2021-01-03
"Los Ríos"	"Buena Fe"	326	2021-01-03
"Los Ríos"	"Mocache"	58	2021-01-03
"Los Ríos"	"Montalvo"	109	2021-01-03
"Los Ríos"	"Palenque"	71	2021-01-03
"Los Ríos"	"Puebloviejo"	111	2021-01-03
"Los Ríos"	"Quevedo"	1138	2021-01-03
"Los Ríos"	"Quinsaloma"	152	2021-01-03
"Los Ríos"	"Urdaneta"	143	2021-01-03
"Los Ríos"	"Valencia"	93	2021-01-03
"Los Ríos"	"Ventanas"	568	2021-01-03
"Los Ríos"	"Vinces"	258	2021-01-03
"Los Ríos"	"Baba"	98	2021-01-04
"Los Ríos"	"Babahoyo"	1831	2021-01-04
"Los Ríos"	"Buena Fe"	328	2021-01-04
"Los Ríos"	"Mocache"	58	2021-01-04
"Los Ríos"	"Montalvo"	109	2021-01-04
"Los Ríos"	"Palenque"	72	2021-01-04
