"provincia"	"canton"	"total"	"created_at"
"Manabí"	"Bolívar"	323	2021-01-01
"Manabí"	"Chone"	1509	2021-01-01
"Manabí"	"El Carmen"	569	2021-01-01
"Manabí"	"Flavio Alfaro"	230	2021-01-01
"Manabí"	"Jama"	94	2021-01-01
"Manabí"	"Jaramijó"	104	2021-01-01
"Manabí"	"Jipijapa"	663	2021-01-01
"Manabí"	"Junín"	265	2021-01-01
"Manabí"	"Manta"	2134	2021-01-01
"Manabí"	"Montecristi"	455	2021-01-01
"Manabí"	"Olmedo"	131	2021-01-01
"Manabí"	"Paján"	213	2021-01-01
"Manabí"	"Pedernales"	373	2021-01-01
"Manabí"	"Pichincha"	159	2021-01-01
"Manabí"	"Portoviejo"	5076	2021-01-01
"Manabí"	"Puerto López"	320	2021-01-01
"Manabí"	"Rocafuerte"	612	2021-01-01
"Manabí"	"San Vicente"	139	2021-01-01
"Manabí"	"Santa Ana"	420	2021-01-01
"Manabí"	"Sucre"	649	2021-01-01
"Manabí"	"Tosagua"	296	2021-01-01
"Manabí"	"Veinticuatro de Mayo"	276	2021-01-01
"Manabí"	"Bolívar"	326	2021-01-02
"Manabí"	"Chone"	1526	2021-01-02
"Manabí"	"El Carmen"	570	2021-01-02
"Manabí"	"Flavio Alfaro"	234	2021-01-02
"Manabí"	"Jama"	95	2021-01-02
"Manabí"	"Jaramijó"	107	2021-01-02
"Manabí"	"Jipijapa"	666	2021-01-02
"Manabí"	"Junín"	266	2021-01-02
"Manabí"	"Manta"	2146	2021-01-02
"Manabí"	"Montecristi"	463	2021-01-02
"Manabí"	"Olmedo"	131	2021-01-02
"Manabí"	"Paján"	213	2021-01-02
"Manabí"	"Pedernales"	374	2021-01-02
"Manabí"	"Pichincha"	161	2021-01-02
"Manabí"	"Portoviejo"	5111	2021-01-02
"Manabí"	"Puerto López"	320	2021-01-02
"Manabí"	"Rocafuerte"	615	2021-01-02
"Manabí"	"San Vicente"	143	2021-01-02
"Manabí"	"Santa Ana"	426	2021-01-02
"Manabí"	"Sucre"	659	2021-01-02
"Manabí"	"Tosagua"	296	2021-01-02
"Manabí"	"Veinticuatro de Mayo"	276	2021-01-02
"Manabí"	"Bolívar"	326	2021-01-03
