"provincia"	"canton"	"total"	"created_at"
"Morona Santiago"	"Gualaquiza"	513	2021-01-01
"Morona Santiago"	"Huamboya"	73	2021-01-01
"Morona Santiago"	"Limón Indanza"	207	2021-01-01
"Morona Santiago"	"Logroño"	124	2021-01-01
"Morona Santiago"	"Morona"	1451	2021-01-01
"Morona Santiago"	"Pablo Sexto"	59	2021-01-01
"Morona Santiago"	"Palora"	250	2021-01-01
"Morona Santiago"	"San Juan Bosco"	33	2021-01-01
"Morona Santiago"	"Santiago"	232	2021-01-01
"Morona Santiago"	"Sucúa"	478	2021-01-01
"Morona Santiago"	"Taisha"	202	2021-01-01
"Morona Santiago"	"Tiwintza"	55	2021-01-01
"Morona Santiago"	"Gualaquiza"	513	2021-01-02
"Morona Santiago"	"Huamboya"	73	2021-01-02
"Morona Santiago"	"Limón Indanza"	210	2021-01-02
"Morona Santiago"	"Logroño"	132	2021-01-02
"Morona Santiago"	"Morona"	1472	2021-01-02
"Morona Santiago"	"Pablo Sexto"	59	2021-01-02
"Morona Santiago"	"Palora"	250	2021-01-02
"Morona Santiago"	"San Juan Bosco"	33	2021-01-02
"Morona Santiago"	"Santiago"	234	2021-01-02
"Morona Santiago"	"Sucúa"	488	2021-01-02
"Morona Santiago"	"Taisha"	202	2021-01-02
"Morona Santiago"	"Tiwintza"	55	2021-01-02
"Morona Santiago"	"Gualaquiza"	513	2021-01-03
"Morona Santiago"	"Huamboya"	73	2021-01-03
"Morona Santiago"	"Limón Indanza"	210	2021-01-03
"Morona Santiago"	"Logroño"	132	2021-01-03
"Morona Santiago"	"Morona"	1472	2021-01-03
"Morona Santiago"	"Pablo Sexto"	59	2021-01-03
"Morona Santiago"	"Palora"	250	2021-01-03
"Morona Santiago"	"San Juan Bosco"	33	2021-01-03
"Morona Santiago"	"Santiago"	234	2021-01-03
"Morona Santiago"	"Sucúa"	488	2021-01-03
"Morona Santiago"	"Taisha"	202	2021-01-03
"Morona Santiago"	"Tiwintza"	55	2021-01-03
"Morona Santiago"	"Gualaquiza"	513	2021-01-04
"Morona Santiago"	"Huamboya"	73	2021-01-04
"Morona Santiago"	"Limón Indanza"	210	2021-01-04
"Morona Santiago"	"Logroño"	132	2021-01-04
"Morona Santiago"	"Morona"	1473	2021-01-04
"Morona Santiago"	"Pablo Sexto"	59	2021-01-04
"Morona Santiago"	"Palora"	250	2021-01-04
"Morona Santiago"	"San Juan Bosco"	33	2021-01-04
"Morona Santiago"	"Santiago"	234	2021-01-04
"Morona Santiago"	"Sucúa"	488	2021-01-04
"Morona Santiago"	"Taisha"	202	2021-01-04
"Morona Santiago"	"Tiwintza"	55	2021-01-04
"Morona Santiago"	"Gualaquiza"	513	2021-01-05
"Morona Santiago"	"Huamboya"	73	2021-01-05
"Morona Santiago"	"Limón Indanza"	210	2021-01-05
"Morona Santiago"	"Logroño"	132	2021-01-05
"Morona Santiago"	"Morona"	1474	2021-01-05
"Morona Santiago"	"Pablo Sexto"	59	2021-01-05
"Morona Santiago"	"Palora"	250	2021-01-05
"Morona Santiago"	"San Juan Bosco"	33	2021-01-05
"Morona Santiago"	"Santiago"	234	2021-01-05
"Morona Santiago"	"Sucúa"	488	2021-01-05
"Morona Santiago"	"Taisha"	202	2021-01-05
"Morona Santiago"	"Tiwintza"	55	2021-01-05
"Morona Santiago"	"Gualaquiza"	515	2021-01-06
"Morona Santiago"	"Huamboya"	73	2021-01-06
"Morona Santiago"	"Limón Indanza"	210	2021-01-06
"Morona Santiago"	"Logroño"	132	2021-01-06
"Morona Santiago"	"Morona"	1480	2021-01-06
"Morona Santiago"	"Pablo Sexto"	59	2021-01-06
"Morona Santiago"	"Palora"	250	2021-01-06
"Morona Santiago"	"San Juan Bosco"	33	2021-01-06
"Morona Santiago"	"Santiago"	234	2021-01-06
"Morona Santiago"	"Sucúa"	490	2021-01-06
"Morona Santiago"	"Taisha"	202	2021-01-06
"Morona Santiago"	"Tiwintza"	55	2021-01-06
"Morona Santiago"	"Gualaquiza"	515	2021-01-07
"Morona Santiago"	"Huamboya"	73	2021-01-07
"Morona Santiago"	"Limón Indanza"	211	2021-01-07
"Morona Santiago"	"Logroño"	132	2021-01-07
"Morona Santiago"	"Morona"	1501	2021-01-07
"Morona Santiago"	"Pablo Sexto"	60	2021-01-07
"Morona Santiago"	"Palora"	254	2021-01-07
"Morona Santiago"	"San Juan Bosco"	33	2021-01-07
"Morona Santiago"	"Santiago"	235	2021-01-07
"Morona Santiago"	"Sucúa"	490	2021-01-07
"Morona Santiago"	"Taisha"	202	2021-01-07
"Morona Santiago"	"Tiwintza"	55	2021-01-07
"Morona Santiago"	"Gualaquiza"	529	2021-01-08
"Morona Santiago"	"Huamboya"	73	2021-01-08
"Morona Santiago"	"Limón Indanza"	211	2021-01-08
"Morona Santiago"	"Logroño"	133	2021-01-08
"Morona Santiago"	"Morona"	1503	2021-01-08
"Morona Santiago"	"Pablo Sexto"	60	2021-01-08
"Morona Santiago"	"Palora"	254	2021-01-08
"Morona Santiago"	"San Juan Bosco"	33	2021-01-08
"Morona Santiago"	"Santiago"	235	2021-01-08
"Morona Santiago"	"Sucúa"	496	2021-01-08
"Morona Santiago"	"Taisha"	202	2021-01-08
"Morona Santiago"	"Tiwintza"	55	2021-01-08
"Morona Santiago"	"Gualaquiza"	535	2021-01-09
"Morona Santiago"	"Huamboya"	73	2021-01-09
"Morona Santiago"	"Limón Indanza"	212	2021-01-09
"Morona Santiago"	"Logroño"	133	2021-01-09
"Morona Santiago"	"Morona"	1521	2021-01-09
"Morona Santiago"	"Pablo Sexto"	61	2021-01-09
"Morona Santiago"	"Palora"	257	2021-01-09
"Morona Santiago"	"San Juan Bosco"	33	2021-01-09
"Morona Santiago"	"Santiago"	238	2021-01-09
"Morona Santiago"	"Sucúa"	497	2021-01-09
"Morona Santiago"	"Taisha"	202	2021-01-09
"Morona Santiago"	"Tiwintza"	55	2021-01-09
"Morona Santiago"	"Gualaquiza"	537	2021-01-10
