"provincia"	"canton"	"total"	"created_at"
"Napo"	"Archidona"	224	2021-01-01
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-01
"Napo"	"El Chaco"	251	2021-01-01
"Napo"	"Quijos"	175	2021-01-01
"Napo"	"Tena"	1010	2021-01-01
"Napo"	"Archidona"	226	2021-01-02
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-02
"Napo"	"El Chaco"	251	2021-01-02
"Napo"	"Quijos"	175	2021-01-02
"Napo"	"Tena"	1017	2021-01-02
"Napo"	"Archidona"	227	2021-01-03
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-03
"Napo"	"El Chaco"	251	2021-01-03
"Napo"	"Quijos"	175	2021-01-03
"Napo"	"Tena"	1017	2021-01-03
"Napo"	"Archidona"	227	2021-01-04
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-04
"Napo"	"El Chaco"	253	2021-01-04
"Napo"	"Quijos"	175	2021-01-04
"Napo"	"Tena"	1019	2021-01-04
"Napo"	"Archidona"	227	2021-01-05
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-05
"Napo"	"El Chaco"	253	2021-01-05
"Napo"	"Quijos"	175	2021-01-05
"Napo"	"Tena"	1023	2021-01-05
"Napo"	"Archidona"	232	2021-01-06
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-06
"Napo"	"El Chaco"	253	2021-01-06
"Napo"	"Quijos"	175	2021-01-06
"Napo"	"Tena"	1032	2021-01-06
"Napo"	"Archidona"	233	2021-01-07
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-07
"Napo"	"El Chaco"	264	2021-01-07
"Napo"	"Quijos"	180	2021-01-07
"Napo"	"Tena"	1037	2021-01-07
"Napo"	"Archidona"	233	2021-01-08
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-08
"Napo"	"El Chaco"	264	2021-01-08
"Napo"	"Quijos"	180	2021-01-08
"Napo"	"Tena"	1037	2021-01-08
"Napo"	"Archidona"	235	2021-01-09
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-09
"Napo"	"El Chaco"	264	2021-01-09
"Napo"	"Quijos"	181	2021-01-09
"Napo"	"Tena"	1043	2021-01-09
"Napo"	"Archidona"	235	2021-01-10
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-10
"Napo"	"El Chaco"	264	2021-01-10
"Napo"	"Quijos"	181	2021-01-10
"Napo"	"Tena"	1046	2021-01-10
"Napo"	"Archidona"	235	2021-01-11
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-11
"Napo"	"El Chaco"	264	2021-01-11
"Napo"	"Quijos"	181	2021-01-11
"Napo"	"Tena"	1047	2021-01-11
"Napo"	"Archidona"	235	2021-01-12
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-12
"Napo"	"El Chaco"	264	2021-01-12
"Napo"	"Quijos"	181	2021-01-12
"Napo"	"Tena"	1050	2021-01-12
"Napo"	"Archidona"	237	2021-01-13
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-13
"Napo"	"El Chaco"	266	2021-01-13
"Napo"	"Quijos"	185	2021-01-13
"Napo"	"Tena"	1066	2021-01-13
"Napo"	"Archidona"	240	2021-01-14
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-14
"Napo"	"El Chaco"	266	2021-01-14
"Napo"	"Quijos"	185	2021-01-14
"Napo"	"Tena"	1072	2021-01-14
"Napo"	"Archidona"	241	2021-01-15
"Napo"	"Carlos Julio Arosemena Tola"	24	2021-01-15
"Napo"	"El Chaco"	277	2021-01-15
"Napo"	"Quijos"	187	2021-01-15
"Napo"	"Tena"	1076	2021-01-15
