"provincia"	"canton"	"total"	"created_at"
"Orellana"	"Aguarico"	344	2021-01-01
"Orellana"	"La Joya de los Sachas"	341	2021-01-01
"Orellana"	"Loreto"	72	2021-01-01
"Orellana"	"Orellana"	1356	2021-01-01
"Orellana"	"Aguarico"	344	2021-01-02
"Orellana"	"La Joya de los Sachas"	342	2021-01-02
"Orellana"	"Loreto"	72	2021-01-02
"Orellana"	"Orellana"	1360	2021-01-02
"Orellana"	"Aguarico"	344	2021-01-03
"Orellana"	"La Joya de los Sachas"	342	2021-01-03
"Orellana"	"Loreto"	72	2021-01-03
"Orellana"	"Orellana"	1360	2021-01-03
"Orellana"	"Aguarico"	344	2021-01-04
"Orellana"	"La Joya de los Sachas"	342	2021-01-04
"Orellana"	"Loreto"	72	2021-01-04
"Orellana"	"Orellana"	1360	2021-01-04
"Orellana"	"Aguarico"	344	2021-01-05
"Orellana"	"La Joya de los Sachas"	342	2021-01-05
"Orellana"	"Loreto"	72	2021-01-05
"Orellana"	"Orellana"	1360	2021-01-05
"Orellana"	"Aguarico"	345	2021-01-06
"Orellana"	"La Joya de los Sachas"	342	2021-01-06
"Orellana"	"Loreto"	72	2021-01-06
"Orellana"	"Orellana"	1361	2021-01-06
"Orellana"	"Aguarico"	345	2021-01-07
"Orellana"	"La Joya de los Sachas"	342	2021-01-07
"Orellana"	"Loreto"	74	2021-01-07
"Orellana"	"Orellana"	1367	2021-01-07
"Orellana"	"Aguarico"	345	2021-01-08
"Orellana"	"La Joya de los Sachas"	342	2021-01-08
"Orellana"	"Loreto"	74	2021-01-08
"Orellana"	"Orellana"	1370	2021-01-08
"Orellana"	"Aguarico"	345	2021-01-09
"Orellana"	"La Joya de los Sachas"	342	2021-01-09
"Orellana"	"Loreto"	74	2021-01-09
"Orellana"	"Orellana"	1370	2021-01-09
"Orellana"	"Aguarico"	345	2021-01-10
"Orellana"	"La Joya de los Sachas"	342	2021-01-10
"Orellana"	"Loreto"	74	2021-01-10
"Orellana"	"Orellana"	1370	2021-01-10
"Orellana"	"Aguarico"	345	2021-01-11
"Orellana"	"La Joya de los Sachas"	342	2021-01-11
"Orellana"	"Loreto"	74	2021-01-11
"Orellana"	"Orellana"	1370	2021-01-11
"Orellana"	"Aguarico"	345	2021-01-12
"Orellana"	"La Joya de los Sachas"	342	2021-01-12
"Orellana"	"Loreto"	74	2021-01-12
"Orellana"	"Orellana"	1370	2021-01-12
"Orellana"	"Aguarico"	345	2021-01-13
"Orellana"	"La Joya de los Sachas"	342	2021-01-13
"Orellana"	"Loreto"	75	2021-01-13
"Orellana"	"Orellana"	1374	2021-01-13
"Orellana"	"Aguarico"	345	2021-01-14
"Orellana"	"La Joya de los Sachas"	344	2021-01-14
"Orellana"	"Loreto"	75	2021-01-14
"Orellana"	"Orellana"	1386	2021-01-14
"Orellana"	"Aguarico"	345	2021-01-15
"Orellana"	"La Joya de los Sachas"	346	2021-01-15
"Orellana"	"Loreto"	75	2021-01-15
"Orellana"	"Orellana"	1387	2021-01-15
"Orellana"	"Aguarico"	345	2021-01-16
"Orellana"	"La Joya de los Sachas"	347	2021-01-16
"Orellana"	"Loreto"	75	2021-01-16
"Orellana"	"Orellana"	1390	2021-01-16
"Orellana"	"Aguarico"	345	2021-01-17
"Orellana"	"La Joya de los Sachas"	347	2021-01-17
"Orellana"	"Loreto"	75	2021-01-17
"Orellana"	"Orellana"	1390	2021-01-17
"Orellana"	"Aguarico"	345	2021-01-18
"Orellana"	"La Joya de los Sachas"	347	2021-01-18
"Orellana"	"Loreto"	75	2021-01-18
"Orellana"	"Orellana"	1390	2021-01-18
"Orellana"	"Aguarico"	345	2021-01-19
"Orellana"	"La Joya de los Sachas"	347	2021-01-19
"Orellana"	"Loreto"	75	2021-01-19
"Orellana"	"Orellana"	1390	2021-01-19
"Orellana"	"Aguarico"	345	2021-01-20
"Orellana"	"La Joya de los Sachas"	347	2021-01-20
"Orellana"	"Loreto"	75	2021-01-20
"Orellana"	"Orellana"	1392	2021-01-20
"Orellana"	"Aguarico"	345	2021-01-21
"Orellana"	"La Joya de los Sachas"	347	2021-01-21
"Orellana"	"Loreto"	75	2021-01-21
"Orellana"	"Orellana"	1394	2021-01-21
"Orellana"	"Aguarico"	345	2021-01-22
"Orellana"	"La Joya de los Sachas"	347	2021-01-22
"Orellana"	"Loreto"	75	2021-01-22
"Orellana"	"Orellana"	1394	2021-01-22
"Orellana"	"Aguarico"	345	2021-01-23
"Orellana"	"La Joya de los Sachas"	349	2021-01-23
"Orellana"	"Loreto"	75	2021-01-23
"Orellana"	"Orellana"	1396	2021-01-23
"Orellana"	"Aguarico"	345	2021-01-24
"Orellana"	"La Joya de los Sachas"	349	2021-01-24
"Orellana"	"Loreto"	75	2021-01-24
"Orellana"	"Orellana"	1397	2021-01-24
"Orellana"	"Aguarico"	345	2021-01-25
"Orellana"	"La Joya de los Sachas"	349	2021-01-25
"Orellana"	"Loreto"	76	2021-01-25
"Orellana"	"Orellana"	1397	2021-01-25
"Orellana"	"Aguarico"	345	2021-01-26
"Orellana"	"La Joya de los Sachas"	349	2021-01-26
"Orellana"	"Loreto"	76	2021-01-26
"Orellana"	"Orellana"	1397	2021-01-26
"Orellana"	"Aguarico"	345	2021-01-27
"Orellana"	"La Joya de los Sachas"	350	2021-01-27
"Orellana"	"Loreto"	76	2021-01-27
"Orellana"	"Orellana"	1399	2021-01-27
"Orellana"	"Aguarico"	345	2021-01-28
"Orellana"	"La Joya de los Sachas"	355	2021-01-28
"Orellana"	"Loreto"	76	2021-01-28
"Orellana"	"Orellana"	1405	2021-01-28
"Orellana"	"Aguarico"	345	2021-01-29
"Orellana"	"La Joya de los Sachas"	355	2021-01-29
"Orellana"	"Loreto"	76	2021-01-29
"Orellana"	"Orellana"	1405	2021-01-29
"Orellana"	"Aguarico"	345	2021-01-30
"Orellana"	"La Joya de los Sachas"	362	2021-01-30
"Orellana"	"Loreto"	76	2021-01-30
"Orellana"	"Orellana"	1414	2021-01-30
"Orellana"	"Aguarico"	345	2021-01-31
"Orellana"	"La Joya de los Sachas"	362	2021-01-31
"Orellana"	"Loreto"	76	2021-01-31
"Orellana"	"Orellana"	1415	2021-01-31
"Orellana"	"Aguarico"	345	2021-02-01
"Orellana"	"La Joya de los Sachas"	362	2021-02-01
"Orellana"	"Loreto"	76	2021-02-01
"Orellana"	"Orellana"	1415	2021-02-01
"Orellana"	"Aguarico"	345	2021-02-02
"Orellana"	"La Joya de los Sachas"	362	2021-02-02
"Orellana"	"Loreto"	76	2021-02-02
"Orellana"	"Orellana"	1415	2021-02-02
"Orellana"	"Aguarico"	345	2021-02-03
"Orellana"	"La Joya de los Sachas"	362	2021-02-03
"Orellana"	"Loreto"	76	2021-02-03
