"provincia"	"canton"	"total"	"created_at"
"Pichincha"	"Cayambe"	854	2021-01-01
"Pichincha"	"Mejía"	1511	2021-01-01
"Pichincha"	"Pedro Moncayo"	206	2021-01-01
"Pichincha"	"Pedro Vicente Maldonado"	169	2021-01-01
"Pichincha"	"Puerto Quito"	169	2021-01-01
"Pichincha"	"Quito"	69799	2021-01-01
"Pichincha"	"Rumiñahui"	2785	2021-01-01
"Pichincha"	"San Miguel de Los Bancos"	193	2021-01-01
"Pichincha"	"Cayambe"	864	2021-01-02
"Pichincha"	"Mejía"	1518	2021-01-02
"Pichincha"	"Pedro Moncayo"	207	2021-01-02
"Pichincha"	"Pedro Vicente Maldonado"	169	2021-01-02
"Pichincha"	"Puerto Quito"	169	2021-01-02
"Pichincha"	"Quito"	69931	2021-01-02
"Pichincha"	"Rumiñahui"	2801	2021-01-02
"Pichincha"	"San Miguel de Los Bancos"	193	2021-01-02
"Pichincha"	"Cayambe"	864	2021-01-03
"Pichincha"	"Mejía"	1519	2021-01-03
"Pichincha"	"Pedro Moncayo"	207	2021-01-03
"Pichincha"	"Pedro Vicente Maldonado"	169	2021-01-03
"Pichincha"	"Puerto Quito"	169	2021-01-03
"Pichincha"	"Quito"	69956	2021-01-03
"Pichincha"	"Rumiñahui"	2801	2021-01-03
"Pichincha"	"San Miguel de Los Bancos"	193	2021-01-03
"Pichincha"	"Cayambe"	865	2021-01-04
"Pichincha"	"Mejía"	1521	2021-01-04
"Pichincha"	"Pedro Moncayo"	207	2021-01-04
"Pichincha"	"Pedro Vicente Maldonado"	169	2021-01-04
"Pichincha"	"Puerto Quito"	169	2021-01-04
"Pichincha"	"Quito"	70166	2021-01-04
"Pichincha"	"Rumiñahui"	2803	2021-01-04
"Pichincha"	"San Miguel de Los Bancos"	193	2021-01-04
"Pichincha"	"Cayambe"	868	2021-01-05
"Pichincha"	"Mejía"	1529	2021-01-05
"Pichincha"	"Pedro Moncayo"	208	2021-01-05
"Pichincha"	"Pedro Vicente Maldonado"	169	2021-01-05
