"provincia"	"canton"	"total"	"created_at"
"Santa Elena"	"La Libertad"	908	2021-01-01
"Santa Elena"	"Salinas"	572	2021-01-01
"Santa Elena"	"Santa Elena"	1173	2021-01-01
"Santa Elena"	"La Libertad"	912	2021-01-02
"Santa Elena"	"Salinas"	578	2021-01-02
"Santa Elena"	"Santa Elena"	1181	2021-01-02
"Santa Elena"	"La Libertad"	912	2021-01-03
"Santa Elena"	"Salinas"	578	2021-01-03
"Santa Elena"	"Santa Elena"	1181	2021-01-03
"Santa Elena"	"La Libertad"	912	2021-01-04
"Santa Elena"	"Salinas"	578	2021-01-04
"Santa Elena"	"Santa Elena"	1181	2021-01-04
"Santa Elena"	"La Libertad"	915	2021-01-05
"Santa Elena"	"Salinas"	581	2021-01-05
"Santa Elena"	"Santa Elena"	1181	2021-01-05
"Santa Elena"	"La Libertad"	925	2021-01-06
"Santa Elena"	"Salinas"	586	2021-01-06
"Santa Elena"	"Santa Elena"	1186	2021-01-06
"Santa Elena"	"La Libertad"	937	2021-01-07
"Santa Elena"	"Salinas"	592	2021-01-07
"Santa Elena"	"Santa Elena"	1194	2021-01-07
"Santa Elena"	"La Libertad"	937	2021-01-08
"Santa Elena"	"Salinas"	593	2021-01-08
"Santa Elena"	"Santa Elena"	1197	2021-01-08
"Santa Elena"	"La Libertad"	946	2021-01-09
"Santa Elena"	"Salinas"	600	2021-01-09
"Santa Elena"	"Santa Elena"	1198	2021-01-09
"Santa Elena"	"La Libertad"	950	2021-01-10
"Santa Elena"	"Salinas"	603	2021-01-10
"Santa Elena"	"Santa Elena"	1201	2021-01-10
"Santa Elena"	"La Libertad"	950	2021-01-11
"Santa Elena"	"Salinas"	603	2021-01-11
"Santa Elena"	"Santa Elena"	1221	2021-01-11
"Santa Elena"	"La Libertad"	970	2021-01-12
"Santa Elena"	"Salinas"	614	2021-01-12
"Santa Elena"	"Santa Elena"	1252	2021-01-12
"Santa Elena"	"La Libertad"	982	2021-01-13
"Santa Elena"	"Salinas"	623	2021-01-13
"Santa Elena"	"Santa Elena"	1260	2021-01-13
"Santa Elena"	"La Libertad"	989	2021-01-14
"Santa Elena"	"Salinas"	624	2021-01-14
"Santa Elena"	"Santa Elena"	1264	2021-01-14
"Santa Elena"	"La Libertad"	991	2021-01-15
"Santa Elena"	"Salinas"	627	2021-01-15
"Santa Elena"	"Santa Elena"	1267	2021-01-15
"Santa Elena"	"La Libertad"	1007	2021-01-16
"Santa Elena"	"Salinas"	641	2021-01-16
"Santa Elena"	"Santa Elena"	1272	2021-01-16
"Santa Elena"	"La Libertad"	1008	2021-01-17
"Santa Elena"	"Salinas"	641	2021-01-17
"Santa Elena"	"Santa Elena"	1272	2021-01-17
"Santa Elena"	"La Libertad"	1008	2021-01-18
"Santa Elena"	"Salinas"	642	2021-01-18
"Santa Elena"	"Santa Elena"	1272	2021-01-18
"Santa Elena"	"La Libertad"	1012	2021-01-19
"Santa Elena"	"Salinas"	651	2021-01-19
"Santa Elena"	"Santa Elena"	1275	2021-01-19
"Santa Elena"	"La Libertad"	1017	2021-01-20
"Santa Elena"	"Salinas"	653	2021-01-20
"Santa Elena"	"Santa Elena"	1275	2021-01-20
"Santa Elena"	"La Libertad"	1022	2021-01-21
"Santa Elena"	"Salinas"	655	2021-01-21
"Santa Elena"	"Santa Elena"	1279	2021-01-21
"Santa Elena"	"La Libertad"	1027	2021-01-22
"Santa Elena"	"Salinas"	656	2021-01-22
"Santa Elena"	"Santa Elena"	1287	2021-01-22
"Santa Elena"	"La Libertad"	1027	2021-01-23
"Santa Elena"	"Salinas"	656	2021-01-23
"Santa Elena"	"Santa Elena"	1287	2021-01-23
"Santa Elena"	"La Libertad"	1032	2021-01-24
"Santa Elena"	"Salinas"	658	2021-01-24
"Santa Elena"	"Santa Elena"	1289	2021-01-24
"Santa Elena"	"La Libertad"	1032	2021-01-25
"Santa Elena"	"Salinas"	658	2021-01-25
"Santa Elena"	"Santa Elena"	1289	2021-01-25
"Santa Elena"	"La Libertad"	1033	2021-01-26
"Santa Elena"	"Salinas"	659	2021-01-26
"Santa Elena"	"Santa Elena"	1292	2021-01-26
"Santa Elena"	"La Libertad"	1040	2021-01-27
"Santa Elena"	"Salinas"	666	2021-01-27
"Santa Elena"	"Santa Elena"	1296	2021-01-27
"Santa Elena"	"La Libertad"	1040	2021-01-28
"Santa Elena"	"Salinas"	668	2021-01-28
"Santa Elena"	"Santa Elena"	1308	2021-01-28
"Santa Elena"	"La Libertad"	1041	2021-01-29
"Santa Elena"	"Salinas"	668	2021-01-29
"Santa Elena"	"Santa Elena"	1308	2021-01-29
"Santa Elena"	"La Libertad"	1046	2021-01-30
"Santa Elena"	"Salinas"	671	2021-01-30
"Santa Elena"	"Santa Elena"	1318	2021-01-30
"Santa Elena"	"La Libertad"	1049	2021-01-31
"Santa Elena"	"Salinas"	674	2021-01-31
"Santa Elena"	"Santa Elena"	1322	2021-01-31
"Santa Elena"	"La Libertad"	1049	2021-02-01
"Santa Elena"	"Salinas"	674	2021-02-01
"Santa Elena"	"Santa Elena"	1322	2021-02-01
"Santa Elena"	"La Libertad"	1050	2021-02-02
"Santa Elena"	"Salinas"	674	2021-02-02
"Santa Elena"	"Santa Elena"	1322	2021-02-02
"Santa Elena"	"La Libertad"	1057	2021-02-03
"Santa Elena"	"Salinas"	679	2021-02-03
"Santa Elena"	"Santa Elena"	1331	2021-02-03
"Santa Elena"	"La Libertad"	1059	2021-02-04
"Santa Elena"	"Salinas"	681	2021-02-04
"Santa Elena"	"Santa Elena"	1334	2021-02-04
"Santa Elena"	"La Libertad"	1059	2021-02-05
