"provincia"	"canton"	"total"	"created_at"
"Sto. Domingo Tsáchilas"	"La Concordia"	842	2021-01-01
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5073	2021-01-01
"Sto. Domingo Tsáchilas"	"La Concordia"	843	2021-01-02
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5086	2021-01-02
"Sto. Domingo Tsáchilas"	"La Concordia"	843	2021-01-03
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5086	2021-01-03
"Sto. Domingo Tsáchilas"	"La Concordia"	843	2021-01-04
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5088	2021-01-04
"Sto. Domingo Tsáchilas"	"La Concordia"	843	2021-01-05
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5125	2021-01-05
"Sto. Domingo Tsáchilas"	"La Concordia"	857	2021-01-06
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5183	2021-01-06
"Sto. Domingo Tsáchilas"	"La Concordia"	858	2021-01-07
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5184	2021-01-07
"Sto. Domingo Tsáchilas"	"La Concordia"	858	2021-01-08
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5185	2021-01-08
"Sto. Domingo Tsáchilas"	"La Concordia"	870	2021-01-09
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5204	2021-01-09
"Sto. Domingo Tsáchilas"	"La Concordia"	870	2021-01-10
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5204	2021-01-10
"Sto. Domingo Tsáchilas"	"La Concordia"	870	2021-01-11
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5204	2021-01-11
"Sto. Domingo Tsáchilas"	"La Concordia"	877	2021-01-12
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5246	2021-01-12
"Sto. Domingo Tsáchilas"	"La Concordia"	887	2021-01-13
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5264	2021-01-13
"Sto. Domingo Tsáchilas"	"La Concordia"	890	2021-01-14
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5294	2021-01-14
"Sto. Domingo Tsáchilas"	"La Concordia"	890	2021-01-15
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5295	2021-01-15
"Sto. Domingo Tsáchilas"	"La Concordia"	894	2021-01-16
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5446	2021-01-16
"Sto. Domingo Tsáchilas"	"La Concordia"	895	2021-01-17
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5457	2021-01-17
"Sto. Domingo Tsáchilas"	"La Concordia"	895	2021-01-18
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5457	2021-01-18
"Sto. Domingo Tsáchilas"	"La Concordia"	896	2021-01-19
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5461	2021-01-19
"Sto. Domingo Tsáchilas"	"La Concordia"	904	2021-01-20
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5512	2021-01-20
"Sto. Domingo Tsáchilas"	"La Concordia"	904	2021-01-21
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5525	2021-01-21
"Sto. Domingo Tsáchilas"	"La Concordia"	912	2021-01-22
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5535	2021-01-22
"Sto. Domingo Tsáchilas"	"La Concordia"	912	2021-01-23
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5544	2021-01-23
"Sto. Domingo Tsáchilas"	"La Concordia"	933	2021-01-24
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5676	2021-01-24
"Sto. Domingo Tsáchilas"	"La Concordia"	933	2021-01-25
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5677	2021-01-25
"Sto. Domingo Tsáchilas"	"La Concordia"	933	2021-01-26
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5681	2021-01-26
"Sto. Domingo Tsáchilas"	"La Concordia"	933	2021-01-27
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5684	2021-01-27
"Sto. Domingo Tsáchilas"	"La Concordia"	947	2021-01-28
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5757	2021-01-28
"Sto. Domingo Tsáchilas"	"La Concordia"	947	2021-01-29
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5757	2021-01-29
"Sto. Domingo Tsáchilas"	"La Concordia"	952	2021-01-30
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5783	2021-01-30
"Sto. Domingo Tsáchilas"	"La Concordia"	964	2021-01-31
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5819	2021-01-31
"Sto. Domingo Tsáchilas"	"La Concordia"	964	2021-02-01
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5820	2021-02-01
"Sto. Domingo Tsáchilas"	"La Concordia"	964	2021-02-02
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5821	2021-02-02
"Sto. Domingo Tsáchilas"	"La Concordia"	971	2021-02-03
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5862	2021-02-03
"Sto. Domingo Tsáchilas"	"La Concordia"	971	2021-02-04
"Sto. Domingo Tsáchilas"	"Santo Domingo"	5864	2021-02-04
"Sto. Domingo Tsáchilas"	"La Concordia"	974	2021-02-05
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6018	2021-02-05
"Sto. Domingo Tsáchilas"	"La Concordia"	975	2021-02-06
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6026	2021-02-06
"Sto. Domingo Tsáchilas"	"La Concordia"	979	2021-02-07
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6057	2021-02-07
"Sto. Domingo Tsáchilas"	"La Concordia"	979	2021-02-08
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6057	2021-02-08
"Sto. Domingo Tsáchilas"	"La Concordia"	979	2021-02-09
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6069	2021-02-09
"Sto. Domingo Tsáchilas"	"La Concordia"	979	2021-02-10
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6070	2021-02-10
"Sto. Domingo Tsáchilas"	"La Concordia"	982	2021-02-11
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6091	2021-02-11
"Sto. Domingo Tsáchilas"	"La Concordia"	985	2021-02-12
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6098	2021-02-12
"Sto. Domingo Tsáchilas"	"La Concordia"	985	2021-02-13
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6108	2021-02-13
"Sto. Domingo Tsáchilas"	"La Concordia"	997	2021-02-14
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6165	2021-02-14
"Sto. Domingo Tsáchilas"	"La Concordia"	997	2021-02-15
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6165	2021-02-15
"Sto. Domingo Tsáchilas"	"La Concordia"	997	2021-02-16
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6165	2021-02-16
"Sto. Domingo Tsáchilas"	"La Concordia"	997	2021-02-17
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6165	2021-02-17
"Sto. Domingo Tsáchilas"	"La Concordia"	1003	2021-02-18
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6227	2021-02-18
"Sto. Domingo Tsáchilas"	"La Concordia"	1010	2021-02-19
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6267	2021-02-19
"Sto. Domingo Tsáchilas"	"La Concordia"	1013	2021-02-20
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6305	2021-02-20
"Sto. Domingo Tsáchilas"	"La Concordia"	1019	2021-02-21
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6328	2021-02-21
"Sto. Domingo Tsáchilas"	"La Concordia"	1019	2021-02-22
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6328	2021-02-22
"Sto. Domingo Tsáchilas"	"La Concordia"	1021	2021-02-23
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6343	2021-02-23
"Sto. Domingo Tsáchilas"	"La Concordia"	1023	2021-02-24
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6566	2021-02-24
"Sto. Domingo Tsáchilas"	"La Concordia"	1027	2021-02-25
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6688	2021-02-25
"Sto. Domingo Tsáchilas"	"La Concordia"	1030	2021-02-26
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6731	2021-02-26
"Sto. Domingo Tsáchilas"	"La Concordia"	1043	2021-02-27
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6771	2021-02-27
"Sto. Domingo Tsáchilas"	"La Concordia"	1043	2021-02-28
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6775	2021-02-28
"Sto. Domingo Tsáchilas"	"La Concordia"	1043	2021-03-01
"Sto. Domingo Tsáchilas"	"Santo Domingo"	6775	2021-03-01
"Sto. Domingo Tsáchilas"	"La Concordia"	1043	2021-03-02
