"provincia"	"canton"	"total"	"created_at"
"Sucumbíos"	"Cascales"	124	2021-01-01
"Sucumbíos"	"Cuyabeno"	149	2021-01-01
"Sucumbíos"	"Gonzalo Pizarro"	181	2021-01-01
"Sucumbíos"	"Lago Agrio"	1734	2021-01-01
"Sucumbíos"	"Putumayo"	120	2021-01-01
"Sucumbíos"	"Shushufindi"	662	2021-01-01
"Sucumbíos"	"Sucumbíos"	41	2021-01-01
"Sucumbíos"	"Cascales"	124	2021-01-02
"Sucumbíos"	"Cuyabeno"	149	2021-01-02
"Sucumbíos"	"Gonzalo Pizarro"	183	2021-01-02
"Sucumbíos"	"Lago Agrio"	1751	2021-01-02
"Sucumbíos"	"Putumayo"	120	2021-01-02
"Sucumbíos"	"Shushufindi"	662	2021-01-02
"Sucumbíos"	"Sucumbíos"	41	2021-01-02
"Sucumbíos"	"Cascales"	124	2021-01-03
"Sucumbíos"	"Cuyabeno"	149	2021-01-03
"Sucumbíos"	"Gonzalo Pizarro"	183	2021-01-03
"Sucumbíos"	"Lago Agrio"	1753	2021-01-03
"Sucumbíos"	"Putumayo"	120	2021-01-03
"Sucumbíos"	"Shushufindi"	662	2021-01-03
"Sucumbíos"	"Sucumbíos"	41	2021-01-03
"Sucumbíos"	"Cascales"	124	2021-01-04
"Sucumbíos"	"Cuyabeno"	149	2021-01-04
"Sucumbíos"	"Gonzalo Pizarro"	183	2021-01-04
"Sucumbíos"	"Lago Agrio"	1754	2021-01-04
"Sucumbíos"	"Putumayo"	120	2021-01-04
"Sucumbíos"	"Shushufindi"	662	2021-01-04
"Sucumbíos"	"Sucumbíos"	41	2021-01-04
"Sucumbíos"	"Cascales"	124	2021-01-05
"Sucumbíos"	"Cuyabeno"	149	2021-01-05
"Sucumbíos"	"Gonzalo Pizarro"	183	2021-01-05
"Sucumbíos"	"Lago Agrio"	1754	2021-01-05
"Sucumbíos"	"Putumayo"	120	2021-01-05
"Sucumbíos"	"Shushufindi"	662	2021-01-05
"Sucumbíos"	"Sucumbíos"	42	2021-01-05
"Sucumbíos"	"Cascales"	124	2021-01-06
"Sucumbíos"	"Cuyabeno"	149	2021-01-06
"Sucumbíos"	"Gonzalo Pizarro"	183	2021-01-06
"Sucumbíos"	"Lago Agrio"	1755	2021-01-06
"Sucumbíos"	"Putumayo"	120	2021-01-06
"Sucumbíos"	"Shushufindi"	662	2021-01-06
"Sucumbíos"	"Sucumbíos"	42	2021-01-06
"Sucumbíos"	"Cascales"	124	2021-01-07
"Sucumbíos"	"Cuyabeno"	149	2021-01-07
"Sucumbíos"	"Gonzalo Pizarro"	183	2021-01-07
"Sucumbíos"	"Lago Agrio"	1756	2021-01-07
"Sucumbíos"	"Putumayo"	120	2021-01-07
"Sucumbíos"	"Shushufindi"	662	2021-01-07
"Sucumbíos"	"Sucumbíos"	42	2021-01-07
"Sucumbíos"	"Cascales"	124	2021-01-08
"Sucumbíos"	"Cuyabeno"	149	2021-01-08
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-08
"Sucumbíos"	"Lago Agrio"	1759	2021-01-08
"Sucumbíos"	"Putumayo"	120	2021-01-08
"Sucumbíos"	"Shushufindi"	662	2021-01-08
"Sucumbíos"	"Sucumbíos"	42	2021-01-08
"Sucumbíos"	"Cascales"	124	2021-01-09
"Sucumbíos"	"Cuyabeno"	149	2021-01-09
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-09
"Sucumbíos"	"Lago Agrio"	1760	2021-01-09
"Sucumbíos"	"Putumayo"	120	2021-01-09
"Sucumbíos"	"Shushufindi"	662	2021-01-09
"Sucumbíos"	"Sucumbíos"	42	2021-01-09
"Sucumbíos"	"Cascales"	124	2021-01-10
"Sucumbíos"	"Cuyabeno"	150	2021-01-10
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-10
"Sucumbíos"	"Lago Agrio"	1763	2021-01-10
"Sucumbíos"	"Putumayo"	120	2021-01-10
"Sucumbíos"	"Shushufindi"	675	2021-01-10
"Sucumbíos"	"Sucumbíos"	43	2021-01-10
"Sucumbíos"	"Cascales"	124	2021-01-11
"Sucumbíos"	"Cuyabeno"	150	2021-01-11
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-11
"Sucumbíos"	"Lago Agrio"	1763	2021-01-11
"Sucumbíos"	"Putumayo"	120	2021-01-11
"Sucumbíos"	"Shushufindi"	675	2021-01-11
"Sucumbíos"	"Sucumbíos"	43	2021-01-11
"Sucumbíos"	"Cascales"	124	2021-01-12
"Sucumbíos"	"Cuyabeno"	150	2021-01-12
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-12
"Sucumbíos"	"Lago Agrio"	1764	2021-01-12
"Sucumbíos"	"Putumayo"	120	2021-01-12
"Sucumbíos"	"Shushufindi"	677	2021-01-12
"Sucumbíos"	"Sucumbíos"	43	2021-01-12
"Sucumbíos"	"Cascales"	124	2021-01-13
"Sucumbíos"	"Cuyabeno"	150	2021-01-13
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-13
"Sucumbíos"	"Lago Agrio"	1768	2021-01-13
"Sucumbíos"	"Putumayo"	120	2021-01-13
"Sucumbíos"	"Shushufindi"	682	2021-01-13
"Sucumbíos"	"Sucumbíos"	46	2021-01-13
"Sucumbíos"	"Cascales"	124	2021-01-14
"Sucumbíos"	"Cuyabeno"	151	2021-01-14
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-14
"Sucumbíos"	"Lago Agrio"	1774	2021-01-14
"Sucumbíos"	"Putumayo"	121	2021-01-14
"Sucumbíos"	"Shushufindi"	682	2021-01-14
"Sucumbíos"	"Sucumbíos"	46	2021-01-14
"Sucumbíos"	"Cascales"	124	2021-01-15
"Sucumbíos"	"Cuyabeno"	151	2021-01-15
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-15
"Sucumbíos"	"Lago Agrio"	1774	2021-01-15
"Sucumbíos"	"Putumayo"	121	2021-01-15
"Sucumbíos"	"Shushufindi"	684	2021-01-15
"Sucumbíos"	"Sucumbíos"	46	2021-01-15
"Sucumbíos"	"Cascales"	124	2021-01-16
"Sucumbíos"	"Cuyabeno"	152	2021-01-16
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-16
"Sucumbíos"	"Lago Agrio"	1780	2021-01-16
"Sucumbíos"	"Putumayo"	121	2021-01-16
"Sucumbíos"	"Shushufindi"	684	2021-01-16
"Sucumbíos"	"Sucumbíos"	46	2021-01-16
"Sucumbíos"	"Cascales"	124	2021-01-17
"Sucumbíos"	"Cuyabeno"	152	2021-01-17
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-17
"Sucumbíos"	"Lago Agrio"	1780	2021-01-17
"Sucumbíos"	"Putumayo"	121	2021-01-17
"Sucumbíos"	"Shushufindi"	684	2021-01-17
"Sucumbíos"	"Sucumbíos"	46	2021-01-17
"Sucumbíos"	"Cascales"	124	2021-01-18
"Sucumbíos"	"Cuyabeno"	152	2021-01-18
"Sucumbíos"	"Gonzalo Pizarro"	185	2021-01-18
"Sucumbíos"	"Lago Agrio"	1780	2021-01-18
"Sucumbíos"	"Putumayo"	121	2021-01-18
"Sucumbíos"	"Shushufindi"	684	2021-01-18
"Sucumbíos"	"Sucumbíos"	46	2021-01-18
"Sucumbíos"	"Cascales"	124	2021-01-19
"Sucumbíos"	"Cuyabeno"	152	2021-01-19
"Sucumbíos"	"Gonzalo Pizarro"	188	2021-01-19
"Sucumbíos"	"Lago Agrio"	1784	2021-01-19
"Sucumbíos"	"Putumayo"	121	2021-01-19
"Sucumbíos"	"Shushufindi"	720	2021-01-19
"Sucumbíos"	"Sucumbíos"	49	2021-01-19
"Sucumbíos"	"Cascales"	124	2021-01-20
"Sucumbíos"	"Cuyabeno"	152	2021-01-20
"Sucumbíos"	"Gonzalo Pizarro"	188	2021-01-20
"Sucumbíos"	"Lago Agrio"	1784	2021-01-20
"Sucumbíos"	"Putumayo"	121	2021-01-20
"Sucumbíos"	"Shushufindi"	721	2021-01-20
"Sucumbíos"	"Sucumbíos"	53	2021-01-20
"Sucumbíos"	"Cascales"	124	2021-01-21
"Sucumbíos"	"Cuyabeno"	152	2021-01-21
"Sucumbíos"	"Gonzalo Pizarro"	188	2021-01-21
"Sucumbíos"	"Lago Agrio"	1793	2021-01-21
"Sucumbíos"	"Putumayo"	121	2021-01-21
"Sucumbíos"	"Shushufindi"	726	2021-01-21
"Sucumbíos"	"Sucumbíos"	53	2021-01-21
"Sucumbíos"	"Cascales"	124	2021-01-22
"Sucumbíos"	"Cuyabeno"	152	2021-01-22
"Sucumbíos"	"Gonzalo Pizarro"	188	2021-01-22
"Sucumbíos"	"Lago Agrio"	1793	2021-01-22
"Sucumbíos"	"Putumayo"	121	2021-01-22
"Sucumbíos"	"Shushufindi"	726	2021-01-22
"Sucumbíos"	"Sucumbíos"	53	2021-01-22
"Sucumbíos"	"Cascales"	124	2021-01-23
"Sucumbíos"	"Cuyabeno"	152	2021-01-23
"Sucumbíos"	"Gonzalo Pizarro"	188	2021-01-23
"Sucumbíos"	"Lago Agrio"	1795	2021-01-23
"Sucumbíos"	"Putumayo"	121	2021-01-23
"Sucumbíos"	"Shushufindi"	726	2021-01-23
"Sucumbíos"	"Sucumbíos"	53	2021-01-23
"Sucumbíos"	"Cascales"	124	2021-01-24
"Sucumbíos"	"Cuyabeno"	152	2021-01-24
"Sucumbíos"	"Gonzalo Pizarro"	189	2021-01-24
"Sucumbíos"	"Lago Agrio"	1806	2021-01-24
"Sucumbíos"	"Putumayo"	123	2021-01-24
"Sucumbíos"	"Shushufindi"	732	2021-01-24
"Sucumbíos"	"Sucumbíos"	57	2021-01-24
"Sucumbíos"	"Cascales"	124	2021-01-25
"Sucumbíos"	"Cuyabeno"	152	2021-01-25
"Sucumbíos"	"Gonzalo Pizarro"	189	2021-01-25
"Sucumbíos"	"Lago Agrio"	1806	2021-01-25
"Sucumbíos"	"Putumayo"	123	2021-01-25
"Sucumbíos"	"Shushufindi"	732	2021-01-25
"Sucumbíos"	"Sucumbíos"	57	2021-01-25
"Sucumbíos"	"Cascales"	124	2021-01-26
"Sucumbíos"	"Cuyabeno"	152	2021-01-26
"Sucumbíos"	"Gonzalo Pizarro"	194	2021-01-26
"Sucumbíos"	"Lago Agrio"	1806	2021-01-26
"Sucumbíos"	"Putumayo"	123	2021-01-26
"Sucumbíos"	"Shushufindi"	732	2021-01-26
"Sucumbíos"	"Sucumbíos"	63	2021-01-26
"Sucumbíos"	"Cascales"	124	2021-01-27
"Sucumbíos"	"Cuyabeno"	152	2021-01-27
"Sucumbíos"	"Gonzalo Pizarro"	194	2021-01-27
"Sucumbíos"	"Lago Agrio"	1808	2021-01-27
"Sucumbíos"	"Putumayo"	123	2021-01-27
"Sucumbíos"	"Shushufindi"	732	2021-01-27
"Sucumbíos"	"Sucumbíos"	65	2021-01-27
"Sucumbíos"	"Cascales"	125	2021-01-28
"Sucumbíos"	"Cuyabeno"	152	2021-01-28
"Sucumbíos"	"Gonzalo Pizarro"	195	2021-01-28
"Sucumbíos"	"Lago Agrio"	1817	2021-01-28
"Sucumbíos"	"Putumayo"	134	2021-01-28
"Sucumbíos"	"Shushufindi"	733	2021-01-28
"Sucumbíos"	"Sucumbíos"	74	2021-01-28
"Sucumbíos"	"Cascales"	126	2021-01-29
"Sucumbíos"	"Cuyabeno"	152	2021-01-29
