"provincia"	"canton"	"total"	"created_at"
"Santa Elena"	"La Libertad"	0	2020-03-13
"Santa Elena"	"Salinas"	0	2020-03-13
"Santa Elena"	"Santa Elena"	0	2020-03-13
"Santa Elena"	"La Libertad"	0	2020-03-14
"Santa Elena"	"Salinas"	0	2020-03-14
"Santa Elena"	"Santa Elena"	0	2020-03-14
"Santa Elena"	"La Libertad"	0	2020-03-15
"Santa Elena"	"Salinas"	0	2020-03-15
"Santa Elena"	"Santa Elena"	0	2020-03-15
"Santa Elena"	"La Libertad"	0	2020-03-16
"Santa Elena"	"Salinas"	0	2020-03-16
"Santa Elena"	"Santa Elena"	0	2020-03-16
"Santa Elena"	"La Libertad"	0	2020-03-17
"Santa Elena"	"Salinas"	0	2020-03-17
"Santa Elena"	"Santa Elena"	3	2020-03-17
"Santa Elena"	"La Libertad"	0	2020-03-18
"Santa Elena"	"Salinas"	0	2020-03-18
"Santa Elena"	"Santa Elena"	0	2020-03-18
"Santa Elena"	"La Libertad"	0	2020-03-19
"Santa Elena"	"Salinas"	0	2020-03-19
"Santa Elena"	"Santa Elena"	0	2020-03-19
"Santa Elena"	"La Libertad"	0	2020-03-20
"Santa Elena"	"Salinas"	0	2020-03-20
"Santa Elena"	"Santa Elena"	1	2020-03-20
"Santa Elena"	"La Libertad"	0	2020-03-21
"Santa Elena"	"Salinas"	0	2020-03-21
"Santa Elena"	"Santa Elena"	1	2020-03-21
"Santa Elena"	"La Libertad"	0	2020-03-22
"Santa Elena"	"Salinas"	0	2020-03-22
"Santa Elena"	"Santa Elena"	2	2020-03-22
"Santa Elena"	"La Libertad"	2	2020-03-23
"Santa Elena"	"Salinas"	0	2020-03-23
"Santa Elena"	"Santa Elena"	2	2020-03-23
"Santa Elena"	"La Libertad"	3	2020-03-24
"Santa Elena"	"Salinas"	0	2020-03-24
"Santa Elena"	"Santa Elena"	3	2020-03-24
"Santa Elena"	"La Libertad"	3	2020-03-25
"Santa Elena"	"Salinas"	0	2020-03-25
"Santa Elena"	"Santa Elena"	3	2020-03-25
"Santa Elena"	"La Libertad"	3	2020-03-26
"Santa Elena"	"Salinas"	0	2020-03-26
"Santa Elena"	"Santa Elena"	4	2020-03-26
"Santa Elena"	"La Libertad"	5	2020-03-27
"Santa Elena"	"Salinas"	0	2020-03-27
"Santa Elena"	"Santa Elena"	5	2020-03-27
"Santa Elena"	"La Libertad"	5	2020-03-28
"Santa Elena"	"Salinas"	0	2020-03-28
"Santa Elena"	"Santa Elena"	5	2020-03-28
"Santa Elena"	"La Libertad"	5	2020-03-29
"Santa Elena"	"Salinas"	0	2020-03-29
"Santa Elena"	"Santa Elena"	5	2020-03-29
"Santa Elena"	"La Libertad"	5	2020-03-30
"Santa Elena"	"Salinas"	0	2020-03-30
"Santa Elena"	"Santa Elena"	5	2020-03-30
"Santa Elena"	"La Libertad"	8	2020-03-31
"Santa Elena"	"Salinas"	4	2020-03-31
"Santa Elena"	"Santa Elena"	5	2020-03-31
"Santa Elena"	"La Libertad"	12	2020-04-01
"Santa Elena"	"Salinas"	6	2020-04-01
"Santa Elena"	"Santa Elena"	12	2020-04-01
"Santa Elena"	"La Libertad"	18	2020-04-02
"Santa Elena"	"Salinas"	7	2020-04-02
"Santa Elena"	"Santa Elena"	19	2020-04-02
"Santa Elena"	"La Libertad"	19	2020-04-03
"Santa Elena"	"Salinas"	10	2020-04-03
"Santa Elena"	"Santa Elena"	19	2020-04-03
"Santa Elena"	"La Libertad"	19	2020-04-04
"Santa Elena"	"Salinas"	10	2020-04-04
"Santa Elena"	"Santa Elena"	19	2020-04-04
"Santa Elena"	"La Libertad"	19	2020-04-05
"Santa Elena"	"Salinas"	10	2020-04-05
"Santa Elena"	"Santa Elena"	23	2020-04-05
"Santa Elena"	"La Libertad"	19	2020-04-06
"Santa Elena"	"Salinas"	10	2020-04-06
"Santa Elena"	"Santa Elena"	23	2020-04-06
"Santa Elena"	"La Libertad"	19	2020-04-07
"Santa Elena"	"Salinas"	10	2020-04-07
"Santa Elena"	"Santa Elena"	23	2020-04-07
"Santa Elena"	"La Libertad"	22	2020-04-08
"Santa Elena"	"Salinas"	10	2020-04-08
"Santa Elena"	"Santa Elena"	23	2020-04-08
"Santa Elena"	"La Libertad"	26	2020-04-09
"Santa Elena"	"Salinas"	12	2020-04-09
"Santa Elena"	"Santa Elena"	25	2020-04-09
"Santa Elena"	"La Libertad"	28	2020-04-10
"Santa Elena"	"Salinas"	13	2020-04-10
"Santa Elena"	"Santa Elena"	33	2020-04-10
"Santa Elena"	"La Libertad"	28	2020-04-11
"Santa Elena"	"Salinas"	14	2020-04-11
"Santa Elena"	"Santa Elena"	32	2020-04-11
"Santa Elena"	"La Libertad"	30	2020-04-12
"Santa Elena"	"Salinas"	15	2020-04-12
"Santa Elena"	"Santa Elena"	32	2020-04-12
"Santa Elena"	"La Libertad"	30	2020-04-13
"Santa Elena"	"Salinas"	16	2020-04-13
"Santa Elena"	"Santa Elena"	32	2020-04-13
"Santa Elena"	"La Libertad"	30	2020-04-14
"Santa Elena"	"Salinas"	16	2020-04-14
"Santa Elena"	"Santa Elena"	32	2020-04-14
"Santa Elena"	"La Libertad"	32	2020-04-15
"Santa Elena"	"Salinas"	17	2020-04-15
"Santa Elena"	"Santa Elena"	43	2020-04-15
"Santa Elena"	"La Libertad"	33	2020-04-16
"Santa Elena"	"Salinas"	18	2020-04-16
"Santa Elena"	"Santa Elena"	44	2020-04-16
"Santa Elena"	"La Libertad"	33	2020-04-17
"Santa Elena"	"Salinas"	18	2020-04-17
"Santa Elena"	"Santa Elena"	44	2020-04-17
"Santa Elena"	"La Libertad"	50	2020-04-18
"Santa Elena"	"Salinas"	24	2020-04-18
"Santa Elena"	"Santa Elena"	61	2020-04-18
"Santa Elena"	"La Libertad"	53	2020-04-19
"Santa Elena"	"Salinas"	26	2020-04-19
"Santa Elena"	"Santa Elena"	66	2020-04-19
"Santa Elena"	"La Libertad"	60	2020-04-20
"Santa Elena"	"Salinas"	31	2020-04-20
"Santa Elena"	"Santa Elena"	72	2020-04-20
"Santa Elena"	"La Libertad"	60	2020-04-21
"Santa Elena"	"Salinas"	32	2020-04-21
"Santa Elena"	"Santa Elena"	73	2020-04-21
"Santa Elena"	"La Libertad"	66	2020-04-22
"Santa Elena"	"Salinas"	33	2020-04-22
"Santa Elena"	"Santa Elena"	78	2020-04-22
"Santa Elena"	"La Libertad"	67	2020-04-23
"Santa Elena"	"Salinas"	35	2020-04-23
"Santa Elena"	"Santa Elena"	80	2020-04-23
"Santa Elena"	"La Libertad"	67	2020-04-24
"Santa Elena"	"Salinas"	35	2020-04-24
"Santa Elena"	"Santa Elena"	80	2020-04-24
"Santa Elena"	"La Libertad"	67	2020-04-25
"Santa Elena"	"Salinas"	35	2020-04-25
"Santa Elena"	"Santa Elena"	80	2020-04-25
"Santa Elena"	"La Libertad"	67	2020-04-26
"Santa Elena"	"Salinas"	35	2020-04-26
"Santa Elena"	"Santa Elena"	80	2020-04-26
"Santa Elena"	"La Libertad"	67	2020-04-27
"Santa Elena"	"Salinas"	35	2020-04-27
"Santa Elena"	"Santa Elena"	80	2020-04-27
"Santa Elena"	"La Libertad"	120	2020-04-28
"Santa Elena"	"Salinas"	60	2020-04-28
"Santa Elena"	"Santa Elena"	167	2020-04-28
"Santa Elena"	"La Libertad"	121	2020-04-29
"Santa Elena"	"Salinas"	65	2020-04-29
"Santa Elena"	"Santa Elena"	174	2020-04-29
"Santa Elena"	"La Libertad"	123	2020-04-30
"Santa Elena"	"Salinas"	65	2020-04-30
"Santa Elena"	"Santa Elena"	174	2020-04-30
"Santa Elena"	"La Libertad"	141	2020-05-01
"Santa Elena"	"Salinas"	75	2020-05-01
"Santa Elena"	"Santa Elena"	196	2020-05-01
"Santa Elena"	"La Libertad"	163	2020-05-02
"Santa Elena"	"Salinas"	93	2020-05-02
"Santa Elena"	"Santa Elena"	214	2020-05-02
"Santa Elena"	"La Libertad"	209	2020-05-03
"Santa Elena"	"Salinas"	111	2020-05-03
"Santa Elena"	"Santa Elena"	263	2020-05-03
"Santa Elena"	"La Libertad"	211	2020-05-04
"Santa Elena"	"Salinas"	119	2020-05-04
"Santa Elena"	"Santa Elena"	266	2020-05-04
"Santa Elena"	"La Libertad"	211	2020-05-05
"Santa Elena"	"Salinas"	119	2020-05-05
"Santa Elena"	"Santa Elena"	266	2020-05-05
"Santa Elena"	"La Libertad"	201	2020-05-06
"Santa Elena"	"Salinas"	113	2020-05-06
"Santa Elena"	"Santa Elena"	265	2020-05-06
"Santa Elena"	"La Libertad"	209	2020-05-07
"Santa Elena"	"Salinas"	119	2020-05-07
"Santa Elena"	"Santa Elena"	280	2020-05-07
"Santa Elena"	"La Libertad"	165	2020-05-08
"Santa Elena"	"Salinas"	101	2020-05-08
"Santa Elena"	"Santa Elena"	215	2020-05-08
