"provincia"	"canton"	"total"	"created_at"
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-13
"Sto. Domingo Tsáchilas"	"Santo Domingo"	0	2020-03-13
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-14
"Sto. Domingo Tsáchilas"	"Santo Domingo"	0	2020-03-14
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-15
"Sto. Domingo Tsáchilas"	"Santo Domingo"	0	2020-03-15
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-16
"Sto. Domingo Tsáchilas"	"Santo Domingo"	0	2020-03-16
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-17
"Sto. Domingo Tsáchilas"	"Santo Domingo"	0	2020-03-17
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-18
"Sto. Domingo Tsáchilas"	"Santo Domingo"	0	2020-03-18
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-19
"Sto. Domingo Tsáchilas"	"Santo Domingo"	1	2020-03-19
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-20
"Sto. Domingo Tsáchilas"	"Santo Domingo"	1	2020-03-20
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-21
"Sto. Domingo Tsáchilas"	"Santo Domingo"	4	2020-03-21
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-22
"Sto. Domingo Tsáchilas"	"Santo Domingo"	4	2020-03-22
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-23
"Sto. Domingo Tsáchilas"	"Santo Domingo"	7	2020-03-23
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-24
"Sto. Domingo Tsáchilas"	"Santo Domingo"	7	2020-03-24
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-25
"Sto. Domingo Tsáchilas"	"Santo Domingo"	7	2020-03-25
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-26
"Sto. Domingo Tsáchilas"	"Santo Domingo"	8	2020-03-26
"Sto. Domingo Tsáchilas"	"La Concordia"	0	2020-03-27
"Sto. Domingo Tsáchilas"	"Santo Domingo"	9	2020-03-27
"Sto. Domingo Tsáchilas"	"La Concordia"	2	2020-03-28
"Sto. Domingo Tsáchilas"	"Santo Domingo"	13	2020-03-28
"Sto. Domingo Tsáchilas"	"La Concordia"	2	2020-03-29
"Sto. Domingo Tsáchilas"	"Santo Domingo"	13	2020-03-29
"Sto. Domingo Tsáchilas"	"La Concordia"	2	2020-03-30
"Sto. Domingo Tsáchilas"	"Santo Domingo"	13	2020-03-30
"Sto. Domingo Tsáchilas"	"La Concordia"	3	2020-03-31
"Sto. Domingo Tsáchilas"	"Santo Domingo"	15	2020-03-31
"Sto. Domingo Tsáchilas"	"La Concordia"	3	2020-04-01
"Sto. Domingo Tsáchilas"	"Santo Domingo"	16	2020-04-01
"Sto. Domingo Tsáchilas"	"La Concordia"	3	2020-04-02
"Sto. Domingo Tsáchilas"	"Santo Domingo"	21	2020-04-02
"Sto. Domingo Tsáchilas"	"La Concordia"	4	2020-04-03
"Sto. Domingo Tsáchilas"	"Santo Domingo"	22	2020-04-03
"Sto. Domingo Tsáchilas"	"La Concordia"	3	2020-04-04
"Sto. Domingo Tsáchilas"	"Santo Domingo"	28	2020-04-04
"Sto. Domingo Tsáchilas"	"La Concordia"	3	2020-04-05
"Sto. Domingo Tsáchilas"	"Santo Domingo"	31	2020-04-05
"Sto. Domingo Tsáchilas"	"La Concordia"	3	2020-04-06
"Sto. Domingo Tsáchilas"	"Santo Domingo"	33	2020-04-06
"Sto. Domingo Tsáchilas"	"La Concordia"	6	2020-04-07
"Sto. Domingo Tsáchilas"	"Santo Domingo"	37	2020-04-07
"Sto. Domingo Tsáchilas"	"La Concordia"	6	2020-04-08
"Sto. Domingo Tsáchilas"	"Santo Domingo"	38	2020-04-08
"Sto. Domingo Tsáchilas"	"La Concordia"	7	2020-04-09
"Sto. Domingo Tsáchilas"	"Santo Domingo"	39	2020-04-09
"Sto. Domingo Tsáchilas"	"La Concordia"	10	2020-04-10
"Sto. Domingo Tsáchilas"	"Santo Domingo"	41	2020-04-10
"Sto. Domingo Tsáchilas"	"La Concordia"	12	2020-04-11
"Sto. Domingo Tsáchilas"	"Santo Domingo"	43	2020-04-11
"Sto. Domingo Tsáchilas"	"La Concordia"	12	2020-04-12
"Sto. Domingo Tsáchilas"	"Santo Domingo"	48	2020-04-12
"Sto. Domingo Tsáchilas"	"La Concordia"	12	2020-04-13
"Sto. Domingo Tsáchilas"	"Santo Domingo"	53	2020-04-13
"Sto. Domingo Tsáchilas"	"La Concordia"	12	2020-04-14
"Sto. Domingo Tsáchilas"	"Santo Domingo"	54	2020-04-14
"Sto. Domingo Tsáchilas"	"La Concordia"	12	2020-04-15
"Sto. Domingo Tsáchilas"	"Santo Domingo"	55	2020-04-15
"Sto. Domingo Tsáchilas"	"La Concordia"	12	2020-04-16
"Sto. Domingo Tsáchilas"	"Santo Domingo"	56	2020-04-16
"Sto. Domingo Tsáchilas"	"La Concordia"	13	2020-04-17
"Sto. Domingo Tsáchilas"	"Santo Domingo"	63	2020-04-17
"Sto. Domingo Tsáchilas"	"La Concordia"	13	2020-04-18
"Sto. Domingo Tsáchilas"	"Santo Domingo"	66	2020-04-18
"Sto. Domingo Tsáchilas"	"La Concordia"	13	2020-04-19
"Sto. Domingo Tsáchilas"	"Santo Domingo"	68	2020-04-19
"Sto. Domingo Tsáchilas"	"La Concordia"	15	2020-04-20
"Sto. Domingo Tsáchilas"	"Santo Domingo"	79	2020-04-20
"Sto. Domingo Tsáchilas"	"La Concordia"	15	2020-04-21
"Sto. Domingo Tsáchilas"	"Santo Domingo"	79	2020-04-21
"Sto. Domingo Tsáchilas"	"La Concordia"	17	2020-04-22
"Sto. Domingo Tsáchilas"	"Santo Domingo"	80	2020-04-22
"Sto. Domingo Tsáchilas"	"La Concordia"	17	2020-04-23
"Sto. Domingo Tsáchilas"	"Santo Domingo"	106	2020-04-23
"Sto. Domingo Tsáchilas"	"La Concordia"	17	2020-04-24
"Sto. Domingo Tsáchilas"	"Santo Domingo"	106	2020-04-24
"Sto. Domingo Tsáchilas"	"La Concordia"	17	2020-04-25
"Sto. Domingo Tsáchilas"	"Santo Domingo"	106	2020-04-25
"Sto. Domingo Tsáchilas"	"La Concordia"	17	2020-04-26
"Sto. Domingo Tsáchilas"	"Santo Domingo"	106	2020-04-26
"Sto. Domingo Tsáchilas"	"La Concordia"	17	2020-04-27
"Sto. Domingo Tsáchilas"	"Santo Domingo"	106	2020-04-27
"Sto. Domingo Tsáchilas"	"La Concordia"	22	2020-04-28
"Sto. Domingo Tsáchilas"	"Santo Domingo"	157	2020-04-28
"Sto. Domingo Tsáchilas"	"La Concordia"	22	2020-04-29
"Sto. Domingo Tsáchilas"	"Santo Domingo"	158	2020-04-29
