"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,2.96012068256912,0.645951290194158,1.83236135740597,1.98356626205665,4.09652776413248,2.91326954250502,4.09652776413248,4.09652776413248,4.35396791812942
3,9,3.17798203357405,0.570782422975732,2.15928460628888,2.30091145793338,4.17140974426352,3.14387627767735,4.17140974426352,4.17140974426352,4.39041963803203
4,10,2.14098181989379,0.412032143348591,1.41092051001428,1.51122462805325,2.8607171122308,2.11460874477182,2.8607171122308,2.8607171122308,3.02084796193358
5,11,2.35875859416207,0.38264117124937,1.66919796741443,1.76658035458299,3.02141365831001,2.33810030645317,3.02141365831001,3.02141365831001,3.16567911740347
6,12,2.49793917430381,0.356848453471973,1.84798915250032,1.94135226569154,3.11242544660572,2.48096709479865,3.11242544660572,3.11242544660572,3.24431504842085
7,13,2.07726670949675,0.296752387070965,1.53677334720126,1.61441338300445,2.5882686946637,2.06315286072507,2.5882686946637,2.5882686946637,2.69794705753084
8,14,2.19400890698928,0.276419140102585,1.68593668518939,1.7599815461854,2.66759970755807,2.18241137685399,2.66759970755807,2.66759970755807,2.76797563259683
9,15,2.24405638921033,0.255733959722343,1.77097420924112,1.84061938867519,2.68060710235683,2.23434937118452,2.68060710235683,2.68060710235683,2.77229365210551
10,16,2.40426265742261,0.242867204116731,1.95189664132587,2.01920737757639,2.81719754658151,2.39608985670203,2.81719754658151,2.81719754658151,2.90306801277834
11,17,2.55591991516621,0.228608427014286,2.12752522632418,2.19187073912896,2.94320824156672,2.54910736935726,2.94320824156672,2.94320824156672,3.02302581380135
12,18,3.03370424496338,0.225493460672646,2.60782789874084,2.67257076508457,3.41388953066467,3.02811914550077,3.41388953066467,3.41388953066467,3.49131803021533
13,19,2.83627491252153,0.195257217395463,2.4664641211022,2.52292692974375,3.16490298412293,2.83179548603322,3.16490298412293,3.16490298412293,3.23154038801103
14,20,2.47627347182202,0.16085124699324,2.17102066874847,2.21776856169411,2.7466558132299,2.47279154024315,2.7466558132299,2.7466558132299,2.80131274824204
15,21,2.52201456444299,0.143472395812132,2.24862235630355,2.29075388050734,2.76255389297139,2.51929446700276,2.76255389297139,2.76255389297139,2.81086422919405
16,22,2.66323653063362,0.132174209736475,2.41044772878695,2.44962195461936,2.8843086766044,2.66105028477295,2.8843086766044,2.8843086766044,2.92844920048012
17,23,2.4508704952226,0.114024814876805,2.23245217048643,2.26638035230756,2.64139177304544,2.44910241738605,2.64139177304544,2.64139177304544,2.67933638555719
18,24,2.49982317258744,0.103090970115702,2.30182495621501,2.33270477383401,2.67177509143436,2.49840618217852,2.67177509143436,2.67177509143436,2.70587385553527
19,25,1.78826123473998,0.0783451471374459,1.63798394068765,1.66137558266786,1.91904917788166,1.78711724389361,1.91904917788166,1.91904917788166,1.94503957671274
20,26,1.55868015846025,0.0661622880033154,1.43168461972104,1.45147274621815,1.66908052873712,1.55774411424204,1.66908052873712,1.66908052873712,1.69099503816708
21,27,1.60878346064939,0.0623390928502007,1.48890486178641,1.50763632872113,1.71267696615521,1.60797833540612,1.71267696615521,1.71267696615521,1.73323743307341
22,28,1.44971789610465,0.0560912694313146,1.34185078769537,1.35870615329105,1.54319706068654,1.44899454819088,1.54319706068654,1.54319706068654,1.56169565330564
23,29,1.24597803047705,0.0495623449034473,1.15071818522365,1.1655913348675,1.32860616886186,1.24532093072268,1.32860616886186,1.32860616886186,1.3449720447866
24,30,1.22731502614272,0.0471695482563861,1.13659327372618,1.15077225557379,1.30591892111289,1.2267107880636,1.30591892111289,1.30591892111289,1.32147054965068
25,31,1.04029453454474,0.0421548618626551,0.959302159437967,0.971940588386716,1.11059058240171,1.0397251895819,1.11059058240171,1.11059058240171,1.12452238298793
26,32,1.15858830802273,0.0435731978967141,1.07474898296554,1.0878604426278,1.23117932428709,1.15804210757604,1.23117932428709,1.23117932428709,1.24553158970947
27,33,1.17695903184406,0.0434127879000044,1.09339821736981,1.10647323653489,1.24926542309166,1.17642530663202,1.24926542309166,1.24926542309166,1.26355291055304
28,34,1.03800026918183,0.0403125900342102,0.960482209695778,0.972593888578639,1.10518664988431,1.03747844543064,1.10518664988431,1.10518664988431,1.11848375350014
29,35,1.00705377783476,0.0391402565777449,0.931791128840222,0.943550154893207,1.07228694116723,1.00654674682711,1.07228694116723,1.07228694116723,1.08519778723885
30,36,0.990021489964195,0.0384492486513924,0.916086494926082,0.927638343928038,1.05410236036782,0.989523786116717,1.05410236036782,1.05410236036782,1.06678484102298
31,37,0.987793662512905,0.0383049952513246,0.914133906241935,0.925643258234568,1.05163287676688,0.987298571991481,1.05163287676688,1.05163287676688,1.06426692393262
32,38,0.92671974879449,0.0371282427405062,0.855368713464839,0.866506514838687,0.988624179686375,0.926223958774001,0.988624179686375,0.988624179686375,1.00088826077814
33,39,0.784275503004742,0.0342285891258933,0.718614626433729,0.728836467469934,0.841412923407167,0.783777606549815,0.841412923407167,0.841412923407167,0.852765815949618
34,40,1.05779318323175,0.0400094126709817,0.980819189569398,0.992855049068954,1.12445184443853,1.05728879436211,1.12445184443853,1.12445184443853,1.13763352543813
35,41,0.972843461481529,0.0389137384592612,0.898058759624418,0.909733117374645,1.03772349429523,0.972324660858798,1.03772349429523,1.03772349429523,1.05057640488696
36,42,1.20434111404949,0.0436000757359528,1.12039123217129,1.13353387859871,1.27694294143291,1.20381501202556,1.27694294143291,1.27694294143291,1.29128074084634
