"provincia"	"canton"	"total"	"created_at"
"Tungurahua"	"Ambato"	0	2020-03-13
"Tungurahua"	"Baños"	0	2020-03-13
"Tungurahua"	"Cevallos"	0	2020-03-13
"Tungurahua"	"Mocha"	0	2020-03-13
"Tungurahua"	"Patate"	0	2020-03-13
"Tungurahua"	"Pelileo"	0	2020-03-13
"Tungurahua"	"Píllaro"	0	2020-03-13
"Tungurahua"	"Quero"	0	2020-03-13
"Tungurahua"	"Tisaleo"	0	2020-03-13
"Tungurahua"	"Ambato"	0	2020-03-14
"Tungurahua"	"Baños"	0	2020-03-14
"Tungurahua"	"Cevallos"	0	2020-03-14
"Tungurahua"	"Mocha"	0	2020-03-14
"Tungurahua"	"Patate"	0	2020-03-14
"Tungurahua"	"Pelileo"	0	2020-03-14
"Tungurahua"	"Píllaro"	0	2020-03-14
"Tungurahua"	"Quero"	0	2020-03-14
"Tungurahua"	"Tisaleo"	0	2020-03-14
"Tungurahua"	"Ambato"	0	2020-03-15
"Tungurahua"	"Baños"	0	2020-03-15
"Tungurahua"	"Cevallos"	0	2020-03-15
"Tungurahua"	"Mocha"	0	2020-03-15
"Tungurahua"	"Patate"	0	2020-03-15
"Tungurahua"	"Pelileo"	0	2020-03-15
"Tungurahua"	"Píllaro"	0	2020-03-15
"Tungurahua"	"Quero"	0	2020-03-15
"Tungurahua"	"Tisaleo"	0	2020-03-15
"Tungurahua"	"Ambato"	0	2020-03-16
"Tungurahua"	"Baños"	0	2020-03-16
"Tungurahua"	"Cevallos"	0	2020-03-16
"Tungurahua"	"Mocha"	0	2020-03-16
"Tungurahua"	"Patate"	0	2020-03-16
"Tungurahua"	"Pelileo"	0	2020-03-16
"Tungurahua"	"Píllaro"	0	2020-03-16
"Tungurahua"	"Quero"	0	2020-03-16
"Tungurahua"	"Tisaleo"	0	2020-03-16
"Tungurahua"	"Ambato"	0	2020-03-17
"Tungurahua"	"Baños"	0	2020-03-17
"Tungurahua"	"Cevallos"	0	2020-03-17
"Tungurahua"	"Mocha"	0	2020-03-17
"Tungurahua"	"Patate"	0	2020-03-17
"Tungurahua"	"Pelileo"	0	2020-03-17
"Tungurahua"	"Píllaro"	0	2020-03-17
"Tungurahua"	"Quero"	0	2020-03-17
"Tungurahua"	"Tisaleo"	0	2020-03-17
"Tungurahua"	"Ambato"	0	2020-03-18
"Tungurahua"	"Baños"	0	2020-03-18
"Tungurahua"	"Cevallos"	0	2020-03-18
"Tungurahua"	"Mocha"	0	2020-03-18
"Tungurahua"	"Patate"	0	2020-03-18
"Tungurahua"	"Pelileo"	0	2020-03-18
"Tungurahua"	"Píllaro"	0	2020-03-18
"Tungurahua"	"Quero"	0	2020-03-18
"Tungurahua"	"Tisaleo"	0	2020-03-18
"Tungurahua"	"Ambato"	0	2020-03-19
"Tungurahua"	"Baños"	0	2020-03-19
"Tungurahua"	"Cevallos"	0	2020-03-19
"Tungurahua"	"Mocha"	0	2020-03-19
"Tungurahua"	"Patate"	0	2020-03-19
"Tungurahua"	"Pelileo"	0	2020-03-19
"Tungurahua"	"Píllaro"	0	2020-03-19
"Tungurahua"	"Quero"	0	2020-03-19
"Tungurahua"	"Tisaleo"	0	2020-03-19
"Tungurahua"	"Ambato"	0	2020-03-20
"Tungurahua"	"Baños"	0	2020-03-20
"Tungurahua"	"Cevallos"	0	2020-03-20
"Tungurahua"	"Mocha"	0	2020-03-20
"Tungurahua"	"Patate"	0	2020-03-20
"Tungurahua"	"Pelileo"	0	2020-03-20
"Tungurahua"	"Píllaro"	0	2020-03-20
"Tungurahua"	"Quero"	0	2020-03-20
"Tungurahua"	"Tisaleo"	0	2020-03-20
"Tungurahua"	"Ambato"	0	2020-03-21
"Tungurahua"	"Baños"	0	2020-03-21
"Tungurahua"	"Cevallos"	0	2020-03-21
"Tungurahua"	"Mocha"	0	2020-03-21
"Tungurahua"	"Patate"	0	2020-03-21
"Tungurahua"	"Pelileo"	0	2020-03-21
"Tungurahua"	"Píllaro"	0	2020-03-21
"Tungurahua"	"Quero"	0	2020-03-21
"Tungurahua"	"Tisaleo"	0	2020-03-21
"Tungurahua"	"Ambato"	0	2020-03-22
"Tungurahua"	"Baños"	0	2020-03-22
"Tungurahua"	"Cevallos"	0	2020-03-22
"Tungurahua"	"Mocha"	0	2020-03-22
"Tungurahua"	"Patate"	0	2020-03-22
"Tungurahua"	"Pelileo"	0	2020-03-22
"Tungurahua"	"Píllaro"	0	2020-03-22
"Tungurahua"	"Quero"	0	2020-03-22
"Tungurahua"	"Tisaleo"	0	2020-03-22
"Tungurahua"	"Ambato"	1	2020-03-23
"Tungurahua"	"Baños"	0	2020-03-23
"Tungurahua"	"Cevallos"	0	2020-03-23
"Tungurahua"	"Mocha"	0	2020-03-23
"Tungurahua"	"Patate"	0	2020-03-23
"Tungurahua"	"Pelileo"	0	2020-03-23
"Tungurahua"	"Píllaro"	0	2020-03-23
"Tungurahua"	"Quero"	0	2020-03-23
"Tungurahua"	"Tisaleo"	0	2020-03-23
"Tungurahua"	"Ambato"	2	2020-03-24
"Tungurahua"	"Baños"	0	2020-03-24
"Tungurahua"	"Cevallos"	0	2020-03-24
"Tungurahua"	"Mocha"	0	2020-03-24
"Tungurahua"	"Patate"	0	2020-03-24
"Tungurahua"	"Pelileo"	0	2020-03-24
"Tungurahua"	"Píllaro"	0	2020-03-24
"Tungurahua"	"Quero"	0	2020-03-24
"Tungurahua"	"Tisaleo"	0	2020-03-24
"Tungurahua"	"Ambato"	3	2020-03-25
"Tungurahua"	"Baños"	0	2020-03-25
"Tungurahua"	"Cevallos"	0	2020-03-25
"Tungurahua"	"Mocha"	0	2020-03-25
"Tungurahua"	"Patate"	0	2020-03-25
"Tungurahua"	"Pelileo"	0	2020-03-25
"Tungurahua"	"Píllaro"	0	2020-03-25
"Tungurahua"	"Quero"	0	2020-03-25
"Tungurahua"	"Tisaleo"	0	2020-03-25
"Tungurahua"	"Ambato"	3	2020-03-26
"Tungurahua"	"Baños"	0	2020-03-26
"Tungurahua"	"Cevallos"	0	2020-03-26
"Tungurahua"	"Mocha"	0	2020-03-26
"Tungurahua"	"Patate"	0	2020-03-26
"Tungurahua"	"Pelileo"	0	2020-03-26
"Tungurahua"	"Píllaro"	0	2020-03-26
"Tungurahua"	"Quero"	0	2020-03-26
"Tungurahua"	"Tisaleo"	0	2020-03-26
"Tungurahua"	"Ambato"	4	2020-03-27
"Tungurahua"	"Baños"	0	2020-03-27
"Tungurahua"	"Cevallos"	0	2020-03-27
"Tungurahua"	"Mocha"	0	2020-03-27
"Tungurahua"	"Patate"	0	2020-03-27
"Tungurahua"	"Pelileo"	0	2020-03-27
"Tungurahua"	"Píllaro"	0	2020-03-27
"Tungurahua"	"Quero"	0	2020-03-27
"Tungurahua"	"Tisaleo"	0	2020-03-27
"Tungurahua"	"Ambato"	4	2020-03-28
"Tungurahua"	"Baños"	0	2020-03-28
"Tungurahua"	"Cevallos"	0	2020-03-28
"Tungurahua"	"Mocha"	0	2020-03-28
"Tungurahua"	"Patate"	0	2020-03-28
"Tungurahua"	"Pelileo"	0	2020-03-28
"Tungurahua"	"Píllaro"	0	2020-03-28
"Tungurahua"	"Quero"	0	2020-03-28
"Tungurahua"	"Tisaleo"	0	2020-03-28
"Tungurahua"	"Ambato"	4	2020-03-29
"Tungurahua"	"Baños"	0	2020-03-29
"Tungurahua"	"Cevallos"	0	2020-03-29
"Tungurahua"	"Mocha"	0	2020-03-29
"Tungurahua"	"Patate"	0	2020-03-29
"Tungurahua"	"Pelileo"	0	2020-03-29
"Tungurahua"	"Píllaro"	0	2020-03-29
"Tungurahua"	"Quero"	0	2020-03-29
"Tungurahua"	"Tisaleo"	0	2020-03-29
"Tungurahua"	"Ambato"	4	2020-03-30
"Tungurahua"	"Baños"	0	2020-03-30
"Tungurahua"	"Cevallos"	0	2020-03-30
"Tungurahua"	"Mocha"	0	2020-03-30
"Tungurahua"	"Patate"	0	2020-03-30
"Tungurahua"	"Pelileo"	0	2020-03-30
"Tungurahua"	"Píllaro"	0	2020-03-30
"Tungurahua"	"Quero"	0	2020-03-30
"Tungurahua"	"Tisaleo"	0	2020-03-30
"Tungurahua"	"Ambato"	8	2020-03-31
"Tungurahua"	"Baños"	0	2020-03-31
"Tungurahua"	"Cevallos"	0	2020-03-31
"Tungurahua"	"Mocha"	0	2020-03-31
"Tungurahua"	"Patate"	0	2020-03-31
"Tungurahua"	"Pelileo"	1	2020-03-31
"Tungurahua"	"Píllaro"	0	2020-03-31
"Tungurahua"	"Quero"	0	2020-03-31
"Tungurahua"	"Tisaleo"	0	2020-03-31
"Tungurahua"	"Ambato"	9	2020-04-01
"Tungurahua"	"Baños"	0	2020-04-01
"Tungurahua"	"Cevallos"	0	2020-04-01
"Tungurahua"	"Mocha"	0	2020-04-01
"Tungurahua"	"Patate"	0	2020-04-01
"Tungurahua"	"Pelileo"	1	2020-04-01
"Tungurahua"	"Píllaro"	0	2020-04-01
"Tungurahua"	"Quero"	0	2020-04-01
"Tungurahua"	"Tisaleo"	0	2020-04-01
"Tungurahua"	"Ambato"	11	2020-04-02
"Tungurahua"	"Baños"	0	2020-04-02
"Tungurahua"	"Cevallos"	0	2020-04-02
"Tungurahua"	"Mocha"	0	2020-04-02
"Tungurahua"	"Patate"	0	2020-04-02
"Tungurahua"	"Pelileo"	1	2020-04-02
"Tungurahua"	"Píllaro"	0	2020-04-02
"Tungurahua"	"Quero"	0	2020-04-02
"Tungurahua"	"Tisaleo"	0	2020-04-02
"Tungurahua"	"Ambato"	12	2020-04-03
"Tungurahua"	"Baños"	0	2020-04-03
"Tungurahua"	"Cevallos"	0	2020-04-03
"Tungurahua"	"Mocha"	0	2020-04-03
"Tungurahua"	"Patate"	0	2020-04-03
"Tungurahua"	"Pelileo"	1	2020-04-03
"Tungurahua"	"Píllaro"	0	2020-04-03
"Tungurahua"	"Quero"	0	2020-04-03
"Tungurahua"	"Tisaleo"	0	2020-04-03
"Tungurahua"	"Ambato"	20	2020-04-04
"Tungurahua"	"Baños"	0	2020-04-04
"Tungurahua"	"Cevallos"	0	2020-04-04
"Tungurahua"	"Mocha"	0	2020-04-04
"Tungurahua"	"Patate"	0	2020-04-04
"Tungurahua"	"Pelileo"	2	2020-04-04
"Tungurahua"	"Píllaro"	0	2020-04-04
"Tungurahua"	"Quero"	0	2020-04-04
"Tungurahua"	"Tisaleo"	0	2020-04-04
"Tungurahua"	"Ambato"	20	2020-04-05
"Tungurahua"	"Baños"	0	2020-04-05
"Tungurahua"	"Cevallos"	0	2020-04-05
"Tungurahua"	"Mocha"	0	2020-04-05
"Tungurahua"	"Patate"	0	2020-04-05
"Tungurahua"	"Pelileo"	2	2020-04-05
"Tungurahua"	"Píllaro"	0	2020-04-05
"Tungurahua"	"Quero"	0	2020-04-05
"Tungurahua"	"Tisaleo"	0	2020-04-05
"Tungurahua"	"Ambato"	20	2020-04-06
"Tungurahua"	"Baños"	0	2020-04-06
"Tungurahua"	"Cevallos"	0	2020-04-06
"Tungurahua"	"Mocha"	0	2020-04-06
"Tungurahua"	"Patate"	0	2020-04-06
"Tungurahua"	"Pelileo"	2	2020-04-06
"Tungurahua"	"Píllaro"	0	2020-04-06
"Tungurahua"	"Quero"	0	2020-04-06
"Tungurahua"	"Tisaleo"	0	2020-04-06
"Tungurahua"	"Ambato"	20	2020-04-07
"Tungurahua"	"Baños"	0	2020-04-07
"Tungurahua"	"Cevallos"	0	2020-04-07
"Tungurahua"	"Mocha"	0	2020-04-07
"Tungurahua"	"Patate"	0	2020-04-07
"Tungurahua"	"Pelileo"	2	2020-04-07
"Tungurahua"	"Píllaro"	0	2020-04-07
"Tungurahua"	"Quero"	0	2020-04-07
"Tungurahua"	"Tisaleo"	0	2020-04-07
"Tungurahua"	"Ambato"	21	2020-04-08
"Tungurahua"	"Baños"	0	2020-04-08
"Tungurahua"	"Cevallos"	0	2020-04-08
"Tungurahua"	"Mocha"	0	2020-04-08
"Tungurahua"	"Patate"	0	2020-04-08
"Tungurahua"	"Pelileo"	2	2020-04-08
"Tungurahua"	"Píllaro"	0	2020-04-08
"Tungurahua"	"Quero"	0	2020-04-08
"Tungurahua"	"Tisaleo"	0	2020-04-08
"Tungurahua"	"Ambato"	23	2020-04-09
"Tungurahua"	"Baños"	0	2020-04-09
"Tungurahua"	"Cevallos"	0	2020-04-09
"Tungurahua"	"Mocha"	0	2020-04-09
"Tungurahua"	"Patate"	0	2020-04-09
"Tungurahua"	"Pelileo"	2	2020-04-09
"Tungurahua"	"Píllaro"	0	2020-04-09
"Tungurahua"	"Quero"	0	2020-04-09
"Tungurahua"	"Tisaleo"	0	2020-04-09
"Tungurahua"	"Ambato"	26	2020-04-10
"Tungurahua"	"Baños"	0	2020-04-10
"Tungurahua"	"Cevallos"	0	2020-04-10
"Tungurahua"	"Mocha"	0	2020-04-10
"Tungurahua"	"Patate"	0	2020-04-10
"Tungurahua"	"Pelileo"	2	2020-04-10
"Tungurahua"	"Píllaro"	0	2020-04-10
"Tungurahua"	"Quero"	1	2020-04-10
"Tungurahua"	"Tisaleo"	0	2020-04-10
"Tungurahua"	"Ambato"	30	2020-04-11
"Tungurahua"	"Baños"	0	2020-04-11
"Tungurahua"	"Cevallos"	0	2020-04-11
"Tungurahua"	"Mocha"	0	2020-04-11
"Tungurahua"	"Patate"	0	2020-04-11
"Tungurahua"	"Pelileo"	5	2020-04-11
"Tungurahua"	"Píllaro"	0	2020-04-11
"Tungurahua"	"Quero"	1	2020-04-11
"Tungurahua"	"Tisaleo"	0	2020-04-11
"Tungurahua"	"Ambato"	32	2020-04-12
"Tungurahua"	"Baños"	0	2020-04-12
"Tungurahua"	"Cevallos"	1	2020-04-12
"Tungurahua"	"Mocha"	0	2020-04-12
"Tungurahua"	"Patate"	0	2020-04-12
"Tungurahua"	"Pelileo"	7	2020-04-12
"Tungurahua"	"Píllaro"	0	2020-04-12
"Tungurahua"	"Quero"	1	2020-04-12
"Tungurahua"	"Tisaleo"	1	2020-04-12
"Tungurahua"	"Ambato"	33	2020-04-13
"Tungurahua"	"Baños"	0	2020-04-13
"Tungurahua"	"Cevallos"	1	2020-04-13
"Tungurahua"	"Mocha"	0	2020-04-13
"Tungurahua"	"Patate"	0	2020-04-13
"Tungurahua"	"Pelileo"	7	2020-04-13
"Tungurahua"	"Píllaro"	0	2020-04-13
"Tungurahua"	"Quero"	1	2020-04-13
"Tungurahua"	"Tisaleo"	1	2020-04-13
"Tungurahua"	"Ambato"	33	2020-04-14
"Tungurahua"	"Baños"	0	2020-04-14
"Tungurahua"	"Cevallos"	1	2020-04-14
"Tungurahua"	"Mocha"	0	2020-04-14
