"provincia"	"canton"	"total"	"created_at"
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-13
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-13
"Zamora Chinchipe"	"El Pangui"	0	2020-03-13
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-13
"Zamora Chinchipe"	"Palanda"	0	2020-03-13
"Zamora Chinchipe"	"Paquisha"	0	2020-03-13
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-13
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-13
"Zamora Chinchipe"	"Zamora"	0	2020-03-13
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-14
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-14
"Zamora Chinchipe"	"El Pangui"	0	2020-03-14
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-14
"Zamora Chinchipe"	"Palanda"	0	2020-03-14
"Zamora Chinchipe"	"Paquisha"	0	2020-03-14
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-14
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-14
"Zamora Chinchipe"	"Zamora"	0	2020-03-14
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-15
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-15
"Zamora Chinchipe"	"El Pangui"	0	2020-03-15
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-15
"Zamora Chinchipe"	"Palanda"	0	2020-03-15
"Zamora Chinchipe"	"Paquisha"	0	2020-03-15
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-15
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-15
"Zamora Chinchipe"	"Zamora"	0	2020-03-15
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-16
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-16
"Zamora Chinchipe"	"El Pangui"	0	2020-03-16
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-16
"Zamora Chinchipe"	"Palanda"	0	2020-03-16
"Zamora Chinchipe"	"Paquisha"	0	2020-03-16
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-16
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-16
"Zamora Chinchipe"	"Zamora"	0	2020-03-16
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-17
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-17
"Zamora Chinchipe"	"El Pangui"	0	2020-03-17
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-17
"Zamora Chinchipe"	"Palanda"	0	2020-03-17
"Zamora Chinchipe"	"Paquisha"	0	2020-03-17
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-17
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-17
"Zamora Chinchipe"	"Zamora"	0	2020-03-17
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-18
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-18
"Zamora Chinchipe"	"El Pangui"	0	2020-03-18
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-18
"Zamora Chinchipe"	"Palanda"	0	2020-03-18
"Zamora Chinchipe"	"Paquisha"	0	2020-03-18
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-18
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-18
"Zamora Chinchipe"	"Zamora"	0	2020-03-18
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-19
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-19
"Zamora Chinchipe"	"El Pangui"	0	2020-03-19
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-19
"Zamora Chinchipe"	"Palanda"	0	2020-03-19
"Zamora Chinchipe"	"Paquisha"	0	2020-03-19
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-19
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-19
"Zamora Chinchipe"	"Zamora"	0	2020-03-19
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-20
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-20
"Zamora Chinchipe"	"El Pangui"	0	2020-03-20
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-20
"Zamora Chinchipe"	"Palanda"	0	2020-03-20
"Zamora Chinchipe"	"Paquisha"	0	2020-03-20
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-20
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-20
"Zamora Chinchipe"	"Zamora"	0	2020-03-20
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-21
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-21
"Zamora Chinchipe"	"El Pangui"	0	2020-03-21
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-21
"Zamora Chinchipe"	"Palanda"	0	2020-03-21
"Zamora Chinchipe"	"Paquisha"	0	2020-03-21
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-21
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-21
"Zamora Chinchipe"	"Zamora"	0	2020-03-21
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-22
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-22
"Zamora Chinchipe"	"El Pangui"	0	2020-03-22
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-22
"Zamora Chinchipe"	"Palanda"	0	2020-03-22
"Zamora Chinchipe"	"Paquisha"	0	2020-03-22
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-22
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-22
"Zamora Chinchipe"	"Zamora"	0	2020-03-22
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-23
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-23
"Zamora Chinchipe"	"El Pangui"	0	2020-03-23
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-23
"Zamora Chinchipe"	"Palanda"	0	2020-03-23
"Zamora Chinchipe"	"Paquisha"	0	2020-03-23
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-23
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-23
"Zamora Chinchipe"	"Zamora"	0	2020-03-23
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-24
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-24
"Zamora Chinchipe"	"El Pangui"	0	2020-03-24
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-24
"Zamora Chinchipe"	"Palanda"	0	2020-03-24
"Zamora Chinchipe"	"Paquisha"	0	2020-03-24
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-24
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-24
"Zamora Chinchipe"	"Zamora"	0	2020-03-24
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-25
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-25
"Zamora Chinchipe"	"El Pangui"	0	2020-03-25
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-25
"Zamora Chinchipe"	"Palanda"	0	2020-03-25
"Zamora Chinchipe"	"Paquisha"	0	2020-03-25
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-25
"Zamora Chinchipe"	"Yantzaza"	0	2020-03-25
"Zamora Chinchipe"	"Zamora"	0	2020-03-25
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-26
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-26
"Zamora Chinchipe"	"El Pangui"	0	2020-03-26
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-26
"Zamora Chinchipe"	"Palanda"	0	2020-03-26
"Zamora Chinchipe"	"Paquisha"	0	2020-03-26
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-26
"Zamora Chinchipe"	"Yantzaza"	1	2020-03-26
"Zamora Chinchipe"	"Zamora"	0	2020-03-26
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-27
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-27
"Zamora Chinchipe"	"El Pangui"	0	2020-03-27
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-27
"Zamora Chinchipe"	"Palanda"	0	2020-03-27
"Zamora Chinchipe"	"Paquisha"	0	2020-03-27
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-27
"Zamora Chinchipe"	"Yantzaza"	1	2020-03-27
"Zamora Chinchipe"	"Zamora"	0	2020-03-27
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-28
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-28
"Zamora Chinchipe"	"El Pangui"	0	2020-03-28
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-28
"Zamora Chinchipe"	"Palanda"	0	2020-03-28
"Zamora Chinchipe"	"Paquisha"	0	2020-03-28
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-28
"Zamora Chinchipe"	"Yantzaza"	1	2020-03-28
"Zamora Chinchipe"	"Zamora"	0	2020-03-28
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-29
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-29
"Zamora Chinchipe"	"El Pangui"	0	2020-03-29
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-29
"Zamora Chinchipe"	"Palanda"	0	2020-03-29
"Zamora Chinchipe"	"Paquisha"	0	2020-03-29
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-29
"Zamora Chinchipe"	"Yantzaza"	1	2020-03-29
"Zamora Chinchipe"	"Zamora"	0	2020-03-29
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-30
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-30
"Zamora Chinchipe"	"El Pangui"	0	2020-03-30
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-30
"Zamora Chinchipe"	"Palanda"	0	2020-03-30
"Zamora Chinchipe"	"Paquisha"	0	2020-03-30
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-30
"Zamora Chinchipe"	"Yantzaza"	1	2020-03-30
"Zamora Chinchipe"	"Zamora"	1	2020-03-30
"Zamora Chinchipe"	"Centinela del Cóndor"	0	2020-03-31
"Zamora Chinchipe"	"Chinchipe"	0	2020-03-31
"Zamora Chinchipe"	"El Pangui"	0	2020-03-31
"Zamora Chinchipe"	"Nangaritza"	0	2020-03-31
"Zamora Chinchipe"	"Palanda"	0	2020-03-31
"Zamora Chinchipe"	"Paquisha"	0	2020-03-31
"Zamora Chinchipe"	"Yacuambi"	0	2020-03-31
